condition,stratum,queries,top1,recall_at_3,recall_at_5,mean_rank
A0_raw_bm25,all,144,0.4027777777777778,0.5555555555555556,0.6388888888888888,4.645833333333333
A0_raw_bm25,H0,18,0.9444444444444444,0.9444444444444444,1.0,1.1666666666666667
A0_raw_bm25,H1,18,0.5555555555555556,0.7222222222222222,0.8333333333333334,3.2222222222222223
A0_raw_bm25,H2,18,0.3333333333333333,0.5555555555555556,0.5555555555555556,5.166666666666667
A0_raw_bm25,H3,18,0.2222222222222222,0.3333333333333333,0.4444444444444444,6.611111111111111
A0_raw_bm25,H4,18,0.2777777777777778,0.5,0.6111111111111112,4.722222222222222
A0_raw_bm25,H5,54,0.2962962962962963,0.46296296296296297,0.5555555555555556,5.425925925925926
A0_raw_bm25,multilingual,54,0.2962962962962963,0.46296296296296297,0.5555555555555556,5.425925925925926
A0_token,all,144,0.2777777777777778,0.4722222222222222,0.5347222222222222,6.305555555555555
A0_token,H0,18,0.8333333333333334,1.0,1.0,1.1666666666666667
A0_token,H1,18,0.2777777777777778,0.6111111111111112,0.6111111111111112,4.944444444444445
A0_token,H2,18,0.2222222222222222,0.2777777777777778,0.3888888888888889,7.277777777777778
A0_token,H3,18,0.05555555555555555,0.3333333333333333,0.3333333333333333,7.666666666666667
A0_token,H4,18,0.3333333333333333,0.5,0.6666666666666666,6.277777777777778
A0_token,H5,54,0.16666666666666666,0.35185185185185186,0.42592592592592593,7.703703703703703
A0_token,multilingual,54,0.16666666666666666,0.35185185185185186,0.42592592592592593,7.703703703703703
A1_auto_keywords,all,144,0.3055555555555556,0.5972222222222222,0.6805555555555556,4.381944444444445
A1_auto_keywords,H0,18,0.8888888888888888,1.0,1.0,1.1666666666666667
A1_auto_keywords,H1,18,0.5555555555555556,0.7222222222222222,0.7777777777777778,3.3333333333333335
A1_auto_keywords,H2,18,0.2222222222222222,0.5555555555555556,0.6666666666666666,4.444444444444445
A1_auto_keywords,H3,18,0.16666666666666666,0.5,0.6111111111111112,5.055555555555555
A1_auto_keywords,H4,18,0.2222222222222222,0.6111111111111112,0.6666666666666666,4.5
A1_auto_keywords,H5,54,0.12962962962962962,0.46296296296296297,0.5740740740740741,5.518518518518518
A1_auto_keywords,multilingual,54,0.12962962962962962,0.46296296296296297,0.5740740740740741,5.518518518518518
A2_direct_canonical,all,144,0.6527777777777778,0.875,0.9097222222222222,2.138888888888889
A2_direct_canonical,H0,18,0.7777777777777778,0.9444444444444444,1.0,1.3888888888888888
A2_direct_canonical,H1,18,0.5,0.8333333333333334,0.8333333333333334,2.611111111111111
A2_direct_canonical,H2,18,0.3888888888888889,0.8333333333333334,0.8888888888888888,2.888888888888889
A2_direct_canonical,H3,18,0.3333333333333333,0.6111111111111112,0.6111111111111112,4.666666666666667
A2_direct_canonical,H4,18,0.5555555555555556,0.7777777777777778,0.9444444444444444,2.2222222222222223
A2_direct_canonical,H5,54,0.8888888888888888,1.0,1.0,1.1111111111111112
A2_direct_canonical,multilingual,54,0.8888888888888888,1.0,1.0,1.1111111111111112
A2_expanded_lexical,all,144,0.75,0.875,0.9097222222222222,2.013888888888889
A2_expanded_lexical,H0,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.2777777777777777
A2_expanded_lexical,H1,18,0.7222222222222222,0.8888888888888888,0.9444444444444444,2.0555555555555554
A2_expanded_lexical,H2,18,0.4444444444444444,0.7777777777777778,0.8888888888888888,3.0
A2_expanded_lexical,H3,18,0.4444444444444444,0.6111111111111112,0.6111111111111112,4.388888888888889
A2_expanded_lexical,H4,18,0.4444444444444444,0.7777777777777778,0.8888888888888888,2.388888888888889
A2_expanded_lexical,H5,54,1.0,1.0,1.0,1.0
A2_expanded_lexical,multilingual,54,1.0,1.0,1.0,1.0
A2_keywords_synonyms,all,144,0.75,0.8819444444444444,0.9097222222222222,2.0
A2_keywords_synonyms,H0,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.2777777777777777
A2_keywords_synonyms,H1,18,0.7222222222222222,0.9444444444444444,0.9444444444444444,1.8888888888888888
A2_keywords_synonyms,H2,18,0.4444444444444444,0.7777777777777778,0.8888888888888888,3.0
A2_keywords_synonyms,H3,18,0.4444444444444444,0.6111111111111112,0.6111111111111112,4.388888888888889
A2_keywords_synonyms,H4,18,0.4444444444444444,0.7777777777777778,0.8888888888888888,2.4444444444444446
A2_keywords_synonyms,H5,54,1.0,1.0,1.0,1.0
A2_keywords_synonyms,multilingual,54,1.0,1.0,1.0,1.0
A3_inferred_concepts,all,144,0.6319444444444444,0.8819444444444444,0.9027777777777778,2.1805555555555554
A3_inferred_concepts,H0,18,0.7222222222222222,0.9444444444444444,0.9444444444444444,1.5555555555555556
