policy,metric,raw_lexical,manual_ceiling,automatic_value,gain_retention
A0_raw_bm25,top1,0.4027777777777778,0.8055555555555556,0.4027777777777778,0.0
A0_raw_bm25,recall_at_3,0.5555555555555556,0.9097222222222222,0.5555555555555556,0.0
A0_raw_bm25,recall_at_5,0.6388888888888888,0.9583333333333334,0.6388888888888888,0.0
A1_auto_keywords,top1,0.4027777777777778,0.8055555555555556,0.3055555555555556,-0.24137931034482754
A1_auto_keywords,recall_at_3,0.5555555555555556,0.9097222222222222,0.5972222222222222,0.11764705882352931
A1_auto_keywords,recall_at_5,0.6388888888888888,0.9583333333333334,0.6805555555555556,0.13043478260869584
A2_keywords_synonyms,top1,0.4027777777777778,0.8055555555555556,0.75,0.8620689655172413
A2_keywords_synonyms,recall_at_3,0.5555555555555556,0.9097222222222222,0.8819444444444444,0.9215686274509803
A2_keywords_synonyms,recall_at_5,0.6388888888888888,0.9583333333333334,0.9097222222222222,0.8478260869565216
A3_inferred_concepts,top1,0.4027777777777778,0.8055555555555556,0.6319444444444444,0.5689655172413792
A3_inferred_concepts,recall_at_3,0.5555555555555556,0.9097222222222222,0.8819444444444444,0.9215686274509803
A3_inferred_concepts,recall_at_5,0.6388888888888888,0.9583333333333334,0.9027777777777778,0.8260869565217391
A4_auto_tags,top1,0.4027777777777778,0.8055555555555556,0.6180555555555556,0.5344827586206897
A4_auto_tags,recall_at_3,0.5555555555555556,0.9097222222222222,0.875,0.9019607843137255
A4_auto_tags,recall_at_5,0.6388888888888888,0.9583333333333334,0.9027777777777778,0.8260869565217391
A5_embedding_selected,top1,0.4027777777777778,0.8055555555555556,0.5555555555555556,0.37931034482758624
A5_embedding_selected,recall_at_3,0.5555555555555556,0.9097222222222222,0.7638888888888888,0.5882352941176469
A5_embedding_selected,recall_at_5,0.6388888888888888,0.9583333333333334,0.8402777777777778,0.6304347826086957
A6_auto_hybrid,top1,0.4027777777777778,0.8055555555555556,0.8125,1.0172413793103448
A6_auto_hybrid,recall_at_3,0.5555555555555556,0.9097222222222222,0.9375,1.0784313725490196
A6_auto_hybrid,recall_at_5,0.6388888888888888,0.9583333333333334,0.9583333333333334,1.0
manual_rich_ceiling,top1,0.4027777777777778,0.8055555555555556,0.8055555555555556,1.0
manual_rich_ceiling,recall_at_3,0.5555555555555556,0.9097222222222222,0.9097222222222222,1.0
manual_rich_ceiling,recall_at_5,0.6388888888888888,0.9583333333333334,0.9583333333333334,1.0
A7_raw_union,recall_at_3,0.5555555555555556,0.9097222222222222,0.8819444444444444,0.9215686274509803
A7_raw_union,recall_at_5,0.6388888888888888,0.9583333333333334,0.9097222222222222,0.8478260869565216
