condition,policy,type_schema_terms,top1,recall_at_3,recall_at_5,mrr,mean_rank
A1_without_type_schema,A1,0,0.3125,0.5555555820465088,0.6458333134651184,0.4846830368041992,4.701388835906982
A1_with_type_schema,A1,1,0.3055555522441864,0.5972222089767456,0.6805555820465088,0.49604669213294983,4.38194465637207
A4_without_type_schema,A4,0,0.6180555820465088,0.875,0.9027777910232544,0.7584646940231323,2.215277671813965
A4_with_type_schema,A4,1,0.6180555820465088,0.875,0.9027777910232544,0.7584646940231323,2.215277671813965
