all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.0625,0.0625,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=8,0.0625,0.025647839986935407,
0.25,0.25,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=8,0.25,0.05795980769819558,
0.375,0.375,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=8,0.375,0.10687690898298668,
0.4375,0.4375,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=8,0.4375,0.15536755178540887,
0.5625,0.5625,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=8,0.5625,0.2056433487223739,
0.625,0.625,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=8,0.625,0.25611016737821746,
0.6875,0.6875,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=8,0.6875,0.3060024816984761,
0.9375,0.9375,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=8,0.9375,0.5035053885289237,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=8,1.0,1.0,
0.1875,0.1875,segment-confirmation-64,0.01,Hidden-state segment mean G=2,0.1875,0.017551347102741935,
0.21875,0.21875,segment-confirmation-64,0.02,Hidden-state segment mean G=2,0.21875,0.02537324268778541,
0.34375,0.34375,segment-confirmation-64,0.05,Hidden-state segment mean G=2,0.34375,0.056037980455366954,
0.5625,0.5625,segment-confirmation-64,0.1,Hidden-state segment mean G=2,0.5625,0.10546581828858144,
0.6875,0.6875,segment-confirmation-64,0.15,Hidden-state segment mean G=2,0.6875,0.156048083187021,
0.71875,0.71875,segment-confirmation-64,0.2,Hidden-state segment mean G=2,0.71875,0.20550265609264584,
0.84375,0.84375,segment-confirmation-64,0.25,Hidden-state segment mean G=2,0.84375,0.2547751782489024,
0.875,0.875,segment-confirmation-64,0.3,Hidden-state segment mean G=2,0.875,0.30594284089500695,
