all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.0,0.0,representation-stage1-16,0.01,Post-RoPE K mean,0.0,0.013740205168002,
0.0,0.0,representation-stage1-16,0.02,Post-RoPE K mean,0.0,0.023394518639052713,
0.0,0.0,representation-stage1-16,0.05,Post-RoPE K mean,0.0,0.05379848023377664,
0.0,0.0,representation-stage1-16,0.1,Post-RoPE K mean,0.0,0.10393513104587061,
0.0,0.0,representation-stage1-16,0.15,Post-RoPE K mean,0.0,0.15321886489322675,
0.0,0.0,representation-stage1-16,0.2,Post-RoPE K mean,0.0,0.20335551570532073,
0.0,0.0,representation-stage1-16,0.25,Post-RoPE K mean,0.0,0.2518907465586649,
0.125,0.125,representation-stage1-16,0.3,Post-RoPE K mean,0.125,0.30397782344169394,
0.5,0.5,representation-stage1-16,0.5,Post-RoPE K mean,0.5,0.5011576810074581,
1.0,1.0,representation-stage1-16,1.0,Post-RoPE K mean,1.0,1.0,
0.125,0.125,representation-stage1-16,0.01,Pre-RoPE K mean,0.125,0.013740205168002,
0.125,0.125,representation-stage1-16,0.02,Pre-RoPE K mean,0.125,0.023394518639052713,
0.25,0.25,representation-stage1-16,0.05,Pre-RoPE K mean,0.25,0.05379848023377664,
0.625,0.625,representation-stage1-16,0.1,Pre-RoPE K mean,0.625,0.10393513104587061,
0.875,0.875,representation-stage1-16,0.15,Pre-RoPE K mean,0.875,0.15321886489322675,
1.0,1.0,representation-stage1-16,0.2,Pre-RoPE K mean,1.0,0.20335551570532073,
1.0,1.0,representation-stage1-16,0.25,Pre-RoPE K mean,1.0,0.2518907465586649,
1.0,1.0,representation-stage1-16,0.3,Pre-RoPE K mean,1.0,0.30397782344169394,
1.0,1.0,representation-stage1-16,0.5,Pre-RoPE K mean,1.0,0.5011576810074581,
1.0,1.0,representation-stage1-16,1.0,Pre-RoPE K mean,1.0,1.0,
0.125,0.125,representation-stage1-16,0.01,Hidden-state mean,0.125,0.013740205168002,
0.25,0.25,representation-stage1-16,0.02,Hidden-state mean,0.25,0.023394518639052713,
0.375,0.375,representation-stage1-16,0.05,Hidden-state mean,0.375,0.05379848023377664,
0.625,0.625,representation-stage1-16,0.1,Hidden-state mean,0.625,0.10393513104587061,
0.625,0.625,representation-stage1-16,0.15,Hidden-state mean,0.625,0.15321886489322675,
0.625,0.625,representation-stage1-16,0.2,Hidden-state mean,0.625,0.20335551570532073,
0.625,0.625,representation-stage1-16,0.25,Hidden-state mean,0.625,0.2518907465586649,
0.625,0.625,representation-stage1-16,0.3,Hidden-state mean,0.625,0.30397782344169394,
1.0,1.0,representation-stage1-16,0.5,Hidden-state mean,1.0,0.5011576810074581,
1.0,1.0,representation-stage1-16,1.0,Hidden-state mean,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=1,0.0,0.013740205168002,
0.0,0.0,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=1,0.0,0.023394518639052713,
