window,seed,example_id,depth,one_shot_path_recovery,iterative_path_recovery,path_gain,one_shot_reference_recall,iterative_reference_recall,reference_recall_gain,one_shot_correct,iterative_correct,answer_gain,path_answer_product
global,17,chain-100004-d1,1,1,0,-1.0,1.0,0.0,-1.0,0,0,0.0,-0.0
global,17,chain-1042565-d1,1,1,1,0.0,1.0,1.0,0.0,1,1,0.0,0.0
global,17,chain-1147294-d2,2,1,1,0.0,1.0,1.0,0.0,0,0,0.0,0.0
global,17,chain-1566210-d2,2,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0
global,17,chain-1775668-d3,3,0,0,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,0,0.0,0.0
global,17,chain-1880397-d4,4,0,0,0.0,0.0,0.25,0.25,0,0,0.0,0.0
global,17,chain-1985126-d2,2,0,0,0.0,0.5,0.5,0.0,0,0,0.0,0.0
global,17,chain-2089855-d2,2,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0
global,17,chain-2194584-d2,2,0,0,0.0,0.5,0.5,0.0,0,0,0.0,0.0
global,17,chain-2299313-d1,1,0,1,1.0,0.0,1.0,1.0,0,0,0.0,0.0
global,17,chain-2508771-d2,2,1,1,0.0,1.0,1.0,0.0,0,0,0.0,0.0
global,17,chain-2613500-d3,3,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0,0.0,0.0
global,17,chain-2718229-d2,2,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0
global,17,chain-2927687-d4,4,0,0,0.0,0.5,0.25,-0.25,0,0,0.0,0.0
global,17,chain-3032416-d3,3,0,0,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,0,0.0,0.0
global,17,chain-309462-d4,4,0,0,0.0,0.5,0.5,0.0,0,0,0.0,0.0
global,17,chain-3137145-d1,1,1,1,0.0,1.0,1.0,0.0,1,1,0.0,0.0
global,17,chain-3241874-d1,1,1,1,0.0,1.0,1.0,0.0,0,0,0.0,0.0
global,17,chain-3346603-d3,3,0,0,0.0,0.6666666666666666,0.0,-0.6666666666666666,1,0,-1.0,-0.0
global,17,chain-414191-d2,2,0,0,0.0,0.5,0.0,-0.5,0,0,0.0,0.0
global,17,chain-623649-d1,1,1,1,0.0,1.0,1.0,0.0,0,0,0.0,0.0
global,17,chain-728378-d2,2,0,0,0.0,0.5,0.5,0.0,0,0,0.0,0.0
