architecture,best_pra_depth_pattern,iterative_pra_accuracy_gain,native_attention,native_edge_recall_at_4,shortcut_rate
Controlled w16,measured spacing sweep,-0.0037698412698412564,local,0.42833333333333334,0.4291666666666667
Controlled w32,measured spacing sweep,0.0734126984126984,local,0.2941666666666667,0.5241666666666667
Controlled w64,measured spacing sweep,0.01765873015873018,local,0.27749999999999997,0.49749999999999994
Controlled w128,measured spacing sweep,0.021428571428571436,local,0.19583333333333333,0.5375
Controlled global,measured spacing sweep,-0.035912698412698424,global,0.18666666666666668,0.5841666666666667
Gemma-3-1B-IT,"global slots 17,23",0.0,five local layers then one global layer,not matched,not matched
SmolLM2-135M (Llama),inherited sparse late,not measured,global,not matched,not matched
Qwen3-0.6B,inherited sparse late,not measured,global,not matched,not matched
