complete_path_survival_at_4_ci95,complete_path_survival_at_4_mean,complete_path_survival_at_4_std,edge_recall_at_1_ci95,edge_recall_at_1_mean,edge_recall_at_1_std,edge_recall_at_2_ci95,edge_recall_at_2_mean,edge_recall_at_2_std,edge_recall_at_4_ci95,edge_recall_at_4_mean,edge_recall_at_4_std,edge_recall_at_6_ci95,edge_recall_at_6_mean,edge_recall_at_6_std,edge_recall_at_8_ci95,edge_recall_at_8_mean,edge_recall_at_8_std,layer_id,mrr_ci95,mrr_mean,mrr_std,n_seeds,shortcut_rate_ci95,shortcut_rate_mean,shortcut_rate_std,unreachable_at_4_ci95,unreachable_at_4_mean,unreachable_at_4_std,window
0.0634521547112468,0.175,0.05111071010561289,0.022724894328076027,0.056666666666666664,0.018304902197073997,0.01956100826758285,0.11500000000000002,0.015756392000990868,0.0641298393019107,0.2341666666666667,0.05165658503789985,0.0968151419516137,0.365,0.07798459605731264,0.10546618341650772,0.5075000000000001,0.08495300988716581,0,0.02495647968077781,0.20647550318690025,0.020102444180587695,5,0.05799504059256562,0.645,0.04671500472724655,0.0634521547112468,0.825,0.05111071010561289,global
0.03245887783026394,0.134375,0.02614562582918986,0.021762553465375634,0.04666666666666667,0.017529736639968856,0.04553801220470164,0.09583333333333334,0.036680868461789605,0.07483552884678357,0.21000000000000002,0.06028001787952252,0.09875793132705847,0.3458333333333333,0.07954951288348659,0.1229335892983597,0.49000000000000005,0.09902300518341965,1,0.036646092307848814,0.19234253389584272,0.029518427056946003,5,0.10841860613176847,0.6191666666666666,0.08733118636037819,0.03245887783026394,0.865625,0.02614562582918986,global
0.010624661759322033,0.18125,0.00855816496101822,0.01814160779350422,0.065,0.014613064930625148,0.043983761397436975,0.11916666666666667,0.03542891944913553,0.05836297475473832,0.2308333333333333,0.04701137569189445,0.08472928747225222,0.36916666666666664,0.068249440372146,0.08789144605073289,0.5283333333333333,0.07079655908148205,2,0.027406468217957943,0.21210395160395162,0.02207590992742849,5,0.08043616682396872,0.6308333333333334,0.06479133172475052,0.010624661759322033,0.81875,0.00855816496101822,global
0.0446572957365311,0.1,0.03597145135381668,0.012880094892680116,0.03666666666666667,0.010374916331657278,0.030514962450138013,0.06833333333333333,0.024579802006254377,0.03609837884941034,0.155,0.02907724387061317,0.03794148769999521,0.2975,0.03056186803482041,0.0626524811958792,0.44666666666666666,0.050466573095465865,3,0.0162388861815037,0.1709589392089392,0.013080422687580787,5,0.02224892756466649,0.6041666666666666,0.01792151097300545,0.0446572957365311,0.9,0.03597145135381668,global
0.04022432022421261,0.084375,0.03240068961457456,0.03007333333333333,0.03916666666666667,0.02422406975624772,0.04147904075822176,0.07666666666666667,0.033411366994549094,0.07217822432469966,0.17416666666666666,0.05813955910852208,0.07865333333333331,0.3158333333333333,0.06335525936249403,0.08030299427100392,0.4666666666666667,0.06468406123441676,4,0.039479304039381956,0.17786777778321897,0.031800579083732024,5,0.06159725138167916,0.5766666666666667,0.04961658548868064,0.04022432022421261,0.915625,0.03240068961457456,global
0.04671630470189182,0.11875,0.037629983058725926,0.017541718527239254,0.0375,0.014129854131510976,0.03146473511020799,0.0875,0.02534484387624258,0.0648558997573338,0.18666666666666668,0.05224142672885826,0.09058996792630457,0.3175,0.07297021843038282,0.08005269861507201,0.4625,0.06448244808559234,5,0.029351275277919215,0.17987336825755945,0.023642451998464122,5,0.06934214254934246,0.5841666666666667,0.05585509526145905,0.04671630470189182,0.88125,0.037629983058725926,global
0.055547102759729954,0.175,0.0447431908227386,0.03038314774125068,0.04583333333333333,0.02447362525931402,0.039122016535165685,0.10333333333333332,0.03151278400198173,0.06495896020651125,0.21583333333333332,0.052324441919835346,0.07642757602971441,0.34750000000000003,0.06156241187246935,0.11172466006512019,0.5041666666666667,0.08999421277689656,0,0.03233271943819524,0.19572790553672909,0.02604400524540107,5,0.056357092228436045,0.6508333333333333,0.045395637333216186,0.055547102759729954,0.825,0.0447431908227386,w128
0.0634521547112468,0.153125,0.05111071010561289,0.01397605650945772,0.03916666666666667,0.01125771340508858,0.03508343705447851,0.07916666666666668,0.028259708263021953,0.08141158708139222,0.1825,0.06557703273419911,0.08624732137547486,0.3041666666666667,0.06947221666888778,0.09617737236770173,0.4533333333333333,0.07747087266264084,1,0.029724714982808733,0.17782180564533506,0.023943257677725805,5,0.09830986250965194,0.605,0.07918859345469735,0.0634521547112468,0.846875,0.05111071010561289,w128
0.0318739852779661,0.14375,0.025674494883054663,0.017388512810984663,0.04416666666666667,0.014006446928309676,0.03740882456794861,0.08916666666666667,0.030132807886274246,0.06341656408226481,0.19833333333333333,0.05108204185425638,0.09684277578747018,0.32916666666666666,0.07800685511187105,0.10027706306916737,0.48583333333333334,0.08077317348944235,2,0.03273746135102502,0.1880920607850755,0.026370024852904916,5,0.07143294649140859,0.6008333333333333,0.0575392378198468,0.0318739852779661,0.85625,0.025674494883054663,w128
0.034699999999999995,0.10625,0.02795084971874737,0.020167172445448182,0.03833333333333333,0.016244657241348274,0.023591463616222615,0.07333333333333333,0.019002923751652297,0.06339546391063358,0.1675,0.05106504566617844,0.08141158708139222,0.3075,0.06557703273419911,0.09837788290283768,0.4508333333333333,0.07924338388085714,3,0.027938346937354953,0.17566216313642782,0.022504338231591765,5,0.035650860983837226,0.5583333333333333,0.02871676823352128,0.034699999999999995,0.89375,0.02795084971874737,w128
