complete_path_recovery,condition,correct,depth,examples,first_hop_hit,latency_seconds,layer_token_kv_states,materialization,materialized_native_kv_tokens,mean_active_memory_fraction,mean_final_token_memory_attention_mass,mean_intervention_state_displacement,mean_memory_to_local_output_norm_ratio,mean_pra_output_divergence_ratio,ordered_prefix_recovery,reference_recall,replay_count,seed,selected_reference_count,window
0.0,spacing_2,0.25,3,4,0.0,0.04585589995258488,15.0,selected_chunks,15.0,0.4166666666666667,0.8921537895997366,0.37684091180562973,0.0,1.6740878880800083,0.0,0.3333333333333333,0.0,29,3.0,global
0.0,spacing_2,0.0,4,3,0.0,0.046122233383357525,15.0,selected_chunks,15.0,0.38461538461538464,0.8707674609290229,0.352794071038564,0.0,1.6396917783300617,0.0,0.25,0.0,29,3.0,global
0.0,spacing_2,0.2222222222222222,8,9,0.0,0.04744132222711212,15.0,selected_chunks,15.0,0.29411764705882354,0.7979249832806764,0.37641022933853996,0.0,1.4585893451556693,0.0,0.20833333333333334,0.0,29,3.0,global
0.8571428571428571,iterative_matched,0.0,1,7,0.8571428571428571,0.051042371412872205,20.0,selected_chunks,20.0,0.5,0.7859514845269067,0.27447457256771274,0.0,1.3413986024340028,0.0,0.8571428571428571,0.0,41,4.0,global
0.0,iterative_matched,0.2222222222222222,2,9,0.0,0.05539055554092758,20.0,selected_chunks,20.0,0.45454545454545453,0.8170934071143469,0.27290380001068115,0.0,1.4064608794782354,0.0,0.3333333333333333,0.0,41,4.0,global
0.0,iterative_matched,0.25,3,4,0.25,0.05010609998134896,20.0,selected_chunks,20.0,0.4166666666666667,0.7437003888189793,0.2677263220151266,0.0,1.3574258188207964,0.0,0.41666666666666663,0.0,41,4.0,global
0.0,iterative_matched,0.3333333333333333,4,3,0.6666666666666666,0.046205199944476284,20.0,selected_chunks,20.0,0.38461538461538464,0.7899567186832428,0.2702706853548686,0.0,1.3453062407080407,0.0,0.3333333333333333,0.0,41,4.0,global
0.0,iterative_matched,0.3333333333333333,8,9,0.1111111111111111,0.05443468890411572,20.0,selected_chunks,20.0,0.29411764705882354,0.7113420814275742,0.26099850292559024,0.0,1.1717647052967908,0.013888888888888888,0.2777777777777778,0.0,41,4.0,global
0.0,local_sa_full_context,0.2857142857142857,1,7,0.0,0.015112371416762471,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,global
0.0,local_sa_full_context,0.2222222222222222,2,9,0.0,0.014743700015565587,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,global
0.0,local_sa_full_context,0.75,3,4,0.0,0.01621877503930591,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,global
0.0,local_sa_full_context,0.6666666666666666,4,3,0.0,0.015649133284265797,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,global
0.0,local_sa_full_context,0.6666666666666666,8,9,0.0,0.01702206668495718,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,global
0.42857142857142855,one_shot,0.0,1,7,0.42857142857142855,0.025255928547786816,20.0,selected_chunks,20.0,0.8,0.891088775226048,0.0,0.0,1.2992058633885288,0.0,0.42857142857142855,0.0,41,4.0,global
0.1111111111111111,one_shot,0.1111111111111111,2,9,0.5555555555555556,0.02409318892750889,20.0,selected_chunks,20.0,0.7692307692307693,0.8798356453577677,0.0,0.0,1.3087165564888932,0.0,0.4444444444444444,0.0,41,4.0,global
0.0,one_shot,0.25,3,4,0.25,0.02229819999774918,20.0,selected_chunks,20.0,0.7407407407407407,0.8619258552789688,0.0,0.0,1.255366346141229,0.0,0.41666666666666663,0.0,41,4.0,global
0.0,one_shot,0.6666666666666666,4,3,0.3333333333333333,0.025345299936210115,20.0,selected_chunks,20.0,0.7142857142857143,0.9282892545064291,0.0,0.0,1.339569323662228,0.0,0.16666666666666666,0.0,41,4.0,global
0.0,one_shot,0.1111111111111111,8,9,0.3333333333333333,0.02450955555670791,20.0,selected_chunks,20.0,0.625,0.7797458370526632,0.0,0.0,1.1044319867627983,0.013888888888888888,0.2777777777777778,0.0,41,4.0,global
0.8571428571428571,spacing_1,0.2857142857142857,1,7,0.8571428571428571,0.07622075712840472,29.285714285714285,selected_chunks,29.285714285714285,0.4880952380952381,0.7587546177563214,0.15997442858559746,0.0,1.3528030066115824,0.0,0.8571428571428571,0.0,41,5.857142857142857,global
0.4444444444444444,spacing_1,0.3333333333333333,2,9,0.5555555555555556,0.07110106666934574,30.0,selected_chunks,30.0,0.45454545454545453,0.6871659932313142,0.1508469555113051,0.0,1.2828994423576965,0.0,0.6666666666666666,0.0,41,6.0,global
0.25,spacing_1,0.75,3,4,0.25,0.08559847503784113,30.0,selected_chunks,30.0,0.4166666666666667,0.6087590828537941,0.14560703337192535,0.0,1.2725870030278554,0.0,0.6666666666666666,0.0,41,6.0,global
0.0,spacing_1,0.3333333333333333,4,3,0.6666666666666666,0.09191270001853506,30.0,selected_chunks,30.0,0.38461538461538464,0.7173697435193592,0.13988777001698813,0.0,1.201955973074177,0.0,0.5,0.0,41,6.0,global
0.0,spacing_1,0.2222222222222222,8,9,0.1111111111111111,0.07709784444887191,30.0,selected_chunks,30.0,0.29411764705882354,0.6662938202972765,0.15278109312057497,0.0,1.2008394123756843,0.013888888888888888,0.4722222222222222,0.0,41,6.0,global
0.7142857142857143,spacing_2,0.0,1,7,0.7142857142857143,0.046527214298423915,15.0,selected_chunks,15.0,0.5,0.7626753790037972,0.3713334458214896,0.0,1.3965777723272375,0.0,0.7142857142857143,0.0,41,3.0,global
0.0,spacing_2,0.1111111111111111,2,9,0.0,0.05358380002952698,15.0,selected_chunks,15.0,0.45454545454545453,0.7917240019197818,0.360244933101866,0.0,1.3942773488770017,0.0,0.2777777777777778,0.0,41,3.0,global
0.0,spacing_2,0.5,3,4,0.0,0.05085944998427294,15.0,selected_chunks,15.0,0.4166666666666667,0.7302347620328268,0.353563591837883,0.0,1.2790236357124982,0.0,0.25,0.0,41,3.0,global
0.0,spacing_2,0.3333333333333333,4,3,0.0,0.04739276665107658,15.0,selected_chunks,15.0,0.38461538461538464,0.7713755567868551,0.3656354347864787,0.0,1.456991394107246,0.0,0.08333333333333333,0.0,41,3.0,global
