window,policy,evidence_condition,layer,n,attention_update_ratio,post_attention_displacement,pra_output_divergence_ratio
w128,iterative_matched,selected,4,80,0.3571400879521552,0.058276502043008806,1.2578851520792094
w128,iterative_matched,selected,5,80,0.2321117221303433,0.02795788198709488,0.9653143127020481
w128,iterative_matched,shuffle,0,80,0.44409878857898305,0.09110552445054054,1.0530566159762926
w128,iterative_matched,shuffle,2,80,0.4490016883928892,0.0901994563639164,1.1878963460932461
w128,iterative_matched,shuffle,4,80,0.3135100788806166,0.04628479927778244,0.9574242555431596
w128,iterative_matched,shuffle,5,80,0.28043701648072983,0.03690318912267685,0.9139634024683996
w128,iterative_matched,wrong,0,80,0.49890949183983146,0.10986247435212135,1.119567403062856
w128,iterative_matched,wrong,2,80,0.4247033057488756,0.08096179217100144,1.1280442169246074
w128,iterative_matched,wrong,4,80,0.31699311924831847,0.0475075013935566,0.974815885071353
w128,iterative_matched,wrong,5,80,0.2658040791982946,0.034117688238620755,0.9253630297238866
w128,one_shot,e0,0,80,0.3764921300369965,0.06940398588776589,0.0
w128,one_shot,oracle,0,80,0.6862170532525844,0.17483271434903144,1.3301997433351063
w128,one_shot,selected,0,80,0.7556649380936195,0.20569069236516951,1.37502680034605
w128,one_shot,shuffle,0,80,0.647382820052606,0.16216695085167884,1.3154543026721743
w128,one_shot,wrong,0,80,0.6584475329646495,0.16626973897218705,1.3354749019672063
w128,oracle_layer_0,oracle,0,80,0.6862170532525844,0.17483271434903144,1.3301997433351063
w128,oracle_layer_1,oracle,1,80,0.7486142479652427,0.19539713859558105,1.4874625877429066
w128,oracle_layer_2,oracle,2,80,0.6753763690294327,0.16414708271622658,1.4940928482126385
w128,oracle_layer_3,oracle,3,80,0.461096180385615,0.09661042168736458,1.2921104613060603
w128,oracle_layer_4,oracle,4,80,0.3477420047078831,0.05906722247600556,1.3211782808452248
w128,oracle_layer_5,oracle,5,80,0.2551415898496673,0.03184594735503197,1.0864067553423251
w128,spacing_1,selected,0,80,0.6286097625870647,0.16135547012090684,1.195954313925389
w128,spacing_1,selected,1,80,0.6176768977103257,0.15502698123455047,1.4642325133083844
w128,spacing_1,selected,2,80,0.5405878687627825,0.1247260332107544,1.5300139967513955
w128,spacing_1,selected,3,80,0.3958686264999709,0.0703416034579277,1.1257563965525048
w128,spacing_1,selected,4,80,0.2988801652359513,0.040710043907165525,1.0231577626764259
w128,spacing_1,selected,5,80,0.22233527774278689,0.022115176171064378,0.7844802950962428
w128,spacing_2,selected,0,80,0.6286097625870647,0.16135547012090684,1.195954313925389
w128,spacing_2,selected,2,80,0.5739729755996065,0.13365753144025802,1.5455683533805389
w128,spacing_2,selected,4,80,0.3571400879521552,0.058276502043008806,1.2578851520792094
w128,spacing_4,selected,0,80,0.6286097625870647,0.16135547012090684,1.195954313925389
w128,spacing_4,selected,4,80,0.37991388592077235,0.06863881126046181,1.2456130237362264
w16,iterative_matched,e0,0,80,0.44453196717746374,0.0877745769917965,0.0
w16,iterative_matched,e0,2,80,0.5220123902955037,0.10406095385551453,0.0
w16,iterative_matched,e0,4,80,0.3314133946657991,0.049336733669042586,0.0
w16,iterative_matched,e0,5,80,0.3791723337118983,0.05771087780594826,0.0
w16,iterative_matched,oracle,0,80,0.4541820932939363,0.09317693188786506,0.9051796684204534
w16,iterative_matched,oracle,2,80,0.4427552011983627,0.08539329394698143,0.9957350849005984
w16,iterative_matched,oracle,4,80,0.3844729591257693,0.06026919335126877,0.9477193882284632
w16,iterative_matched,oracle,5,80,0.3996768966857102,0.056664466857910156,0.7505399969219316
w16,iterative_matched,selected,0,80,0.4315786206757749,0.08896277621388435,0.9192730622860623
w16,iterative_matched,selected,2,80,0.46052674643569597,0.09316284134984017,1.0646797522244724
w16,iterative_matched,selected,4,80,0.3929040039107331,0.061250748485326766,0.9876133737773058
w16,iterative_matched,selected,5,80,0.4152788515969223,0.059301615506410596,0.8207444741991834
w16,iterative_matched,shuffle,0,80,0.42269704425351595,0.0824703224003315,0.9239494584816372
w16,iterative_matched,shuffle,2,80,0.4379944658309986,0.08309167027473449,0.957576128802647
w16,iterative_matched,shuffle,4,80,0.37578853254511047,0.058009222894906995,0.9114515402430973
w16,iterative_matched,shuffle,5,80,0.40814924013759046,0.05866875499486923,0.7595350771468016
w16,iterative_matched,wrong,0,80,0.4165053603084373,0.08080115020275117,0.9236183637216072
w16,iterative_matched,wrong,2,80,0.43605448262059576,0.08344044610857963,0.962682779075845
w16,iterative_matched,wrong,4,80,0.376966485607533,0.05625766441226006,0.9144138403849228
w16,iterative_matched,wrong,5,80,0.4170554742658849,0.060539576411247256,0.7520754406566444
w16,one_shot,e0,0,80,0.44453196717746374,0.0877745769917965,0.0
w16,one_shot,oracle,0,80,0.501286650627985,0.10998975560069084,1.1338261162061745
w16,one_shot,selected,0,80,0.4694837438327661,0.10281799957156182,1.098921195515225
w16,one_shot,shuffle,0,80,0.4685755319067468,0.09875703752040862,1.120809356531748
w16,one_shot,wrong,0,80,0.4616059397073344,0.09775026068091393,1.117170183534047
w16,oracle_layer_0,oracle,0,80,0.501286650627985,0.10998975560069084,1.1338261162061745
w16,oracle_layer_1,oracle,1,80,0.5113193731522021,0.11691683679819107,1.082193884166509
w16,oracle_layer_2,oracle,2,80,0.41297345317703715,0.0768097922205925,1.1978795654498016
w16,oracle_layer_3,oracle,3,80,0.31493318421470556,0.048753391951322556,1.4427136078182126
w16,oracle_layer_4,oracle,4,80,0.28102924421797926,0.03621780052781105,1.5583652610046295
w16,oracle_layer_5,oracle,5,80,0.3098173311485968,0.04362245723605156,1.3312801624466242
w16,spacing_1,selected,0,80,0.4315786206757749,0.08896277621388435,0.9192730622860623
w16,spacing_1,selected,1,80,0.5631404612941397,0.13723248913884162,0.9630687240867507
w16,spacing_1,selected,2,80,0.46041146587255166,0.09255040064454079,1.0401048820333259
w16,spacing_1,selected,3,80,0.42688322949906565,0.07770868465304374,0.899365395825029
w16,spacing_1,selected,4,80,0.4042718568831766,0.06296157538890838,0.7568632356764624
w16,spacing_1,selected,5,80,0.4291668490960026,0.058260257542133334,0.579982656260465
w16,spacing_2,selected,0,80,0.4315786206757749,0.08896277621388435,0.9192730622860623
w16,spacing_2,selected,2,80,0.46052674643569597,0.09316284134984017,1.0646797522244724
w16,spacing_2,selected,4,80,0.3929040039107331,0.061250748485326766,0.9876133737773058
w16,spacing_4,selected,0,80,0.4315786206757749,0.08896277621388435,0.9192730622860623
w16,spacing_4,selected,4,80,0.3400921996525671,0.049123901128768924,1.1709957551802026
w32,iterative_matched,e0,0,80,0.4053198482008703,0.08009618893265724,0.0
w32,iterative_matched,e0,2,80,0.5121792448529352,0.09449420124292374,0.0
w32,iterative_matched,e0,4,80,0.403981088633553,0.06977325826883315,0.0
w32,iterative_matched,e0,5,80,0.4486730646939181,0.07795595973730088,0.0
w32,iterative_matched,oracle,0,80,0.47149806935112226,0.09870262891054153,0.9631997317759613
w32,iterative_matched,oracle,2,80,0.5048313478511377,0.10011706799268723,0.9844228964566207
w32,iterative_matched,oracle,4,80,0.4519126664278013,0.07847802713513374,0.8432614926771624
w32,iterative_matched,oracle,5,80,0.4577275086034849,0.07336630001664161,0.5359602363906766
w32,iterative_matched,selected,0,80,0.5250807954773807,0.11957380846142769,1.0136131890134292
w32,iterative_matched,selected,2,80,0.5352034910955543,0.11033627912402152,1.0803514512120895
w32,iterative_matched,selected,4,80,0.44745737629619803,0.07683141455054283,0.9561021157206142
w32,iterative_matched,selected,5,80,0.464687130820889,0.07357559725642204,0.5492642104291113
w32,iterative_matched,shuffle,0,80,0.43875329568116844,0.08822859078645706,0.9372157525554259
w32,iterative_matched,shuffle,2,80,0.4531671279885354,0.08277190774679184,0.9327340798663574
w32,iterative_matched,shuffle,4,80,0.452080110812555,0.0766106203198433,0.7917007860058574
w32,iterative_matched,shuffle,5,80,0.4913287656969475,0.07976490631699562,0.5058446008195172
w32,iterative_matched,wrong,0,80,0.4724162967718681,0.09904465824365616,0.993786204448333
w32,iterative_matched,wrong,2,80,0.42881045301485166,0.07631737887859344,0.9133882671445303
w32,iterative_matched,wrong,4,80,0.4685285600700443,0.08060090243816376,0.8358382436275107
w32,iterative_matched,wrong,5,80,0.4691080338960002,0.07603701949119568,0.5632392965143772
w32,one_shot,e0,0,80,0.4053198482008703,0.08009618893265724,0.0
w32,one_shot,oracle,0,80,0.5549195269949747,0.1231205202639103,1.1907505999421402
w32,one_shot,selected,0,80,0.5946194408405032,0.1417389802634716,1.1988573760471277
w32,one_shot,shuffle,0,80,0.5260300901928721,0.114535141736269,1.1776726592209843
w32,one_shot,wrong,0,80,0.5564213938685725,0.1263744629919529,1.178397287005731
w32,oracle_layer_0,oracle,0,80,0.5549195269949747,0.1231205202639103,1.1907505999421402
w32,oracle_layer_1,oracle,1,80,0.5450280780558764,0.1179746374487877,1.1049336750898073
w32,oracle_layer_2,oracle,2,80,0.45954325354732006,0.08979290500283241,1.0348483668785033
w32,oracle_layer_3,oracle,3,80,0.3891503852758126,0.06633501946926117,1.2368917135205484
w32,oracle_layer_4,oracle,4,80,0.39838285993327455,0.07177694514393806,1.2495321972980793
w32,oracle_layer_5,oracle,5,80,0.39169568388178655,0.06756317839026452,1.0219229844915394
w32,spacing_1,selected,0,80,0.5250807954773807,0.11957380846142769,1.0136131890134292
w32,spacing_1,selected,1,80,0.5492279893107312,0.12384748756885529,1.1016648891440435
w32,spacing_1,selected,2,80,0.5195930137384972,0.10476272776722909,1.1372640832702596
w32,spacing_1,selected,3,80,0.4779246573686825,0.0864647425711155,1.0994202442008036
w32,spacing_1,selected,4,80,0.4201006461094307,0.06573673039674759,0.8125690717844805
w32,spacing_1,selected,5,80,0.447135743703741,0.06733163520693779,0.5015632350579625
w32,spacing_2,selected,0,80,0.5250807954773807,0.11957380846142769,1.0136131890134292
w32,spacing_2,selected,2,80,0.5352034910955543,0.11033627912402152,1.0803514512120895
w32,spacing_2,selected,4,80,0.44745737629619803,0.07683141455054283,0.9561021157206142
w32,spacing_4,selected,0,80,0.5250807954773807,0.11957380846142769,1.0136131890134292
w32,spacing_4,selected,4,80,0.4356250275755177,0.07651448398828506,1.086561468380837
w64,iterative_matched,e0,0,80,0.38732366476889574,0.0725504644215107,0.0
w64,iterative_matched,e0,2,80,0.418840698436577,0.07054205313324928,0.0
w64,iterative_matched,e0,4,80,0.3433304457133238,0.04902788028120995,0.0
w64,iterative_matched,e0,5,80,0.35565882935324816,0.046453428268432614,0.0
w64,iterative_matched,oracle,0,80,0.45390585993584376,0.09358133599162102,0.9838530686338265
w64,iterative_matched,oracle,2,80,0.542298649831557,0.11989092528820038,1.259837069206208
w64,iterative_matched,oracle,4,80,0.41071360632991283,0.06678630337119103,0.9921429340810801
w64,iterative_matched,oracle,5,80,0.3138719067847209,0.039401336759328845,0.7839526381138417
w64,iterative_matched,selected,0,80,0.5950466095809919,0.14595939517021178,1.1406229040467557
w64,iterative_matched,selected,2,80,0.5846011507549247,0.13527479097247125,1.4157802185185324
w64,iterative_matched,selected,4,80,0.4260748400332911,0.07214532569050788,1.1618747612325628
w64,iterative_matched,selected,5,80,0.2922787925806678,0.03389981463551521,0.8447424003682891
w64,iterative_matched,shuffle,0,80,0.42731573084551133,0.0839263528585434,0.9823467033750009
w64,iterative_matched,shuffle,2,80,0.471010231940339,0.09685874506831169,1.1679929880221303
w64,iterative_matched,shuffle,4,80,0.40767873151479683,0.06413752138614655,1.0053925055142838
w64,iterative_matched,shuffle,5,80,0.32662428423645806,0.04249312281608582,0.8194061800433126
w64,iterative_matched,wrong,0,80,0.45646390239726714,0.09492464438080787,1.009005289447291
w64,iterative_matched,wrong,2,80,0.4547642801763569,0.09082821011543274,1.119279668184985
w64,iterative_matched,wrong,4,80,0.4140437194626174,0.0679979868233204,0.9807199697627531
w64,iterative_matched,wrong,5,80,0.3222835180886582,0.0424744576215744,0.8007132972518143
w64,one_shot,e0,0,80,0.38732366476889574,0.0725504644215107,0.0
w64,one_shot,oracle,0,80,0.5725189600498073,0.12908014357089997,1.2061477084544951
w64,one_shot,selected,0,80,0.6647283746305492,0.16440634205937385,1.2682134911171965
w64,one_shot,shuffle,0,80,0.5406917039053558,0.12020029127597809,1.192209669779391
w64,one_shot,wrong,0,80,0.5905412004030701,0.1383193776011467,1.2081138477143023
w64,oracle_layer_0,oracle,0,80,0.5725189600498073,0.12908014357089997,1.2061477084544951
w64,oracle_layer_1,oracle,1,80,0.675998970607685,0.1629614196717739,1.391585017958144
w64,oracle_layer_2,oracle,2,80,0.5522720580608862,0.12602856308221816,1.3561641548573806
w64,oracle_layer_3,oracle,3,80,0.480436458550488,0.09847763404250146,1.370760851698109
w64,oracle_layer_4,oracle,4,80,0.3837645527010084,0.06842801198363305,1.3301053680358528
w64,oracle_layer_5,oracle,5,80,0.26363766297363533,0.03230587467551231,0.9527066529092751
w64,spacing_1,selected,0,80,0.5950466095809919,0.14595939517021178,1.1406229040467557
w64,spacing_1,selected,1,80,0.6050157562104878,0.1406876415014267,1.389054753233981
w64,spacing_1,selected,2,80,0.5577307545867383,0.12711828500032424,1.4888034714556317
w64,spacing_1,selected,3,80,0.4476502359684854,0.0759395882487297,1.0031682265080033
w64,spacing_1,selected,4,80,0.3783700559386392,0.0563342310488224,0.9090852201311594
w64,spacing_1,selected,5,80,0.28745290411064445,0.031493785232305525,0.6403327879302106
w64,spacing_2,selected,0,80,0.5950466095809919,0.14595939517021178,1.1406229040467557
w64,spacing_2,selected,2,80,0.5846011507549247,0.13527479097247125,1.4157802185185324
w64,spacing_2,selected,4,80,0.4260748400332911,0.07214532569050788,1.1618747612325628
w64,spacing_4,selected,0,80,0.5950466095809919,0.14595939517021178,1.1406229040467557
w64,spacing_4,selected,4,80,0.41594895488254424,0.07321990355849266,1.1186895852021315
