window,policy,evidence_condition,layer,n,attention_update_ratio,post_attention_displacement,pra_output_divergence_ratio
global,iterative_matched,e0,0,80,0.36953028328614723,0.06527912095189095,0.0
global,iterative_matched,e0,2,80,0.4585642798122816,0.08520979434251785,0.0
global,iterative_matched,e0,4,80,0.3239495499401661,0.046076084673404696,0.0
global,iterative_matched,e0,5,80,0.32526451437227094,0.042082829773426055,0.0
global,iterative_matched,oracle,0,80,0.5099186832653,0.11418621465563775,1.0892671633347388
global,iterative_matched,oracle,2,80,0.5862571610173737,0.1377963311970234,1.5572823345777187
global,iterative_matched,oracle,4,80,0.3085414874624457,0.04535764455795288,0.9264499520571311
global,iterative_matched,oracle,5,80,0.22131331069244115,0.024296793341636657,0.911176721067257
global,iterative_matched,selected,0,80,0.6345981921891115,0.16738239005208017,1.1738266701364624
global,iterative_matched,selected,2,80,0.5991702894133706,0.14088181480765344,1.6299252649480505
global,iterative_matched,selected,4,80,0.3342641218603841,0.05202564597129822,1.206506635547513
global,iterative_matched,selected,5,80,0.20568907732267533,0.022841651737689973,0.983427303872155
global,iterative_matched,shuffle,0,80,0.4395743836382652,0.09028538316488266,1.0618830170598492
global,iterative_matched,shuffle,2,80,0.47139064602888076,0.09734202921390533,1.2898162315906674
global,iterative_matched,shuffle,4,80,0.3179080613278682,0.047836610674858095,0.9172841504050447
global,iterative_matched,shuffle,5,80,0.25751296238895044,0.0349519319832325,0.9264959814671607
global,iterative_matched,wrong,0,80,0.49886266814133384,0.1109030194580555,1.1100813822510038
global,iterative_matched,wrong,2,80,0.444502560191779,0.08934142515063286,1.1991796157000838
global,iterative_matched,wrong,4,80,0.32257320865729683,0.04977421164512634,0.9082923218919655
global,iterative_matched,wrong,5,80,0.26181472350107526,0.035690206289291385,0.9603557975378365
global,one_shot,e0,0,80,0.36953028328614723,0.06527912095189095,0.0
global,one_shot,oracle,0,80,0.6979933056146989,0.18338114395737648,1.328298826199766
global,one_shot,selected,0,80,0.769223481002673,0.21469741463661193,1.3674040610217806
global,one_shot,shuffle,0,80,0.6597836176874132,0.16932994723320008,1.3239595221230118
global,one_shot,wrong,0,80,0.6682915452095175,0.17310523390769958,1.3333280865227277
global,oracle_layer_0,oracle,0,80,0.6979933056146989,0.18338114395737648,1.328298826199766
global,oracle_layer_1,oracle,1,80,0.746382139568358,0.19922872111201287,1.5392154307450006
global,oracle_layer_2,oracle,2,80,0.7084850342870669,0.17577551677823067,1.5535988390753999
global,oracle_layer_3,oracle,3,80,0.4447924846844563,0.09250625893473625,1.3348795499849528
global,oracle_layer_4,oracle,4,80,0.3569323752921883,0.06263371556997299,1.2732700948016582
global,oracle_layer_5,oracle,5,80,0.24622262164089123,0.02998296096920967,1.0747635231110904
global,spacing_1,selected,0,80,0.6345981921891115,0.16738239005208017,1.1738266701364624
global,spacing_1,selected,1,80,0.6110654856809343,0.15338770300149918,1.3698305207441233
global,spacing_1,selected,2,80,0.523493468369675,0.11867771819233894,1.5062670953016117
global,spacing_1,selected,3,80,0.36480358900263865,0.06094561666250229,1.1604142224869551
global,spacing_1,selected,4,80,0.28377396377386843,0.03852839767932892,0.9007208095380765
global,spacing_1,selected,5,80,0.2018778102164159,0.019251906871795656,0.7596385763912139
global,spacing_2,selected,0,80,0.6345981921891115,0.16738239005208017,1.1738266701364624
global,spacing_2,selected,2,80,0.5991702894133706,0.14088181480765344,1.6299252649480505
global,spacing_2,selected,4,80,0.3342641218603841,0.05202564597129822,1.206506635547513
global,spacing_4,selected,0,80,0.6345981921891115,0.16738239005208017,1.1738266701364624
global,spacing_4,selected,4,80,0.3595421064966329,0.06140386685729027,1.1644227871502155
w128,iterative_matched,e0,0,80,0.3764921300369965,0.06940398588776589,0.0
w128,iterative_matched,e0,2,80,0.4609304093953665,0.08604896813631058,0.0
w128,iterative_matched,e0,4,80,0.34750950673709813,0.05008135139942169,0.0
w128,iterative_matched,e0,5,80,0.38342054103948336,0.05074253529310226,0.0
w128,iterative_matched,oracle,0,80,0.5123374505837954,0.11351100727915764,1.0963529398699936
w128,iterative_matched,oracle,2,80,0.5588147618807662,0.12730925232172013,1.4802914336593358
w128,iterative_matched,oracle,4,80,0.3030606319845562,0.04265317693352699,0.9663999338409781
w128,iterative_matched,oracle,5,80,0.24165474434847586,0.027589572221040727,0.911051371180885
w128,iterative_matched,selected,0,80,0.6286097625870647,0.16135547012090684,1.195954313925389
w128,iterative_matched,selected,2,80,0.5739729755996065,0.13365753144025802,1.5455683533805389
