candidate_count,depth,example_id,graph_density_at_4,layer_id,recall_at_1,recall_at_2,recall_at_4,recall_at_6,recall_at_8,reciprocal_rank,seed,shortcut,source_hop,target_hop,target_rank,target_reachable,target_within_direct_window,target_within_effective_receptive_field,window
13,8,chain-204732-d8,0.3076923076923077,3,0,0,1,1,1,0.25,17,0,6,7,4,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,0,0,0,0.1,17,1,0,1,10,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,1,1,1,0.3333333333333333,17,1,1,2,3,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,0,0,0,0.1,17,1,2,3,10,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,0,1,1,0.2,17,0,3,4,5,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,0,0,0,0.08333333333333333,17,1,4,5,12,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,4,0,0,0,0,1,0.125,17,0,6,7,8,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,0,0,0,0,0.07692307692307693,17,1,0,1,13,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,0,0,0,1,0.125,17,1,1,2,8,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,0,1,1,1,0.3333333333333333,17,0,2,3,3,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,1,1,1,1,0.5,17,0,3,4,2,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,0,0,0,0,0.09090909090909091,17,1,4,5,11,1,0,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,1,1,1,1,0.5,17,0,5,6,2,1,1,1,w16
13,8,chain-204732-d8,0.3076923076923077,5,0,0,0,1,1,0.2,17,0,6,7,5,1,0,1,w16
13,8,chain-309461-d8,0.3076923076923077,0,0,0,0,0,0,0.07692307692307693,17,1,0,1,13,1,0,0,w16
13,8,chain-309461-d8,0.3076923076923077,0,0,0,0,0,0,0.07692307692307693,17,1,1,2,13,1,1,1,w16
13,8,chain-309461-d8,0.3076923076923077,0,0,0,0,0,0,0.1,17,1,2,3,10,1,0,0,w16
