window,seed,example_id,policy,evidence_condition,best_immediate_margin_gain,final_margin_gain,positive_immediate_gain,erased_by_final_layer,retained_fraction
w16,17,chain-100004-d1,one_shot,selected,-0.5903255939483643,1.6000854969024658,0,0,0.0
w16,17,chain-204733-d3,one_shot,selected,0.06468629837036133,1.868612289428711,1,0,28.887296637843974
w16,17,chain-309462-d4,one_shot,selected,0.6958978176116943,1.4142951965332031,1,0,2.032331702644265
w16,17,chain-414191-d2,one_shot,selected,-0.7259887456893921,-4.094411373138428,0,0,0.0
w16,17,chain-518920-d1,one_shot,selected,-0.19289743900299072,1.422560214996338,0,0,0.0
w16,17,chain-623649-d1,one_shot,selected,0.5242598056793213,2.4609758853912354,1,0,4.694191427096668
w16,17,chain-728378-d2,one_shot,selected,-1.0317342281341553,-1.9491338729858398,0,0,0.0
w16,17,chain-833107-d1,one_shot,selected,0.14371037483215332,-1.846449375152588,1,1,-12.848406924755087
w16,17,chain-937836-d1,one_shot,selected,-0.5625556707382202,-2.3073883056640625,0,0,0.0
w16,17,chain-1042565-d1,one_shot,selected,2.3079230785369873,8.281849145889282,1,0,3.588442449797425
w16,17,chain-1147294-d2,one_shot,selected,1.050248384475708,-0.5300383567810059,1,1,-0.5046790498474368
w16,17,chain-1252023-d4,one_shot,selected,-0.8233296871185303,-2.2121758460998535,0,0,0.0
w16,17,chain-1356752-d1,one_shot,selected,0.10576796531677246,2.1636104583740234,1,0,20.456198168264496
w16,17,chain-1461481-d2,one_shot,selected,0.5570194721221924,2.1631178855895996,1,0,3.883379296146186
w16,17,chain-1566210-d2,one_shot,selected,0.6131643056869507,-2.0839946269989014,1,1,-3.3987539843241934
w16,17,chain-1670939-d1,one_shot,selected,0.5817023515701294,0.07408380508422852,1,0,0.12735689461158564
w16,17,chain-100004-d1,one_shot,oracle,0.5584515333175659,1.4496440887451172,1,0,2.5958279318050876
w16,17,chain-204733-d3,one_shot,oracle,0.646775484085083,3.0252034664154053,1,0,4.677362610140989
w16,17,chain-309462-d4,one_shot,oracle,0.6688159704208374,1.9975099563598633,1,0,2.9866361520987232
w16,17,chain-414191-d2,one_shot,oracle,0.28127551078796387,-2.0556297302246094,1,1,-7.308242813126454
w16,17,chain-518920-d1,one_shot,oracle,0.30691254138946533,1.7473108768463135,1,0,5.693188257918122
w16,17,chain-623649-d1,one_shot,oracle,0.5538785457611084,3.070385694503784,1,0,5.543427738809841
w16,17,chain-728378-d2,one_shot,oracle,-0.7339760065078735,-1.5817928314208984,0,0,0.0
w16,17,chain-833107-d1,one_shot,oracle,0.7766609191894531,-1.836329460144043,1,1,-2.3643901923898683
w16,17,chain-937836-d1,one_shot,oracle,0.7518337965011597,-0.6692450046539307,1,1,-0.8901502004411401
w16,17,chain-1042565-d1,one_shot,oracle,2.487398147583008,7.714741230010986,1,0,3.101530503875048
w16,17,chain-1147294-d2,one_shot,oracle,1.0874629020690918,-0.7750284671783447,1,1,-0.7126941670412067
w16,17,chain-1252023-d4,one_shot,oracle,1.2398955821990967,0.5625066757202148,1,0,0.45367261872370324
w16,17,chain-1356752-d1,one_shot,oracle,0.15898489952087402,1.7358591556549072,1,0,10.9183901168362
w16,17,chain-1461481-d2,one_shot,oracle,0.5070397853851318,1.045145034790039,1,0,2.061268296719909
w16,17,chain-1566210-d2,one_shot,oracle,0.7425833940505981,-0.30600976943969727,1,1,-0.41208808585187184
w16,17,chain-1670939-d1,one_shot,oracle,0.6044325828552246,0.4307403564453125,1,0,0.7126358979699223
w16,17,chain-100004-d1,one_shot,wrong,0.8169993162155151,1.0368430614471436,1,0,1.2690868166817855
w16,17,chain-204733-d3,one_shot,wrong,0.21163296699523926,2.3500356674194336,1,0,11.104298639220506
w16,17,chain-309462-d4,one_shot,wrong,-0.30574214458465576,0.7006263732910156,0,0,0.0
w16,17,chain-414191-d2,one_shot,wrong,0.22259163856506348,-1.8089423179626465,1,1,-8.126730768612825
w16,17,chain-518920-d1,one_shot,wrong,0.12840068340301514,1.488875389099121,1,0,11.595541002114004
w16,17,chain-623649-d1,one_shot,wrong,0.4386308193206787,2.2987446784973145,1,0,5.240727685431343
w16,17,chain-728378-d2,one_shot,wrong,-0.8475857973098755,-1.8979825973510742,0,0,0.0
w16,17,chain-833107-d1,one_shot,wrong,-1.2783620357513428,-2.762775421142578,0,0,0.0
w16,17,chain-937836-d1,one_shot,wrong,0.5496301651000977,-2.1807045936584473,1,1,-3.9675853548927784
w16,17,chain-1042565-d1,one_shot,wrong,0.28922414779663086,6.041275978088379,1,0,20.88786854110234
w16,17,chain-1147294-d2,one_shot,wrong,0.3705747127532959,-1.973921775817871,1,1,-5.326649951779029
w16,17,chain-1252023-d4,one_shot,wrong,0.9553360939025879,-0.21097564697265625,1,1,-0.2208391877154059
w16,17,chain-1356752-d1,one_shot,wrong,0.1641521453857422,2.0125958919525146,1,0,12.260551863170003
w16,17,chain-1461481-d2,one_shot,wrong,0.29363560676574707,0.2401576042175293,1,0,0.8178763020695893
w16,17,chain-1566210-d2,one_shot,wrong,0.10153400897979736,-2.0190136432647705,1,1,-19.885097255112836
w16,17,chain-1670939-d1,one_shot,wrong,-0.3474438190460205,-1.173966884613037,0,0,0.0
w16,17,chain-100004-d1,one_shot,shuffle,0.2648048400878906,1.0189292430877686,1,0,3.8478497702291947
w16,17,chain-204733-d3,one_shot,shuffle,0.5871398448944092,2.45561146736145,1,0,4.182328092216371
w16,17,chain-309462-d4,one_shot,shuffle,0.6012042760848999,2.158383846282959,1,0,3.5901006232666246
w16,17,chain-414191-d2,one_shot,shuffle,-0.3309943675994873,-2.1576099395751953,0,0,0.0
w16,17,chain-518920-d1,one_shot,shuffle,0.09047448635101318,1.1923396587371826,1,0,13.178739187435355
w16,17,chain-623649-d1,one_shot,shuffle,0.4386310577392578,2.2987442016601562,1,0,5.240723749722789
