window,depth,n,path_gain,answer_gain,margin_gain,oracle_margin_gain
global,1,40,0.025,-0.125,-0.07949638366699219,1.3993414223194123
global,2,25,-0.12,0.04,1.0332732677459717,2.5429774856567384
global,3,5,-0.2,0.0,1.1694146633148192,2.114963436126709
global,4,10,0.0,-0.3,-0.07579474449157715,2.5359179973602295
w128,1,40,0.1,-0.05,0.29267711043357847,1.3655320405960083
w128,2,25,-0.08,0.04,0.8774301338195801,2.565184097290039
w128,3,5,-0.2,0.0,1.2993329524993897,1.4281983375549316
w128,4,10,0.0,-0.1,0.4862937927246094,1.9895726203918458
w16,1,40,0.05,-0.15,-0.11965453028678893,0.7758969306945801
w16,2,25,-0.04,0.12,0.23963957786560058,0.20380929946899415
w16,3,5,0.0,0.0,1.634166955947876,1.7402877807617188
w16,4,10,0.0,0.0,2.312986397743225,0.5538567066192627
w32,1,40,0.175,-0.075,-0.8640728175640107,2.4944323658943177
w32,2,25,0.0,-0.08,-0.3398768138885498,1.3449132251739502
w32,3,5,0.0,-0.2,1.3646944522857667,0.96013503074646
w32,4,10,0.0,0.3,1.6441230535507203,2.0118997573852537
w64,1,40,0.175,-0.15,-0.0851061224937439,1.6341688871383666
w64,2,25,-0.08,0.0,0.9099465656280518,1.1830509948730468
w64,3,5,0.0,0.2,1.242893123626709,1.683875608444214
w64,4,10,0.0,0.4,2.5555406332015993,0.7596997022628784
