window,condition,n,correct,complete_path_recovery,reference_recall,layer_token_kv_states,mean_final_token_memory_attention_mass,mean_pra_output_divergence_ratio
global,iterative_matched,5,0.1826086956521739,0.2782608695652174,0.4869565217391304,20.0,0.7217539107184047,1.2942826353386176
global,one_shot,5,0.19130434782608696,0.2608695652173913,0.4514492753623188,20.0,0.8968410134315491,1.3983324375463118
global,spacing_1,5,0.29565217391304344,0.42608695652173917,0.6615942028985508,29.782608695652176,0.6635589539248874,1.2169090583411015
global,spacing_2,5,0.1826086956521739,0.2260869565217391,0.3804347826086957,15.0,0.7322657074833262,1.38755340171784
global,spacing_4,5,0.16521739130434782,0.16521739130434782,0.25507246376811593,10.0,0.7099531152326127,1.208332130628263
global,spacing_8,5,0.14782608695652172,0.06086956521739131,0.10072463768115943,5.0,0.6696991752023282,1.2242406550142608
w128,iterative_matched,5,0.21739130434782608,0.29565217391304344,0.49782608695652175,20.0,0.7391023862621058,1.2940020265192511
w128,one_shot,5,0.19130434782608696,0.25217391304347825,0.436231884057971,20.0,0.9010916969050532,1.413050675156356
w128,spacing_1,5,0.2608695652173913,0.4434782608695652,0.672463768115942,29.782608695652176,0.6881226567146571,1.2442522820442323
w128,spacing_2,5,0.14782608695652172,0.20869565217391303,0.36666666666666664,15.0,0.7536961035452027,1.3922478353621308
w128,spacing_4,5,0.1826086956521739,0.1391304347826087,0.2434782608695652,10.0,0.705714727614237,1.2357820707434053
w128,spacing_8,5,0.15652173913043477,0.06086956521739131,0.10507246376811594,5.0,0.672645527124405,1.2167389722458242
w16,iterative_matched,5,0.17391304347826086,0.2347826086956522,0.4304347826086957,20.0,0.5531557204282802,0.927135475769352
w16,one_shot,5,0.1391304347826087,0.14782608695652172,0.3615942028985507,20.0,0.8602952910506207,1.0892466369277467
w16,spacing_1,5,0.2,0.41739130434782606,0.6181159420289856,29.782608695652176,0.5322299141713512,0.8354390791779241
w16,spacing_2,5,0.19130434782608696,0.16521739130434782,0.33043478260869563,15.0,0.5622496518103972,0.9740084658610801
w16,spacing_4,5,0.15652173913043477,0.06956521739130435,0.1891304347826087,10.0,0.5581442803792331,1.0343471008770333
w16,spacing_8,5,0.13043478260869565,0.008695652173913044,0.06739130434782607,5.0,0.6306878302408301,0.8996917804002619
w32,iterative_matched,5,0.2,0.21739130434782608,0.4050724637681159,20.0,0.6569811314435514,0.9115371888867339
w32,one_shot,5,0.17391304347826086,0.15652173913043477,0.372463768115942,20.0,0.8732181098150169,1.199296001266197
w32,spacing_1,5,0.29565217391304344,0.4521739130434783,0.6630434782608695,29.782608695652176,0.5985070265451635,0.9645699603379734
w32,spacing_2,5,0.21739130434782608,0.13043478260869565,0.3021739130434783,15.0,0.6885736437811368,1.0291552639255144
w32,spacing_4,5,0.16521739130434782,0.043478260869565216,0.17391304347826086,10.0,0.6954986839190773,1.0619987517085334
w32,spacing_8,5,0.16521739130434782,0.017391304347826087,0.08695652173913043,5.0,0.6440750785495923,1.0149890402821187
w64,iterative_matched,5,0.17391304347826086,0.20869565217391303,0.4449275362318841,20.0,0.7342566990819962,1.1449679949255709
w64,one_shot,5,0.1826086956521739,0.2260869565217391,0.4043478260869565,20.0,0.8842780273893606,1.281459354848399
w64,spacing_1,5,0.2782608695652174,0.42608695652173917,0.6586956521739131,29.782608695652176,0.6579804878897857,1.1316750947919627
w64,spacing_2,5,0.1826086956521739,0.13043478260869565,0.31304347826086953,15.0,0.7647193063860354,1.2343852515679006
w64,spacing_4,5,0.16521739130434782,0.09565217391304348,0.2108695652173913,10.0,0.7352827133043952,1.132199121631567
w64,spacing_8,5,0.11304347826086955,0.017391304347826087,0.05797101449275362,5.0,0.6402337139067443,1.127706382026817
