estimand,exact_two_sided_sign_p,iterative_minus_one_shot_accuracy_ci95,iterative_minus_one_shot_accuracy_mean,iterative_minus_one_shot_accuracy_std,n_seeds,negative_seed_count,positive_seed_count,window,zero_seed_count
depth-macro accuracy over in-domain depths 1--4,1.0,0.07181681802665668,-0.003769841269841276,0.05784844633837776,5,3,2,w16,0
depth-macro accuracy over in-domain depths 1--4,0.625,0.15112487050952442,0.0734126984126984,0.1217310819705151,5,1,3,w32,1
depth-macro accuracy over in-domain depths 1--4,0.375,0.15402883141077747,0.017658730158730165,0.12407022245293707,5,4,1,w64,0
depth-macro accuracy over in-domain depths 1--4,1.0,0.22537760093513143,0.02142857142857143,0.18154165572650366,5,3,2,w128,0
depth-macro accuracy over in-domain depths 1--4,1.0,0.237607618595158,-0.03591269841269841,0.19139293485252754,5,3,2,global,0
