window,n_seeds,mean_path_gain,mean_answer_gain,answer_positive_seeds,answer_negative_seeds,answer_zero_seeds,exact_answer_sign_p,path_answer_correlation_examples,path_improved_examples,path_improved_answer_improved,path_improved_answer_unchanged,path_improved_answer_worsened,path_improved_answer_gain_bootstrap_ci_low,path_improved_answer_gain_bootstrap_ci_high
w16,5,0.08695652173913043,0.034782608695652174,3,0,2,0.25,0.1298956923405811,22,5,16,1,0.0,0.4090909090909091
w32,5,0.06086956521739131,0.02608695652173913,3,1,1,0.625,0.03939786356974912,14,1,12,1,-0.21428571428571427,0.21428571428571427
w64,5,-0.017391304347826087,-0.008695652173913044,1,3,1,0.625,0.2662202210573603,10,1,9,0,0.0,0.3
w128,5,0.043478260869565216,0.02608695652173913,3,1,1,0.625,0.20205996586312647,12,3,9,0,0.0,0.5
global,5,0.017391304347826087,-0.008695652173913044,2,2,1,1.0,0.15397721305857626,12,3,8,1,-0.16666666666666666,0.5
