complete_path_recovery,condition,correct,depth,examples,first_hop_hit,latency_seconds,layer_token_kv_states,materialization,materialized_native_kv_tokens,mean_active_memory_fraction,mean_final_token_memory_attention_mass,mean_intervention_state_displacement,mean_memory_to_local_output_norm_ratio,mean_pra_output_divergence_ratio,ordered_prefix_recovery,reference_recall,replay_count,seed,selected_reference_count,window
0.7142857142857143,one_shot_whole_parent,0.2857142857142857,1,7,0.7142857142857143,0.026300314281667982,20.0,full_reference,20.0,0.8,0.8899229935237339,0.0,0.0,1.4251067481881574,0.42857142857142855,0.7142857142857143,0.0,29,4.0,w128
0.2222222222222222,one_shot_whole_parent,0.1111111111111111,2,9,0.3333333333333333,0.02308963334912227,20.0,full_reference,20.0,0.7692307692307693,0.8940615389082167,0.0,0.0,1.3943966178237115,0.1111111111111111,0.3888888888888889,0.0,29,4.0,w128
0.0,one_shot_whole_parent,0.25,3,4,0.0,0.025938324950402603,20.0,full_reference,20.0,0.7407407407407407,0.9182297736406326,0.0,0.0,1.4827649816316264,0.0,0.25,0.0,29,4.0,w128
0.0,one_shot_whole_parent,0.3333333333333333,4,3,0.0,0.02677273335090528,20.0,full_reference,20.0,0.7142857142857143,0.8839521805445353,0.0,0.0,1.4472822466241153,0.0,0.25,0.0,29,4.0,w128
0.0,one_shot_whole_parent,0.1111111111111111,8,9,0.1111111111111111,0.025490833329968154,20.0,full_reference,20.0,0.625,0.8295321199629042,0.0,0.0,1.1094403378658744,0.0,0.2777777777777778,0.0,29,4.0,w128
1.0,spacing_1,0.14285714285714285,1,7,1.0,0.06827735714614391,29.285714285714285,selected_chunks,29.285714285714285,0.4880952380952381,0.6368881464004517,0.1486567633492606,0.0,1.168883517106144,0.42857142857142855,1.0,0.0,29,5.857142857142857,w128
0.5555555555555556,spacing_1,0.3333333333333333,2,9,0.5555555555555556,0.06442079999639343,30.0,selected_chunks,30.0,0.45454545454545453,0.7516137118692751,0.16441117260191176,0.0,1.3218689339055305,0.05555555555555555,0.6111111111111112,0.0,29,6.0,w128
0.0,spacing_1,0.5,3,4,0.0,0.06756664995918982,30.0,selected_chunks,30.0,0.4166666666666667,0.7463002192477385,0.1534993976354599,0.0,1.2721574984483324,0.0,0.5,0.0,29,6.0,w128
0.0,spacing_1,0.0,4,3,0.3333333333333333,0.0637234333359326,30.0,selected_chunks,30.0,0.38461538461538464,0.7400799857245551,0.16131455500920613,0.0,1.371377603828936,0.0,0.4166666666666667,0.0,29,6.0,w128
0.0,spacing_1,0.2222222222222222,8,9,0.2222222222222222,0.06705617775312728,30.0,selected_chunks,30.0,0.29411764705882354,0.7073747151427798,0.15137603018018933,0.0,1.2549408488428893,0.0,0.3888888888888889,0.0,29,6.0,w128
1.0,spacing_2,0.2857142857142857,1,7,1.0,0.04448654284767274,15.0,selected_chunks,15.0,0.5,0.793550614799772,0.3770037123135158,0.0,1.4465824218897396,0.42857142857142855,1.0,0.0,29,3.0,w128
0.1111111111111111,spacing_2,0.0,2,9,0.1111111111111111,0.04458264445161654,15.0,selected_chunks,15.0,0.45454545454545453,0.8346488630330121,0.3534855544567108,0.0,1.3954471131421606,0.05555555555555555,0.16666666666666666,0.0,29,3.0,w128
0.0,spacing_2,0.25,3,4,0.0,0.045945725054480135,15.0,selected_chunks,15.0,0.4166666666666667,0.8456267466147741,0.3680393695831299,0.0,1.5496882978252293,0.0,0.3333333333333333,0.0,29,3.0,w128
0.0,spacing_2,0.0,4,3,0.0,0.04606956666490684,15.0,selected_chunks,15.0,0.38461538461538464,0.8660914831691318,0.3442479769388835,0.0,1.5537384292261454,0.0,0.25,0.0,29,3.0,w128
0.0,spacing_2,0.3333333333333333,8,9,0.0,0.04465731113062551,15.0,selected_chunks,15.0,0.29411764705882354,0.7853169573677911,0.360429972410202,0.0,1.4227199898816791,0.0,0.18055555555555555,0.0,29,3.0,w128
1.0,spacing_4,0.42857142857142855,1,7,1.0,0.04307881426731391,10.0,selected_chunks,10.0,0.5,0.7673387335879462,0.7300497378621783,0.0,1.270516272038925,0.42857142857142855,1.0,0.0,29,2.0,w128
0.0,spacing_4,0.0,2,9,0.1111111111111111,0.03096204443782982,10.0,selected_chunks,10.0,0.45454545454545453,0.7705350418885549,0.7405180732409159,0.0,1.2397794426070818,0.05555555555555555,0.1111111111111111,0.0,29,2.0,w128
0.0,spacing_4,0.5,3,4,0.0,0.03340122499503195,10.0,selected_chunks,10.0,0.4166666666666667,0.7920809090137482,0.7233550101518631,0.0,1.2112132239353475,0.0,0.25,0.0,29,2.0,w128
0.0,spacing_4,0.3333333333333333,4,3,0.0,0.0329052999538059,10.0,selected_chunks,10.0,0.38461538461538464,0.7659678359826406,0.7350019613901774,0.0,1.1908871685367066,0.0,0.16666666666666666,0.0,29,2.0,w128
0.0,spacing_4,0.3333333333333333,8,9,0.0,0.03360665555939906,10.0,selected_chunks,10.0,0.29411764705882354,0.6844849387804667,0.7325152224964566,0.0,1.0118130628057764,0.0,0.1527777777777778,0.0,29,2.0,w128
0.42857142857142855,spacing_8,0.2857142857142857,1,7,0.42857142857142855,0.025464314268901944,5.0,selected_chunks,5.0,0.5,0.6674866208008358,0.0,0.0,1.3331977211338921,0.42857142857142855,0.42857142857142855,0.0,29,1.0,w128
0.0,spacing_8,0.1111111111111111,2,9,0.1111111111111111,0.023086966688020363,5.0,selected_chunks,5.0,0.45454545454545453,0.6260806123415629,0.0,0.0,1.1835136255385796,0.05555555555555555,0.05555555555555555,0.0,29,1.0,w128
0.0,spacing_8,0.5,3,4,0.0,0.0222899500222411,5.0,selected_chunks,5.0,0.4166666666666667,0.6979880332946777,0.0,0.0,1.2705367875574127,0.0,0.16666666666666666,0.0,29,1.0,w128
0.0,spacing_8,0.3333333333333333,4,3,0.0,0.02287770000596841,5.0,selected_chunks,5.0,0.38461538461538464,0.7097592949867249,0.0,0.0,1.376241205319533,0.0,0.08333333333333333,0.0,29,1.0,w128
0.0,spacing_8,0.2222222222222222,8,9,0.0,0.02361034445412871,5.0,selected_chunks,5.0,0.29411764705882354,0.5467849837409126,0.0,0.0,0.9494751071742393,0.0,0.08333333333333333,0.0,29,1.0,w128
0.8571428571428571,iterative_matched,0.2857142857142857,1,7,0.8571428571428571,0.04923332858431552,20.0,selected_chunks,20.0,0.5,0.7689964366810662,0.27484380915051415,0.0,1.3342205825639817,0.0,0.8571428571428571,0.0,41,4.0,w128
0.2222222222222222,iterative_matched,0.3333333333333333,2,9,0.2222222222222222,0.046884955540816814,20.0,selected_chunks,20.0,0.45454545454545453,0.7723294405473603,0.2666467825571696,0.0,1.2658496002649677,0.05555555555555555,0.4444444444444444,0.0,41,4.0,w128
0.0,iterative_matched,0.25,3,4,0.25,0.0474559249705635,20.0,selected_chunks,20.0,0.4166666666666667,0.754429530352354,0.25051502883434296,0.0,1.3727680238541415,0.0,0.41666666666666663,0.0,41,4.0,w128
0.0,iterative_matched,0.3333333333333333,4,3,0.3333333333333333,0.04800863331183791,20.0,selected_chunks,20.0,0.38461538461538464,0.7734331587950388,0.2837725943989224,0.0,1.4577993463217718,0.0,0.16666666666666666,0.0,41,4.0,w128
0.0,iterative_matched,0.0,8,9,0.1111111111111111,0.0498183888848871,20.0,selected_chunks,20.0,0.29411764705882354,0.7016938866840469,0.25995069962960704,0.0,1.153381348098585,0.013888888888888888,0.2777777777777778,0.0,41,4.0,w128
0.7142857142857143,late_only,0.0,1,7,0.7142857142857143,0.024776285713804618,20.0,selected_chunks,20.0,0.8,0.667279064655304,0.0,0.0,1.2970133608601409,0.14285714285714285,0.7142857142857143,0.0,41,4.0,w128
0.3333333333333333,late_only,0.2222222222222222,2,9,0.3333333333333333,0.02263104444783595,20.0,selected_chunks,20.0,0.7692307692307693,0.7119264867570665,0.0,0.0,1.279878285993922,0.0,0.5,0.0,41,4.0,w128
0.0,late_only,0.0,3,4,0.25,0.022756899968953803,20.0,selected_chunks,20.0,0.7407407407407407,0.6825484409928322,0.0,0.0,1.278515971880207,0.0,0.41666666666666663,0.0,41,4.0,w128
0.0,late_only,0.3333333333333333,4,3,0.3333333333333333,0.02472706666837136,20.0,selected_chunks,20.0,0.7142857142857143,0.8010125954945883,0.0,0.0,1.1388171737246282,0.0,0.25,0.0,41,4.0,w128
0.0,late_only,0.1111111111111111,8,9,0.0,0.023501366687317688,20.0,selected_chunks,20.0,0.625,0.6297023230128818,0.0,0.0,1.141874121211851,0.0,0.3333333333333333,0.0,41,4.0,w128
0.0,local_sa_full_context,0.14285714285714285,1,7,0.0,0.01458152855879494,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_full_context,0.4444444444444444,2,9,0.0,0.014704044429688819,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_full_context,0.5,3,4,0.0,0.014474850031547248,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_full_context,0.6666666666666666,4,3,0.0,0.013952399992073575,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_full_context,0.4444444444444444,8,9,0.0,0.016866099994836584,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_query_only,0.0,1,7,0.0,0.014654128546161311,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_query_only,0.2222222222222222,2,9,0.0,0.014211499998863373,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_query_only,0.25,3,4,0.0,0.013757074979366735,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_query_only,0.3333333333333333,4,3,0.0,0.012664599965016047,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.0,local_sa_query_only,0.1111111111111111,8,9,0.0,0.01546201111179673,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,w128
0.2857142857142857,one_shot,0.14285714285714285,1,7,0.2857142857142857,0.023416514292226305,20.0,selected_chunks,20.0,0.8,0.892483617578234,0.0,0.0,1.3062957547960536,0.0,0.2857142857142857,0.0,41,4.0,w128
0.2222222222222222,one_shot,0.1111111111111111,2,9,0.6666666666666666,0.023881411128160026,20.0,selected_chunks,20.0,0.7692307692307693,0.8858023550775316,0.0,0.0,1.3489094618890372,0.1111111111111111,0.5555555555555556,0.0,41,4.0,w128
0.0,one_shot,0.5,3,4,0.25,0.021695674979127944,20.0,selected_chunks,20.0,0.7407407407407407,0.8730486482381821,0.0,0.0,1.2537913214417227,0.0,0.5833333333333333,0.0,41,4.0,w128
0.0,one_shot,0.6666666666666666,4,3,0.3333333333333333,0.024817933289644618,20.0,selected_chunks,20.0,0.7142857142857143,0.9351271192232767,0.0,0.0,1.3783323458563788,0.0,0.16666666666666666,0.0,41,4.0,w128
0.0,one_shot,0.0,8,9,0.3333333333333333,0.023349844449613657,20.0,selected_chunks,20.0,0.625,0.8148444294929504,0.0,0.0,1.131468084428235,0.013888888888888888,0.3055555555555556,0.0,41,4.0,w128
0.2857142857142857,one_shot_whole_parent,0.14285714285714285,1,7,0.2857142857142857,0.02606917142734996,20.0,full_reference,20.0,0.8,0.892483617578234,0.0,0.0,1.3062957547960536,0.0,0.2857142857142857,0.0,41,4.0,w128
0.2222222222222222,one_shot_whole_parent,0.1111111111111111,2,9,0.6666666666666666,0.02511447776729862,20.0,full_reference,20.0,0.7692307692307693,0.8858023550775316,0.0,0.0,1.3489094618890372,0.1111111111111111,0.5555555555555556,0.0,41,4.0,w128
0.0,one_shot_whole_parent,0.5,3,4,0.25,0.02297669998370111,20.0,full_reference,20.0,0.7407407407407407,0.8730486482381821,0.0,0.0,1.2537913214417227,0.0,0.5833333333333333,0.0,41,4.0,w128
0.0,one_shot_whole_parent,0.6666666666666666,4,3,0.3333333333333333,0.027717033323521417,20.0,full_reference,20.0,0.7142857142857143,0.9351271192232767,0.0,0.0,1.3783323458563788,0.0,0.16666666666666666,0.0,41,4.0,w128
0.0,one_shot_whole_parent,0.0,8,9,0.3333333333333333,0.02573032221860356,20.0,full_reference,20.0,0.625,0.8148444294929504,0.0,0.0,1.131468084428235,0.013888888888888888,0.3055555555555556,0.0,41,4.0,w128
0.8571428571428571,spacing_1,0.2857142857142857,1,7,0.8571428571428571,0.06023022856762899,29.285714285714285,selected_chunks,29.285714285714285,0.4880952380952381,0.7113382951134727,0.15460527965000698,0.0,1.3603836694358697,0.0,0.8571428571428571,0.0,41,5.857142857142857,w128
0.4444444444444444,spacing_1,0.2222222222222222,2,9,0.4444444444444444,0.07305522222951469,30.0,selected_chunks,30.0,0.45454545454545453,0.6965903688084196,0.14717249075571695,0.0,1.3012662410251008,0.05555555555555555,0.7222222222222222,0.0,41,6.0,w128
