window,seed,example_id,depth,policy,evidence_condition,stage_type,layer,margin_delta_vs_no_memory,probability_delta_vs_no_memory
w16,17,chain-100004-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-100004-d1,1,one_shot,selected,after_pra,0,-0.5903255939483643,-0.06308764219284058
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,0,-1.1533989906311035,-0.058721110224723816
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,1,-1.0800511837005615,-0.05499451607465744
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,2,-0.637953519821167,-0.00025644898414611816
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,3,0.061116695404052734,0.014559589326381683
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,4,0.8425030708312988,0.025605184957385063
w16,17,chain-100004-d1,1,one_shot,selected,after_layer,5,1.6000854969024658,0.022825201973319054
w16,17,chain-204733-d3,3,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-204733-d3,3,one_shot,selected,after_pra,0,0.06468629837036133,0.014363132417201996
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,0,0.28948497772216797,0.022100485861301422
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,1,0.5528442859649658,0.028599880635738373
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,2,0.705817699432373,0.02157040685415268
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,3,0.7815208435058594,0.013726046308875084
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,4,1.2422478199005127,0.010987815447151661
w16,17,chain-204733-d3,3,one_shot,selected,after_layer,5,1.868612289428711,0.021328415721654892
w16,17,chain-309462-d4,4,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-309462-d4,4,one_shot,selected,after_pra,0,0.6958978176116943,0.04320529103279114
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,0,0.8341622352600098,0.04727540910243988
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,1,0.2789897918701172,0.06168302893638611
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,2,0.3543729782104492,0.03396841883659363
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,3,0.18559885025024414,-0.0007523056119680405
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,4,0.09639215469360352,-0.003691278398036957
w16,17,chain-309462-d4,4,one_shot,selected,after_layer,5,1.4142951965332031,0.006215038243681192
w16,17,chain-414191-d2,2,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-414191-d2,2,one_shot,selected,after_pra,0,-0.7259887456893921,-0.08502554148435593
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,0,-1.595691442489624,-0.17005719244480133
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,1,-2.3219823837280273,-0.3135106936097145
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,2,-2.1612277030944824,-0.276093453168869
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,3,-1.6523070335388184,-0.3133798688650131
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,4,-2.6312074661254883,-0.4833240658044815
w16,17,chain-414191-d2,2,one_shot,selected,after_layer,5,-4.094411373138428,-0.701210331171751
w16,17,chain-518920-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-518920-d1,1,one_shot,selected,after_pra,0,-0.19289743900299072,-0.017591223120689392
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,0,-0.019958019256591797,-0.017264291644096375
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,1,-0.3348658084869385,0.00202159583568573
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,2,0.1750340461730957,0.010797049850225449
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,3,0.5891313552856445,0.019720155745744705
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,4,0.779564619064331,0.01842421479523182
