window,layer_id,n,restricted_context_dependence,attention_contribution_ratio,post_attention_displacement,attention_entropy,effective_support,ffn_magnitude_ratio,edge_recall_at_4,edge_recall_at_6,mrr,shortcut_rate,graph_density_at_4,corr_restricted_context_dependence_vs_edge_recall_at_4,corr_restricted_context_dependence_vs_mrr,corr_restricted_context_dependence_vs_shortcut_rate,corr_attention_contribution_ratio_vs_edge_recall_at_4,corr_attention_contribution_ratio_vs_mrr,corr_attention_contribution_ratio_vs_shortcut_rate,corr_post_attention_displacement_vs_edge_recall_at_4,corr_post_attention_displacement_vs_mrr,corr_post_attention_displacement_vs_shortcut_rate
global,0,5,0.24647409301251172,0.9036347040906548,0.24732944313436747,1.8993461836362258,8.794241356104612,0.34891736176796256,0.2341666666666667,0.365,0.20647550318690025,0.645,0.35343723950341593,0.2850612591928553,0.233476951615943,-0.05532928603959054,0.2715415704290676,0.19093468161798205,0.08513981813999152,0.2598260456873407,0.18288386061813472,0.11698289058398449
global,1,5,0.36729235369712115,0.6642082050908357,0.1412162508815527,1.64056495456025,6.396490771695971,0.21443570374976845,0.21000000000000002,0.3458333333333333,0.19234253389584272,0.6191666666666666,0.35343723950341593,-0.17291708329360236,-0.20253849780128202,0.406894040374003,-0.5069905147852825,-0.5386009294159932,0.5235815860472823,-0.42257308555169953,-0.4376069010201747,0.45071555931881796
global,2,5,0.41640904638916254,0.4824056158773601,0.08819607496261597,2.0461273922468535,10.94219752587378,0.1360664350213483,0.2308333333333333,0.36916666666666664,0.21210395160395162,0.6308333333333334,0.35343723950341593,-0.13750281281511878,-0.05985995663959365,0.36516122538040807,-0.2559041540089139,-0.22312115918546382,-0.006927775837535589,-0.16797650861369098,-0.1316612807221527,-0.10147550027578378
global,3,5,0.4575080256909132,0.28433476940263064,0.030152240954339504,2.2466301074251533,11.456207846477628,0.10306029588682578,0.155,0.2975,0.1709589392089392,0.6041666666666666,0.35343723950341593,-0.14490860834841657,-0.12257832424728046,0.30439752387231983,0.47938736398998244,0.4751611880185367,-0.4023526875483257,0.5930600400798433,0.5941262300721951,-0.4383202973018904
global,4,5,0.48545184563845395,0.250686309626326,0.023631275817751884,2.3393498439341784,13.159303394332529,0.07637278959155083,0.17416666666666666,0.3158333333333333,0.17786777778321897,0.5766666666666667,0.35343723950341593,0.173215798573757,0.18795157776301805,0.09082902599184031,0.8085385850595982,0.7873967799793593,-0.5170317460436356,0.8418079282430603,0.8232240297374249,-0.5144252556166089
global,5,5,0.4940311433747411,0.14011489246040582,0.008128746412694454,3.1501795660704373,29.57367868348956,0.0726390635012649,0.18666666666666668,0.3175,0.17987336825755945,0.5841666666666667,0.35343723950341593,0.311520938651836,0.3181169629156273,-0.0071609042344167925,0.7056113338832828,0.7190429715338453,-0.48416030473369875,0.6942699715996629,0.713805644816256,-0.4838353823776638
w128,0,5,1.6391277313232423e-08,0.8401488726492972,0.21968927662819623,2.060597709729336,10.67116552181542,0.3837637505028397,0.21583333333333332,0.34750000000000003,0.19572790553672909,0.6508333333333333,0.35343723950341593,0.2850612591928553,0.233476951615943,-0.05532928603959054,0.2715415704290676,0.19093468161798205,0.08513981813999152,0.2598260456873407,0.18288386061813472,0.11698289058398449
w128,1,5,0.0025907602161169053,0.6513188969809562,0.13022084087133406,1.6462947899475693,6.502468229830265,0.2166041862219572,0.1825,0.3041666666666667,0.17782180564533506,0.605,0.35343723950341593,-0.17291708329360236,-0.20253849780128202,0.406894040374003,-0.5069905147852825,-0.5386009294159932,0.5235815860472823,-0.42257308555169953,-0.4376069010201747,0.45071555931881796
w128,2,5,0.005057638324797153,0.48235307591967286,0.08362906891852617,1.9661722247023135,10.156848594918847,0.13491990035399795,0.19833333333333333,0.32916666666666666,0.1880920607850755,0.6008333333333333,0.35343723950341593,-0.13750281281511878,-0.05985995663959365,0.36516122538040807,-0.2559041540089139,-0.22312115918546382,-0.006927775837535589,-0.16797650861369098,-0.1316612807221527,-0.10147550027578378
w128,3,5,0.011725346371531487,0.2957222038879991,0.030959036014974118,2.285517796687782,11.439633075147867,0.10520504221785813,0.1675,0.3075,0.17566216313642782,0.5583333333333333,0.35343723950341593,-0.14490860834841657,-0.12257832424728046,0.30439752387231983,0.47938736398998244,0.4751611880185367,-0.4023526875483257,0.5930600400798433,0.5941262300721951,-0.4383202973018904
w128,4,5,0.016963299177587033,0.24753065975382924,0.022851931117475032,2.3871673066169024,13.75371281132102,0.07882925836602225,0.1691666666666667,0.2925,0.1714880381056852,0.5583333333333333,0.35343723950341593,0.173215798573757,0.18795157776301805,0.09082902599184031,0.8085385850595982,0.7873967799793593,-0.5170317460436356,0.8418079282430603,0.8232240297374249,-0.5144252556166089
w128,5,5,0.020198469050228596,0.1525058708852157,0.008546842634677887,3.2247768986970184,28.89720865264535,0.07959398450329899,0.19583333333333333,0.32416666666666666,0.1821024792201263,0.5375,0.35343723950341593,0.311520938651836,0.3181169629156273,-0.0071609042344167925,0.7056113338832828,0.7190429715338453,-0.48416030473369875,0.6942699715996629,0.713805644816256,-0.4838353823776638
w16,0,5,6.891787052154541e-09,0.4102836136240512,0.07740757819265127,1.4286198161542416,4.396785582602024,0.48070530835539105,0.22083333333333335,0.3466666666666667,0.2022396178168237,0.6425000000000001,0.35343723950341593,0.2850612591928553,0.233476951615943,-0.05532928603959054,0.2715415704290676,0.19093468161798205,0.08513981813999152,0.2598260456873407,0.18288386061813472,0.11698289058398449
w16,1,5,0.012931003049016,0.46447306261397897,0.09000672027468681,1.045678402669728,2.9466538287699224,0.295289288694039,0.4083333333333333,0.5941666666666666,0.3050192449163037,0.4725,0.35343723950341593,-0.17291708329360236,-0.20253849780128202,0.406894040374003,-0.5069905147852825,-0.5386009294159932,0.5235815860472823,-0.42257308555169953,-0.4376069010201747,0.45071555931881796
w16,2,5,0.06389208920300007,0.4346642111428082,0.07481124196201563,1.021194875612855,2.9346251405775545,0.17891939631663262,0.4333333333333333,0.5841666666666667,0.30554818887539476,0.4341666666666667,0.35343723950341593,-0.13750281281511878,-0.05985995663959365,0.36516122538040807,-0.2559041540089139,-0.22312115918546382,-0.006927775837535589,-0.16797650861369098,-0.1316612807221527,-0.10147550027578378
w16,3,5,0.15991176422685385,0.4200927972327918,0.07062442675232887,0.6718677665456199,2.035980498418212,0.11573539187666029,0.3825,0.5533333333333333,0.2871685025894585,0.47000000000000003,0.35343723950341593,-0.14490860834841657,-0.12257832424728046,0.30439752387231983,0.47938736398998244,0.4751611880185367,-0.4023526875483257,0.5930600400798433,0.5941262300721951,-0.4383202973018904
w16,4,5,0.29256842024624347,0.42379035484045746,0.06993571184575557,0.5272476066253148,1.7967406660318375,0.097627072094474,0.4066666666666666,0.5558333333333334,0.3021459527672763,0.4525,0.35343723950341593,0.173215798573757,0.18795157776301805,0.09082902599184031,0.8085385850595982,0.7873967799793593,-0.5170317460436356,0.8418079282430603,0.8232240297374249,-0.5144252556166089
w16,5,5,0.42606356292963027,0.4400145177263767,0.06640864610671997,0.6461332133327232,2.097476964816451,0.10655649680411443,0.42833333333333334,0.5916666666666667,0.31058289756267693,0.4291666666666667,0.35343723950341593,0.311520938651836,0.3181169629156273,-0.0071609042344167925,0.7056113338832828,0.7190429715338453,-0.48416030473369875,0.6942699715996629,0.713805644816256,-0.4838353823776638
w32,0,5,1.4901161193847656e-08,0.4390305371955037,0.08455629255622625,2.119014091230929,9.415592481940985,0.4458013566210866,0.16083333333333333,0.2808333333333334,0.17365058056050703,0.6525000000000001,0.35343723950341593,0.2850612591928553,0.233476951615943,-0.05532928603959054,0.2715415704290676,0.19093468161798205,0.08513981813999152,0.2598260456873407,0.18288386061813472,0.11698289058398449
w32,1,5,0.0280278580263257,0.48168640285730363,0.0952456932514906,1.6346556073985994,5.559599466249347,0.28617489906027915,0.25,0.38333333333333336,0.22049724866636627,0.5266666666666666,0.35343723950341593,-0.17291708329360236,-0.20253849780128202,0.406894040374003,-0.5069905147852825,-0.5386009294159932,0.5235815860472823,-0.42257308555169953,-0.4376069010201747,0.45071555931881796
w32,2,5,0.12397707141935825,0.4919505001511425,0.09231954477727414,0.9921643637819215,2.900258256494999,0.16801044805906712,0.2533333333333333,0.3883333333333333,0.22217421351796354,0.48999999999999994,0.35343723950341593,-0.13750281281511878,-0.05985995663959365,0.36516122538040807,-0.2559041540089139,-0.22312115918546382,-0.006927775837535589,-0.16797650861369098,-0.1316612807221527,-0.10147550027578378
w32,3,5,0.25804678816348314,0.4468511429615319,0.07332412526011467,0.8537379348184914,2.501280018687248,0.10474946064641699,0.2733333333333333,0.3933333333333333,0.23357417650432355,0.5225,0.35343723950341593,-0.14490860834841657,-0.12257832424728046,0.30439752387231983,0.47938736398998244,0.4751611880185367,-0.4023526875483257,0.5930600400798433,0.5941262300721951,-0.4383202973018904
w32,4,5,0.40018670782446863,0.45499707204289735,0.06695874854922294,0.9011675786226988,2.7468563109636306,0.08116918031591921,0.30333333333333334,0.4325,0.24170456599500717,0.5391666666666667,0.35343723950341593,0.173215798573757,0.18795157776301805,0.09082902599184031,0.8085385850595982,0.7873967799793593,-0.5170317460436356,0.8418079282430603,0.8232240297374249,-0.5144252556166089
