window,policy,evidence_condition,n,evidence_attention_mass,distractor_attention_mass,native_attention_mass,attention_entropy,effective_support,attention_mass_sum
global,iterative_matched,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
global,iterative_matched,oracle,5,0.2776857464089142,0.3105972803019321,0.41171697328915363,1.6643499813973903,5.44308250272001,1.0
global,iterative_matched,selected,5,0.1644887804011499,0.5341167301272495,0.3013944894716007,1.5984619487076999,5.096381369704109,1.0
global,iterative_matched,shuffle,5,0.13109761569296768,0.439331772811231,0.4295706114958014,1.6984375210478901,5.57566999991659,1.0
global,iterative_matched,wrong,5,0.0,0.5433725392346564,0.45662746076534366,1.704577968083322,5.591743344844323,1.0
global,one_shot,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
global,one_shot,oracle,5,0.404114535676817,0.4704659223687318,0.1254195419544512,2.7232164829969405,15.362181134342473,1.0
global,one_shot,selected,5,0.24949861727511108,0.6545596993705074,0.09594168335438147,2.688553524017334,14.818841372975163,1.0
global,one_shot,shuffle,5,0.22173031236418547,0.6344917461473323,0.14377794148848227,2.745306894183159,15.688126008765082,1.0
global,one_shot,wrong,5,0.0,0.8592383567505717,0.14076164324942825,2.7454637408256533,15.662357998717317,1.0
global,oracle_layer_0,oracle,5,0.404114535676817,0.4704659223687318,0.1254195419544512,2.7232164829969405,15.362181134342473,1.0
global,oracle_layer_1,oracle,5,0.3717067063740217,0.49985073288737925,0.128442560738599,2.553082950413227,13.048982751756103,1.0
global,oracle_layer_2,oracle,5,0.3486338958556671,0.4355111254176219,0.21585497872671094,2.472667470574379,12.20662548113216,1.0
global,oracle_layer_3,oracle,5,0.325018024868225,0.42518404809829863,0.2497979270334763,2.5705676048994066,13.244180619772772,1.0
global,oracle_layer_4,oracle,5,0.33816833886235587,0.41302569794393734,0.24880596319370687,2.574465337395668,13.308021082791484,1.0
global,oracle_layer_5,oracle,5,0.35055613635268373,0.4002726434574509,0.2491712201898654,2.6702788531780244,14.538102517469753,1.0
global,spacing_1,selected,5,0.13783521616615518,0.4920412047234244,0.3701235791104204,1.6058966192106408,5.151593376503994,1.0
global,spacing_2,selected,5,0.16932867583608352,0.5437999189836307,0.2868714051802858,1.5798129123946032,5.01411796416691,1.0
global,spacing_4,selected,5,0.16386359500093456,0.543597373766402,0.29253903123266345,1.6656227685511111,5.371738770980754,1.0
w128,iterative_matched,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w128,iterative_matched,oracle,5,0.2813208547504078,0.3086441775953771,0.41003496765421515,1.6522136984393,5.371839000039128,1.0
w128,iterative_matched,selected,5,0.1702343363056408,0.5506203891173975,0.27914527457696164,1.577133566699922,4.988139827964515,1.0
w128,iterative_matched,shuffle,5,0.12977095620112758,0.43116872077005547,0.4390603230288169,1.693054929934442,5.529943382428642,1.0
w128,iterative_matched,wrong,5,0.0,0.5446546754370822,0.45534532456291776,1.6973339315503835,5.540610443328629,1.0
w128,one_shot,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w128,one_shot,oracle,5,0.40017278627572644,0.4726297517042397,0.12719746202003385,2.706619492173195,15.095303075288538,1.0
w128,one_shot,selected,5,0.24239041226311692,0.6606001004659866,0.09700948727089649,2.667482617497444,14.488851467448253,1.0
w128,one_shot,shuffle,5,0.19038789677449608,0.6646073927183426,0.14500471050716138,2.7248591989278794,15.364156300376811,1.0
w128,one_shot,wrong,5,0.0,0.8583501063843766,0.14164989361562333,2.724354761838913,15.330949828980064,1.0
w128,oracle_layer_0,oracle,5,0.40017278627572644,0.4726297517042397,0.12719746202003385,2.706619492173195,15.095303075288538,1.0
w128,oracle_layer_1,oracle,5,0.3532811677667716,0.5104698944668729,0.13624893776635558,2.4530592799186706,12.07309150246023,1.0
w128,oracle_layer_2,oracle,5,0.3667305399748867,0.46963678909427137,0.16363267093084186,2.4709660917520524,12.135371622609371,1.0
w128,oracle_layer_3,oracle,5,0.3458835901058174,0.4233071224195301,0.23080928747465257,2.58942389190197,13.453369526741337,1.0
w128,oracle_layer_4,oracle,5,0.3510286924839844,0.4459903495116412,0.20298095800437452,2.5671416252851484,13.217644708733024,1.0
w128,oracle_layer_5,oracle,5,0.3347980544405474,0.4091867461879824,0.25601519937147027,2.635352239012718,14.056428609755411,1.0
w128,spacing_1,selected,5,0.14336549745950594,0.5130646050635033,0.34356989747699074,1.561563839887579,4.950407337825672,1.0
w128,spacing_2,selected,5,0.1647873159504363,0.5721378876456377,0.26307479640392606,1.5479450337588787,4.866349594480056,1.0
w128,spacing_4,selected,5,0.14239387638770934,0.5586126346977667,0.29899348891452393,1.6468848131597043,5.271402742197378,1.0
w16,iterative_matched,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w16,iterative_matched,oracle,5,0.23305626602855245,0.24349925016207213,0.5234444838093755,1.597895634919405,5.0296645824327175,1.0
w16,iterative_matched,selected,5,0.10754514372060793,0.4561157000571935,0.43633915622219854,1.573716751486063,4.938393647425387,1.0
w16,iterative_matched,shuffle,5,0.09169277299746526,0.3678969289016729,0.5404102981008618,1.5928628582507371,4.998897678745356,1.0
w16,iterative_matched,wrong,5,0.0,0.45853399177272475,0.5414660082272753,1.598963312804699,5.03666152510786,1.0
w16,one_shot,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w16,one_shot,oracle,5,0.35076652094621297,0.49830529276342983,0.1509281862903572,2.5550407856702804,13.003531220369917,1.0
w16,one_shot,selected,5,0.17582471233744684,0.6990228688271621,0.12515241883539105,2.5881711333990096,13.406604414788495,1.0
w16,one_shot,shuffle,5,0.17790307971525565,0.6648509378361441,0.15724598244860022,2.5677110970020296,13.158167519052029,1.0
w16,one_shot,wrong,5,0.0,0.8419404747986382,0.15805952520136177,2.576416289806366,13.260426442774634,1.0
w16,oracle_layer_0,oracle,5,0.35076652094621297,0.49830529276342983,0.1509281862903572,2.5550407856702804,13.003531220369917,1.0
