window,seed,n,path_gain,reference_recall_gain,answer_gain
global,17,23,0.0,-0.014492753623188403,-0.043478260869565216
global,29,23,0.08695652173913043,0.13405797101449277,0.043478260869565216
global,41,23,0.08695652173913043,0.10869565217391304,0.0
global,53,23,0.0,0.050724637681159424,0.21739130434782608
global,67,23,-0.08695652173913043,-0.10144927536231885,-0.2608695652173913
w128,17,23,0.043478260869565216,-0.0036231884057971006,0.0
w128,29,23,0.08695652173913043,0.14855072463768115,0.13043478260869565
w128,41,23,0.17391304347826086,0.10144927536231885,0.043478260869565216
w128,53,23,0.043478260869565216,0.15217391304347827,0.21739130434782608
w128,67,23,-0.13043478260869565,-0.09057971014492754,-0.2608695652173913
w16,17,23,-0.043478260869565216,-0.03260869565217391,0.043478260869565216
w16,29,23,0.21739130434782608,0.14855072463768115,0.08695652173913043
w16,41,23,-0.17391304347826086,-0.17028985507246377,0.0
w16,53,23,0.17391304347826086,0.11231884057971016,0.0
w16,67,23,0.2608695652173913,0.286231884057971,0.043478260869565216
w32,17,23,0.13043478260869565,0.13768115942028986,0.0
w32,29,23,0.0,0.06159420289855073,0.13043478260869565
w32,41,23,-0.043478260869565216,-0.12681159420289853,0.043478260869565216
w32,53,23,0.17391304347826086,0.05434782608695652,0.08695652173913043
w32,67,23,0.043478260869565216,0.036231884057971016,-0.13043478260869565
w64,17,23,0.043478260869565216,0.08695652173913043,-0.08695652173913043
w64,29,23,-0.08695652173913043,0.0036231884057971032,-0.08695652173913043
w64,41,23,0.13043478260869565,0.09057971014492754,0.0
w64,53,23,0.043478260869565216,0.13043478260869565,0.21739130434782608
w64,67,23,-0.21739130434782608,-0.10869565217391304,-0.08695652173913043
