window,n,path_gain,answer_gain,margin_gain,oracle_margin_gain
global,80,-0.0375,-0.0875,0.3467637777328491,1.943526139855385
w128,80,0.0125,-0.025,0.5625305056571961,1.8223450243473054
w16,80,0.0125,-0.0375,0.4063188374042511,0.629638946056366
w32,80,0.0875,-0.0375,-0.2474391281604767,1.9789974749088288
w64,80,0.0625,-0.0125,0.6389286398887635,1.3869925677776336
