window,policy,evidence_condition,n,correct,full_vocabulary_correct,correct_margin,correct_probability,reference_recall,complete_path_recovery,layer_token_kv_states,brier_score
global,iterative_matched,e0,5,0.15,0.15,-3.244670367240906,0.14419307147645669,0.0,0.0,0.0,1.2782290163173458
global,iterative_matched,oracle,5,0.4625,0.4625,-0.32641995549201963,0.4243179297356619,1.0,1.0,20.0,0.7493798435515941
global,iterative_matched,selected,5,0.1875,0.1875,-2.2699460953474047,0.21048091574557476,0.60625,0.4375,20.0,1.1913061605060649
global,iterative_matched,shuffle,5,0.2,0.2,-2.4180753618478774,0.18733549800708715,0.621875,0.4625,20.0,1.178049478140747
global,iterative_matched,wrong,5,0.05,0.05,-4.097072759270668,0.05776330363351008,0.0,0.0,20.0,1.4629708593245596
global,one_shot,e0,5,0.15,0.15,-3.244670367240906,0.14419307147645669,0.0,0.0,0.0,1.2782290163173458
global,one_shot,oracle,5,0.425,0.425,-1.1631373763084412,0.3632868224398408,1.0,1.0,20.0,0.9573254475211342
global,one_shot,selected,5,0.275,0.275,-2.6167098730802536,0.2440584115607635,0.6260416666666667,0.475,20.0,1.1979547189792357
global,one_shot,shuffle,5,0.2375,0.2375,-2.7073522001504897,0.2239309652245538,0.6260416666666667,0.475,20.0,1.1917812465882889
global,one_shot,wrong,5,0.1125,0.1125,-4.12187322974205,0.10217255562847641,0.0,0.0,20.0,1.4496756797911075
global,oracle_layer_0,oracle,5,0.425,0.425,-1.1631373763084412,0.3632868224398408,1.0,1.0,20.0,0.9573254475211342
global,oracle_layer_1,oracle,5,0.3125,0.3125,-1.650616791844368,0.3052173922334987,1.0,1.0,20.0,1.0471768900490133
global,oracle_layer_2,oracle,5,0.4,0.4,-1.5031894981861114,0.31750392814938094,1.0,1.0,20.0,0.9618957136612153
global,oracle_layer_3,oracle,5,0.225,0.225,-1.997566968202591,0.21134073995981453,1.0,1.0,20.0,1.0616089762326737
global,oracle_layer_4,oracle,5,0.2,0.2,-2.2402153313159943,0.18592085422660604,1.0,1.0,20.0,1.125116806307051
global,oracle_layer_5,oracle,5,0.1625,0.1625,-2.7223340302705763,0.15898296709747228,1.0,1.0,20.0,1.2116345060057938
global,spacing_1,selected,5,0.325,0.325,-1.6122424125671386,0.29481183217503715,0.771875,0.6125,29.6875,1.014559447704778
global,spacing_2,selected,5,0.1875,0.1875,-2.438840764760971,0.2048850928673346,0.4875,0.35,15.0,1.214484695187639
global,spacing_4,selected,5,0.2125,0.2125,-2.5016665786504744,0.22783926351075934,0.3104166666666667,0.2125,10.0,1.225063248652259
w128,iterative_matched,e0,5,0.1875,0.1875,-3.102117767930031,0.1560590776854042,0.0,0.0,0.0,1.1924370150896721
w128,iterative_matched,oracle,5,0.4875,0.4875,-0.13658488392829896,0.4392591447223822,1.0,1.0,20.0,0.7048552813330844
w128,iterative_matched,selected,5,0.25,0.25,-1.9589299082756042,0.23979539341962663,0.628125,0.475,20.0,1.0948742840997512
w128,iterative_matched,shuffle,5,0.1875,0.1875,-2.43908531665802,0.18563991200026067,0.646875,0.4875,20.0,1.202568703965153
w128,iterative_matched,wrong,5,0.025,0.025,-4.015646004676819,0.04822019216298941,0.0,0.0,20.0,1.479864387214184
w128,one_shot,e0,5,0.1875,0.1875,-3.102117767930031,0.1560590776854042,0.0,0.0,0.0,1.1924370150896721
w128,one_shot,oracle,5,0.3875,0.3875,-1.1707798570394516,0.3573816672902467,1.0,1.0,20.0,0.9350862760149539
w128,one_shot,selected,5,0.275,0.275,-2.5214604139328003,0.251773680311544,0.5979166666666667,0.4625,20.0,1.1814065040787682
w128,one_shot,shuffle,5,0.2875,0.2875,-2.630786508321762,0.23181831629863153,0.5979166666666667,0.4625,20.0,1.1702802546897146
w128,one_shot,wrong,5,0.15,0.15,-4.038858705759049,0.1104540227643156,0.0,0.0,20.0,1.4229426365171094
w128,oracle_layer_0,oracle,5,0.3875,0.3875,-1.1707798570394516,0.3573816672902467,1.0,1.0,20.0,0.9350862760149539
w128,oracle_layer_1,oracle,5,0.325,0.325,-1.3768510669469833,0.3072778564679538,1.0,1.0,20.0,1.0036084848024303
w128,oracle_layer_2,oracle,5,0.375,0.375,-1.0895350396633148,0.34804635523778416,1.0,1.0,20.0,0.9026440874735272
w128,oracle_layer_3,oracle,5,0.2875,0.2875,-1.9327414155006408,0.24700520473161305,1.0,1.0,20.0,0.9833345510443905
w128,oracle_layer_4,oracle,5,0.2375,0.2375,-2.2399218559265135,0.20235712534813502,1.0,1.0,20.0,1.0650256272114347
w128,oracle_layer_5,oracle,5,0.225,0.225,-2.616206184029579,0.17016796009411336,1.0,1.0,20.0,1.1313287127471994
w128,spacing_1,selected,5,0.35,0.35,-1.2962130576372146,0.3218731389151799,0.7833333333333333,0.625,29.6875,0.9572048223593811
w128,spacing_2,selected,5,0.175,0.175,-2.3832846999168398,0.2045120715509256,0.4375,0.3,15.0,1.192579496340477
w128,spacing_4,selected,5,0.2,0.2,-2.5135538429021835,0.20913063665193476,0.27291666666666664,0.175,10.0,1.199248450430423
w16,iterative_matched,e0,5,0.1,0.1,-2.6156401962041853,0.13522512574090798,0.0,0.0,0.0,1.229645980556961
w16,iterative_matched,oracle,5,0.25,0.25,-1.6121682941913604,0.1985586265043821,1.0,1.0,20.0,0.9905875716125593
w16,iterative_matched,selected,5,0.0875,0.0875,-2.2418072402477263,0.139939120663621,0.4895833333333333,0.325,20.0,1.1046360705047846
w16,iterative_matched,shuffle,5,0.1875,0.1875,-2.0951471388339997,0.1494871018701815,0.4947916666666667,0.3375,20.0,1.062299313955009
w16,iterative_matched,wrong,5,0.0625,0.0625,-2.5834266632795333,0.09510997920151568,0.0,0.0,20.0,1.1743261698633432
w16,one_shot,e0,5,0.1,0.1,-2.6156401962041853,0.13522512574090798,0.0,0.0,0.0,1.229645980556961
w16,one_shot,oracle,5,0.2125,0.2125,-1.7265567362308503,0.20544233040836843,1.0,1.0,20.0,1.0544316279585473
w16,one_shot,selected,5,0.125,0.125,-2.6481260776519777,0.12350505411413906,0.4833333333333333,0.3125,20.0,1.2597365667286795
w16,one_shot,shuffle,5,0.1625,0.1625,-2.474268501996994,0.15190856296394487,0.4833333333333333,0.3125,20.0,1.1643915621505585
w16,one_shot,wrong,5,0.0625,0.0625,-3.002461963891983,0.09408130360643555,0.0,0.0,20.0,1.2902637975290419
w16,oracle_layer_0,oracle,5,0.2125,0.2125,-1.7265567362308503,0.20544233040836843,1.0,1.0,20.0,1.0544316279585473
w16,oracle_layer_1,oracle,5,0.1875,0.1875,-1.7288030356168747,0.2010268292040564,1.0,1.0,20.0,1.0178304696222766
w16,oracle_layer_2,oracle,5,0.1625,0.1625,-2.1513192892074584,0.16153141398681328,1.0,1.0,20.0,1.1126331604318693
