window,policy,n,correct,correct_margin,correct_probability,layer_token_kv_states,consumer_layer
global,oracle_layer_0,80,0.425,-1.1631373763084412,0.3632868224398408,20.0,0
global,oracle_layer_1,80,0.3125,-1.650616791844368,0.3052173922334987,20.0,1
global,oracle_layer_2,80,0.4,-1.5031894981861114,0.31750392814938094,20.0,2
global,oracle_layer_3,80,0.225,-1.997566968202591,0.21134073995981453,20.0,3
global,oracle_layer_4,80,0.2,-2.2402153313159943,0.18592085422660604,20.0,4
global,oracle_layer_5,80,0.1625,-2.7223340302705763,0.15898296709747228,20.0,5
w128,oracle_layer_0,80,0.3875,-1.1707798570394516,0.3573816672902467,20.0,0
w128,oracle_layer_1,80,0.325,-1.3768510669469833,0.3072778564679538,20.0,1
w128,oracle_layer_2,80,0.375,-1.0895350396633148,0.34804635523778416,20.0,2
w128,oracle_layer_3,80,0.2875,-1.9327414155006408,0.24700520473161305,20.0,3
w128,oracle_layer_4,80,0.2375,-2.2399218559265135,0.20235712534813502,20.0,4
w128,oracle_layer_5,80,0.225,-2.616206184029579,0.17016796009411336,20.0,5
w16,oracle_layer_0,80,0.2125,-1.7265567362308503,0.20544233040836843,20.0,0
w16,oracle_layer_1,80,0.1875,-1.7288030356168747,0.2010268292040564,20.0,1
w16,oracle_layer_2,80,0.1625,-2.1513192892074584,0.16153141398681328,20.0,2
w16,oracle_layer_3,80,0.15,-1.9582862198352813,0.15269680223427712,20.0,3
w16,oracle_layer_4,80,0.1125,-2.2677101105451585,0.13178932243172312,20.0,4
w16,oracle_layer_5,80,0.0875,-2.1882954359054567,0.13547015277727043,20.0,5
w32,oracle_layer_0,80,0.4125,-0.7887613534927368,0.38068891078328304,20.0,0
w32,oracle_layer_1,80,0.3125,-1.6554272830486298,0.2780385686157388,20.0,1
w32,oracle_layer_2,80,0.2625,-2.118516781926155,0.22698467802438244,20.0,2
w32,oracle_layer_3,80,0.2125,-1.8837484389543533,0.21202003984944895,20.0,3
w32,oracle_layer_4,80,0.1875,-2.3433171659708023,0.1572566510803881,20.0,4
w32,oracle_layer_5,80,0.1,-2.39575032889843,0.14848101187380963,20.0,5
w64,oracle_layer_0,80,0.35,-1.3462929040193559,0.3300683307330473,20.0,0
w64,oracle_layer_1,80,0.375,-0.9657201290130615,0.33726577554116377,20.0,1
w64,oracle_layer_2,80,0.3,-1.3839635491371154,0.3000398181997298,20.0,2
w64,oracle_layer_3,80,0.2875,-1.8814579606056214,0.23802517822332447,20.0,3
w64,oracle_layer_4,80,0.2,-2.25190355181694,0.17221651093568652,20.0,4
w64,oracle_layer_5,80,0.1125,-2.9042105242609977,0.137648932967204,20.0,5
