condition,stratum,queries,top1,recall_at_3,recall_at_5,mean_rank
auto_dictionary,all,144,0.7916666666666666,0.875,0.9027777777777778,2.1944444444444446
auto_dictionary,H0,18,0.8888888888888888,0.9444444444444444,1.0,1.2777777777777777
auto_dictionary,H1,18,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.6666666666666667
auto_dictionary,H2,18,0.6111111111111112,0.7222222222222222,0.7777777777777778,3.8333333333333335
auto_dictionary,H3,18,0.5555555555555556,0.6666666666666666,0.6666666666666666,4.5
auto_dictionary,H4,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,2.9444444444444446
auto_dictionary,H5,54,0.9629629629629629,0.9814814814814815,1.0,1.1111111111111112
auto_dictionary,multilingual,54,0.9629629629629629,0.9814814814814815,1.0,1.1111111111111112
auto_embedding,all,144,0.5625,0.7361111111111112,0.8125,3.0208333333333335
auto_embedding,H0,18,0.8888888888888888,1.0,1.0,1.1666666666666667
auto_embedding,H1,18,0.7777777777777778,0.8333333333333334,0.8333333333333334,2.2777777777777777
auto_embedding,H2,18,0.6666666666666666,0.7777777777777778,0.8333333333333334,2.4444444444444446
auto_embedding,H3,18,0.7222222222222222,0.7777777777777778,0.8333333333333334,2.5
auto_embedding,H4,18,0.5,0.7222222222222222,0.8333333333333334,2.6666666666666665
auto_embedding,H5,54,0.3148148148148148,0.5925925925925926,0.7222222222222222,4.37037037037037
auto_embedding,multilingual,54,0.3148148148148148,0.5925925925925926,0.7222222222222222,4.37037037037037
auto_hybrid,all,144,0.8263888888888888,0.9513888888888888,0.9652777777777778,1.4791666666666667
auto_hybrid,H0,18,0.8888888888888888,1.0,1.0,1.1111111111111112
auto_hybrid,H1,18,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.6111111111111112
auto_hybrid,H2,18,0.7222222222222222,0.8888888888888888,0.9444444444444444,1.8888888888888888
auto_hybrid,H3,18,0.6111111111111112,0.8333333333333334,0.8888888888888888,2.388888888888889
auto_hybrid,H4,18,0.6666666666666666,0.9444444444444444,0.9444444444444444,1.6666666666666667
auto_hybrid,H5,54,0.9629629629629629,1.0,1.0,1.0555555555555556
auto_hybrid,multilingual,54,0.9629629629629629,1.0,1.0,1.0555555555555556
auto_lexical,all,144,0.2916666666666667,0.4930555555555556,0.5486111111111112,6.215277777777778
auto_lexical,H0,18,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.4444444444444444
auto_lexical,H1,18,0.4444444444444444,0.6666666666666666,0.6666666666666666,4.277777777777778
auto_lexical,H2,18,0.2777777777777778,0.3333333333333333,0.4444444444444444,7.444444444444445
auto_lexical,H3,18,0.16666666666666666,0.4444444444444444,0.5,6.888888888888889
auto_lexical,H4,18,0.2222222222222222,0.3888888888888889,0.5,6.888888888888889
auto_lexical,H5,54,0.14814814814814814,0.3888888888888889,0.4444444444444444,7.592592592592593
auto_lexical,multilingual,54,0.14814814814814814,0.3888888888888889,0.4444444444444444,7.592592592592593
auto_python_only,all,144,0.7916666666666666,0.875,0.9027777777777778,2.1944444444444446
auto_python_only,H0,18,0.8888888888888888,0.9444444444444444,1.0,1.2777777777777777
auto_python_only,H1,18,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.6666666666666667
auto_python_only,H2,18,0.6111111111111112,0.7222222222222222,0.7777777777777778,3.8333333333333335
auto_python_only,H3,18,0.5555555555555556,0.6666666666666666,0.6666666666666666,4.5
auto_python_only,H4,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,2.9444444444444446
auto_python_only,H5,54,0.9629629629629629,0.9814814814814815,1.0,1.1111111111111112
auto_python_only,multilingual,54,0.9629629629629629,0.9814814814814815,1.0,1.1111111111111112
manual_dictionary,all,144,0.7986111111111112,0.8680555555555556,0.9097222222222222,2.0277777777777777
manual_dictionary,H0,18,0.8888888888888888,0.9444444444444444,1.0,1.2222222222222223
manual_dictionary,H1,18,0.8333333333333334,0.8888888888888888,0.9444444444444444,2.0
manual_dictionary,H2,18,0.5555555555555556,0.7777777777777778,0.7777777777777778,3.111111111111111
manual_dictionary,H3,18,0.5555555555555556,0.6111111111111112,0.6111111111111112,4.277777777777778
manual_dictionary,H4,18,0.5555555555555556,0.7222222222222222,0.9444444444444444,2.611111111111111
manual_dictionary,H5,54,1.0,1.0,1.0,1.0
manual_dictionary,multilingual,54,1.0,1.0,1.0,1.0
manual_embedding,all,144,0.5763888888888888,0.75,0.8263888888888888,2.9791666666666665
