strategy,max_candidates,queries,required_recall,useful_recall,useful_precision,unsafe_exposure,mean_candidates,mean_schema_tokens,provenance_diversity
single_channel,1,144,0.7013888888888888,0.41435185185185186,0.7083333333333334,0.006944444444444444,1.0,83.56944444444444,5.0
single_channel,2,144,0.7638888888888888,0.5115740740740742,0.4618055555555556,0.04861111111111111,2.0,166.96527777777777,5.0
single_channel,3,144,0.7916666666666666,0.6111111111111112,0.37962962962962954,0.04861111111111111,3.0,247.11805555555554,5.0
single_channel,4,144,0.8055555555555556,0.6689814814814814,0.3159722222222222,0.0625,4.0,335.86805555555554,5.0
single_channel,5,144,0.8402777777777778,0.7222222222222222,0.2763888888888884,0.09027777777777778,5.0,420.61805555555554,5.0
single_channel,6,144,0.8611111111111112,0.7766203703703705,0.25231481481481477,0.10416666666666667,6.0,500.84722222222223,5.0
single_channel,8,144,0.8819444444444444,0.8136574074074074,0.1987847222222222,0.125,8.0,667.3402777777778,5.0
single_channel,10,144,0.8958333333333334,0.832175925925926,0.16319444444444411,0.2708333333333333,10.0,839.3055555555555,5.0
fused_score,1,144,0.6944444444444444,0.4108796296296296,0.7291666666666666,0.0,1.0,81.65277777777777,5.0
fused_score,2,144,0.7708333333333334,0.5520833333333334,0.5138888888888888,0.034722222222222224,2.0,165.90972222222223,5.0
fused_score,3,144,0.8263888888888888,0.6261574074074074,0.39583333333333315,0.0763888888888889,3.0,247.84027777777777,5.0
fused_score,4,144,0.8819444444444444,0.7094907407407407,0.3420138888888889,0.11805555555555555,4.0,333.40972222222223,5.0
fused_score,5,144,0.8958333333333334,0.78125,0.3055555555555552,0.1597222222222222,5.0,416.63194444444446,5.0
fused_score,6,144,0.9097222222222222,0.8067129629629631,0.2650462962962962,0.20833333333333334,6.0,500.125,5.0
fused_score,8,144,0.9236111111111112,0.8541666666666666,0.2109375,0.3541666666666667,8.0,660.3472222222222,5.0
fused_score,10,144,0.9375,0.9016203703703702,0.17847222222222203,0.5138888888888888,10.0,821.125,5.0
raw_union,1,144,0.7013888888888888,0.41435185185185186,0.7083333333333334,0.013888888888888888,1.0,83.38194444444444,5.0
raw_union,2,144,0.8055555555555556,0.5335648148148147,0.4826388888888889,0.0625,2.0,160.29861111111111,5.0
raw_union,3,144,0.8333333333333334,0.5868055555555557,0.36111111111111094,0.10416666666666667,3.0,240.77083333333334,5.0
raw_union,4,144,0.8541666666666666,0.6550925925925927,0.3090277777777778,0.16666666666666666,4.0,318.2916666666667,5.0
raw_union,5,144,0.8541666666666666,0.7152777777777779,0.2736111111111106,0.2013888888888889,5.0,403.1111111111111,5.0
raw_union,6,144,0.875,0.7592592592592593,0.24537037037037018,0.2361111111111111,6.0,487.5763888888889,5.0
raw_union,8,144,0.9097222222222222,0.8182870370370371,0.20052083333333334,0.3125,8.0,656.5555555555555,5.0
raw_union,10,144,0.9236111111111112,0.8692129629629629,0.17152777777777745,0.4513888888888889,10.0,824.2916666666666,5.0
diversity_union,1,144,0.3125,0.19907407407407407,0.3680555555555556,0.05555555555555555,1.0,79.58333333333333,5.0
diversity_union,2,144,0.7638888888888888,0.4976851851851851,0.4409722222222222,0.09722222222222222,2.0,164.0,5.0
diversity_union,3,144,0.7777777777777778,0.5497685185185186,0.3287037037037035,0.09722222222222222,3.0,247.91666666666666,5.0
diversity_union,4,144,0.8472222222222222,0.644675925925926,0.2986111111111111,0.22916666666666666,4.0,325.25694444444446,5.0
diversity_union,5,144,0.8541666666666666,0.7002314814814815,0.26666666666666616,0.22916666666666666,5.0,405.1111111111111,5.0
diversity_union,6,144,0.8611111111111112,0.7303240740740742,0.23379629629629609,0.24305555555555555,6.0,488.0486111111111,5.0
diversity_union,8,144,0.9097222222222222,0.8136574074074073,0.1987847222222222,0.3055555555555556,8.0,656.0486111111111,5.0
diversity_union,10,144,0.9236111111111112,0.8726851851851851,0.17222222222222192,0.4444444444444444,10.0,823.8263888888889,5.0
