atomicity_violations,child_records_materialized,child_records_selected,condition,declared_budget_bytes,experiment,materialized_record_ids,native_kv_bytes,overflow_behavior,overflow_case,partial_record_count,record_coverage,records_materialized,records_selected,seed,selected_record_ids,serialized_bytes,serialized_tokens,status,step,task_id,upstream_selection_preserved
0,1,1,top1_jit,745,E4,!!ref:tool:paper6_5_auto:update_user:v1!!,29130752,request_narrow,,0,1.0,2,2,11,!!ref:tool:paper6_5_auto:update_user:v1!!,745,254,materialized,1,m4-user-3,1
0,2,2,union_jit_k2,1416,E4,!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,55967744,request_narrow,,0,1.0,3,3,11,!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,1416,488,materialized,1,m4-user-3,1
0,2,2,union_jit_k2,1328,E4,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!,54476800,request_narrow,,0,1.0,3,3,11,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!,1328,475,materialized,2,m4-user-3,1
0,2,2,union_jit_k2,1493,E4,!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!,57802752,request_narrow,,0,1.0,3,3,11,!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!,1493,504,materialized,3,m4-user-3,1
0,4,4,union_jit_k4,2767,E4,!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:get_repository:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,110100480,request_narrow,,0,1.0,5,5,11,!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:get_repository:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,2767,960,materialized,1,m4-user-3,1
0,4,4,union_jit_k4,2821,E4,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!,113655808,request_narrow,,0,1.0,5,5,11,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!,2821,991,materialized,2,m4-user-3,1
0,4,4,union_jit_k4,2822,E4,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!,112394240,request_narrow,,0,1.0,5,5,11,!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!,2822,980,materialized,3,m4-user-3,1
0,6,6,union_jit_k6,4200,E4,!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:get_repository:v1!!|!!ref:tool:paper6_5_auto:create_issue:v1!!|!!ref:tool:paper6_5_auto:archive_report:v1!!|!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,167100416,request_narrow,,0,1.0,7,7,11,!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:get_repository:v1!!|!!ref:tool:paper6_5_auto:create_issue:v1!!|!!ref:tool:paper6_5_auto:archive_report:v1!!|!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!,4200,1457,materialized,1,m4-user-3,1
0,6,6,union_jit_k6,4183,E4,!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:extract_metadata:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!,167559168,request_narrow,,0,1.0,7,7,11,!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:search_user:v1!!|!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:extract_metadata:v1!!|!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!,4183,1461,materialized,2,m4-user-3,1
0,6,6,union_jit_k6,4315,E4,!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:update_document:v1!!,170655744,request_narrow,,0,1.0,7,7,11,!!ref:tool:paper6_5_auto:update_user:v1!!|!!ref:tool:paper6_5_auto:validate_user:v1!!|!!ref:tool:paper6_5_auto:notify_user:v1!!|!!ref:tool:paper6_5_auto:update_issue:v1!!|!!ref:tool:paper6_5_auto:get_user:v1!!|!!ref:tool:paper6_5_auto:update_document:v1!!,4315,1488,materialized,3,m4-user-3,1
