dataset,policy,examples,recall,precision
qasper,best_fixed,16,0.17762019230769233,0.3125
qasper,hybrid,16,0.04352678571428571,0.078125
qasper,adaptive,16,0.06540178571428572,0.109375
qasper,oracle,16,0.20686126373626376,0.359375
hotpotqa,best_fixed,16,0.15074404761904764,0.171875
hotpotqa,hybrid,16,0.2875,0.34375
hotpotqa,adaptive,16,0.32901785714285714,0.375
hotpotqa,oracle,16,0.48854166666666665,0.5625
2wikimultihopqa,best_fixed,24,0.18564814814814815,0.25
2wikimultihopqa,hybrid,24,0.20335648148148147,0.25
2wikimultihopqa,adaptive,24,0.1908564814814815,0.23958333333333334
2wikimultihopqa,oracle,24,0.315162037037037,0.3854166666666667
musique,best_fixed,18,0.13214759777259777,0.4305555555555556
musique,hybrid,18,0.15068646631146634,0.5
musique,adaptive,18,0.15316650941650942,0.4861111111111111
musique,oracle,18,0.19903903966403969,0.6388888888888888
