seed,variant,dataset,condition,examples,memory_use_parameters,total_pra_parameters,memory_use_parameter_percent,total_pra_parameter_percent,checkpoint_bytes,gold_sequence_logprob,gold_sequence_logprob_valid_examples,gold_mean_token_logprob,gold_mean_token_logprob_valid_examples,gold_sequence_logprob_delta_vs_none,gold_sequence_logprob_delta_vs_none_valid_examples,gold_mean_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none_valid_examples,gold_first_token_probability,gold_first_token_probability_valid_examples,gold_first_token_rank,gold_first_token_rank_valid_examples,gold_first_token_margin,gold_first_token_margin_valid_examples,gold_first_token_rank_delta_vs_none,gold_first_token_rank_delta_vs_none_valid_examples,gold_first_token_margin_delta_vs_none,gold_first_token_margin_delta_vs_none_valid_examples,direct_sequence_benefit,direct_sequence_benefit_valid_examples,full_sequence_benefit,full_sequence_benefit_valid_examples,f1,f1_valid_examples,em,em_valid_examples,selected_chunk_fraction,selected_chunk_fraction_valid_examples,materialized_native_kv_tokens,materialized_native_kv_tokens_valid_examples,materialized_native_kv_fraction,materialized_native_kv_fraction_valid_examples,active_kv_tokens_across_layers,active_kv_tokens_across_layers_valid_examples,routing_index_bytes,routing_index_bytes_valid_examples,routing_index_over_detail_kv,routing_index_over_detail_kv_valid_examples,gpu_materialized_kv_bytes,gpu_materialized_kv_bytes_valid_examples,cpu_detail_kv_bytes,cpu_detail_kv_bytes_valid_examples,kv_transfer_bytes,kv_transfer_bytes_valid_examples,peak_gpu_bytes,peak_gpu_bytes_valid_examples,teacher_forced_seconds,teacher_forced_seconds_valid_examples,generation_seconds,generation_seconds_valid_examples,rho_direct,rho_direct_valid_examples,rho_full,rho_full_valid_examples
23,residual_64,qasper,oracle,8,1835904,2098048,0.3080117853216053,0.3519919942275976,7358965,-4.134709566831589,8,-4.134709566831589,8,4.363501280546188,8,4.363501280546188,8,0.08615774258214515,8,8.5,8,-3.466796875,8,-23.875,8,4.568359375,8,-1.1821280717849731,8,,0,0.07738095238095238,8,0.0,8,0.046807750699005383,8,192.0,8,0.04698598596734565,8,2688.0,8,72000.0,8,0.0002797980242821861,8,11010048.0,8,257467392.0,8,11010048.0,8,1260097280.0,8,0.22378267499880167,8,1.376265124999918,8,-0.1516295421145146,1,,0
23,residual_64,qasper,routed,8,1835904,2098048,0.3080117853216053,0.3519919942275976,7358965,-3.816842168569565,8,-3.816842168569565,8,4.681368678808212,8,4.681368678808212,8,0.06374920701273368,8,4.5,8,-3.330078125,8,-27.875,8,4.705078125,8,-1.1821280717849731,8,,0,0.18125000000000002,8,0.0,8,0.024974791611015013,8,96.0,8,0.025063095440751124,8,1344.0,8,72000.0,8,0.0002797980242821861,8,5505024.0,8,257467392.0,8,5505024.0,8,1258253312.0,8,0.2185123125091195,8,1.2749622749979608,8,1.2349330029104113,1,,0
37,combo_residual_16_lora_r4,hotpotqa,oracle,8,631008,893152,0.10586495842495877,0.14984516733095107,2549885,-8.039747744332999,8,-2.973528731497936,8,12.152219743002206,8,3.398190807667561,8,0.31486156955293154,8,35.75,8,-4.02734375,8,-19.875,8,2.4853515625,8,15.940882124006748,8,13.488338217139244,8,0.16865079365079366,8,0.0,8,0.1128860305850932,8,167.125,8,0.11386086469055562,8,2339.75,8,24384.0,8,0.0002824712019443792,8,9583616.0,8,86345728.0,8,9583616.0,8,1262965376.0,8,0.26939429999765707,8,1.467421800000011,8,0.7660706548183405,8,0.9568127866546751,8
37,combo_residual_16_lora_r4,hotpotqa,routed,8,631008,893152,0.10586495842495877,0.14984516733095107,2549885,-24.605809196829796,8,-6.6771632097661495,8,-4.413841709494591,8,-0.3054436706006527,8,0.13539905123760576,8,328.5,8,-8.6474609375,8,272.875,8,-2.134765625,8,15.940882124006748,8,13.488338217139244,8,0.02777777777777778,8,0.0,8,0.06598299138269585,8,94.875,8,0.06558234608073421,8,1328.25,8,24384.0,8,0.0002824712019443792,8,5440512.0,8,86345728.0,8,5440512.0,8,1261538752.0,8,0.2649231124960352,8,1.4281776625211933,8,-0.26669906924083636,8,-0.21672073790682206,8
37,combo_residual_16_lora_r4,qasper,oracle,8,631008,893152,0.10586495842495877,0.14984516733095107,2549885,-3.4011480286717415,8,-3.4011480286717415,8,5.097062818706036,8,5.097062818706036,8,0.15251940338202985,8,8.0,8,-2.3828125,8,-24.375,8,5.65234375,8,-1.1821280717849731,8,,0,0.14821428571428572,8,0.0,8,0.046807750699005383,8,192.0,8,0.04698598596734565,8,2688.0,8,72000.0,8,0.0002797980242821861,8,11010048.0,8,257467392.0,8,11010048.0,8,1260049472.0,8,0.23255109999445267,8,1.4006056124999304,8,1.8915701812523413,1,,0
37,combo_residual_16_lora_r4,qasper,routed,8,631008,893152,0.10586495842495877,0.14984516733095107,2549885,-2.9337231665849686,8,-2.9337231665849686,8,5.5644876807928085,8,5.5644876807928085,8,0.10669676936231554,8,4.75,8,-1.94921875,8,-27.625,8,6.0859375,8,-1.1821280717849731,8,,0,0.12738095238095237,8,0.0,8,0.024974791611015013,8,96.0,8,0.025063095440751124,8,1344.0,8,72000.0,8,0.0002797980242821861,8,5505024.0,8,257467392.0,8,5505024.0,8,1258189440.0,8,0.2288235249943682,8,1.2750211499951547,8,5.852295190617526,1,,0
37,fixed,hotpotqa,oracle,8,0,262144,0.0,0.0439802089059923,0,-8.980378150939941,8,-2.7721894085407257,8,11.211589336395264,8,3.599530130624771,8,0.1661360717153002,8,10.25,8,-3.435546875,8,-45.375,8,3.0771484375,8,15.940882124006748,8,13.488338217139244,8,0.10170454545454546,8,0.0,8,0.1128860305850932,8,167.125,8,0.11386086469055562,8,2339.75,8,24384.0,8,0.0002824712019443792,8,9583616.0,8,86345728.0,8,9583616.0,8,1262965376.0,8,0.22058974998799386,8,1.1182910125062335,8,0.6707854238780996,8,0.8655859358295694,8
37,fixed,hotpotqa,routed,8,0,262144,0.0,0.0439802089059923,0,-18.290764212608337,8,-5.1731540858745575,8,1.9012032747268677,8,1.1985654532909393,8,0.03158650392549589,8,34.125,8,-6.326171875,8,-21.5,8,0.1865234375,8,15.940882124006748,8,13.488338217139244,8,0.0,8,0.0,8,0.06598299138269585,8,94.875,8,0.06558234608073421,8,1328.25,8,24384.0,8,0.0002824712019443792,8,5440512.0,8,86345728.0,8,5440512.0,8,1261538752.0,8,0.21642888750648126,8,1.044503862503916,8,0.10688747824938533,8,0.18678506505621809,8
37,fixed,qasper,oracle,8,0,262144,0.0,0.0439802089059923,0,-7.053952693939209,8,-7.053952693939209,8,1.4442581534385681,8,1.4442581534385681,8,0.000990066684607882,8,25.0,8,-6.3291015625,8,-7.375,8,1.7060546875,8,-1.1821280717849731,8,,0,0.175,8,0.0,8,0.046807750699005383,8,192.0,8,0.04698598596734565,8,2688.0,8,72000.0,8,0.0002797980242821861,8,11010048.0,8,257467392.0,8,11010048.0,8,1260097280.0,8,0.18750834998354549,8,1.1382329625121201,8,1.6995487421836728,1,,0
37,fixed,qasper,routed,8,0,262144,0.0,0.0439802089059923,0,-7.121325492858887,8,-7.121325492858887,8,1.3768853545188904,8,1.3768853545188904,8,0.002460659230564488,8,25.25,8,-6.32421875,8,-7.125,8,1.7109375,8,-1.1821280717849731,8,,0,0.07291666666666667,8,0.0,8,0.024974791611015013,8,96.0,8,0.025063095440751124,8,1344.0,8,72000.0,8,0.0002797980242821861,8,5505024.0,8,257467392.0,8,5505024.0,8,1258285056.0,8,0.18278576248849276,8,1.0721415250154678,8,2.7036855603261967,1,,0
