variant,dataset,condition,seeds,examples_per_seed,active_kv_tokens_across_layers_mean,active_kv_tokens_across_layers_std,active_kv_tokens_across_layers_ci95,checkpoint_bytes_mean,checkpoint_bytes_std,checkpoint_bytes_ci95,cpu_detail_kv_bytes_mean,cpu_detail_kv_bytes_std,cpu_detail_kv_bytes_ci95,direct_sequence_benefit_mean,direct_sequence_benefit_std,direct_sequence_benefit_ci95,em_mean,em_std,em_ci95,examples_mean,examples_std,examples_ci95,f1_mean,f1_std,f1_ci95,full_sequence_benefit_mean,full_sequence_benefit_std,full_sequence_benefit_ci95,generation_seconds_mean,generation_seconds_std,generation_seconds_ci95,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_ci95,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,gold_first_token_margin_delta_vs_none_ci95,gold_first_token_probability_mean,gold_first_token_probability_std,gold_first_token_probability_ci95,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_ci95,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_rank_delta_vs_none_ci95,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_mean_logprob_delta_vs_none_ci95,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_token_logprob_ci95,gold_sequence_logprob_mean,gold_sequence_logprob_std,gold_sequence_logprob_ci95,gold_sequence_logprob_delta_vs_none_mean,gold_sequence_logprob_delta_vs_none_std,gold_sequence_logprob_delta_vs_none_ci95,gpu_materialized_kv_bytes_mean,gpu_materialized_kv_bytes_std,gpu_materialized_kv_bytes_ci95,kv_transfer_bytes_mean,kv_transfer_bytes_std,kv_transfer_bytes_ci95,materialized_native_kv_fraction_mean,materialized_native_kv_fraction_std,materialized_native_kv_fraction_ci95,materialized_native_kv_tokens_mean,materialized_native_kv_tokens_std,materialized_native_kv_tokens_ci95,memory_use_parameter_percent_mean,memory_use_parameter_percent_std,memory_use_parameter_percent_ci95,memory_use_parameters_mean,memory_use_parameters_std,memory_use_parameters_ci95,peak_gpu_bytes_mean,peak_gpu_bytes_std,peak_gpu_bytes_ci95,rho_direct_mean,rho_direct_std,rho_direct_ci95,rho_full_mean,rho_full_std,rho_full_ci95,routing_index_bytes_mean,routing_index_bytes_std,routing_index_bytes_ci95,routing_index_over_detail_kv_mean,routing_index_over_detail_kv_std,routing_index_over_detail_kv_ci95,selected_chunk_fraction_mean,selected_chunk_fraction_std,selected_chunk_fraction_ci95,teacher_forced_seconds_mean,teacher_forced_seconds_std,teacher_forced_seconds_ci95,total_pra_parameter_percent_mean,total_pra_parameter_percent_std,total_pra_parameter_percent_ci95,total_pra_parameters_mean,total_pra_parameters_std,total_pra_parameters_ci95,rho_direct_cohort,rho_full_cohort
combo_residual_16_lora_r4,hotpotqa,oracle,5,8,2339.75,0.0,0.0,2549885.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1932539682539683,0.03244669495269879,0.04028143423859765,13.488338217139244,0.0,0.0,1.4470569424971473,0.012049841193366871,0.014959455387482548,-4.1015625,0.948532798541868,1.1775702148806757,2.4111328125,0.948532798541868,1.1775702148806757,0.3171801414554768,0.06411652525695895,0.07959841825217263,48.75,24.86887487402677,30.873836280902953,-6.875,24.86887487402677,30.873836280902953,3.4152261758979874,0.26232858413969845,0.3256717402599051,-2.9564933632675094,0.26232858413969845,0.3256717402599051,-8.157380369189195,0.7781289062676668,0.9660197567939306,12.03458711814601,0.7781289062676668,0.9660197567939306,9583616.0,0.0,0.0,9583616.0,0.0,0.0,0.11386086469055563,0.0,0.0,167.125,0.0,0.0,0.10586495842495877,0.0,0.0,631008.0,0.0,0.0,1262965376.0,0.0,0.0,0.77158406921383,0.049527814148567974,0.061487044875154113,0.9628613083736047,0.058221687217207066,0.07228018349231156,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.1128860305850932,0.0,0.0,0.2676307024958078,0.0017911574866189763,0.002223659223640371,0.14984516733095107,0.0,0.0,893152.0,0.0,0.0,0.7549511391231034,0.8922216305974598
combo_residual_16_lora_r4,hotpotqa,routed,5,8,1328.25,0.0,0.0,2549885.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.022222222222222223,0.012422599874998833,0.015422222222222224,13.488338217139244,0.0,0.0,1.3998127050013864,0.017039318055356033,0.021153715986111068,-9.23203125,0.43995338279688656,0.5461867004641507,-2.7193359375,0.43995338279688656,0.5461867004641507,0.1312099243913723,0.009803842774064424,0.012171127092134837,284.0,61.45107301748278,76.28935274466548,228.375,61.45107301748278,76.28935274466548,-0.5569810122251511,0.2386274694175891,0.2962476372672304,-6.928700551390648,0.2386274694175891,0.2962476372672304,-25.243456423282623,0.7919250423533355,0.9831471760670415,-5.051488935947418,0.7919250423533355,0.9831471760670415,5440512.0,0.0,0.0,5440512.0,0.0,0.0,0.06558234608073421,0.0,0.0,94.875,0.0,0.0,0.10586495842495877,0.0,0.0,631008.0,0.0,0.0,1261538752.0,0.0,0.0,-0.34240670658422145,0.07023695232672976,0.08719671388390075,-0.30181036063425004,0.07867876346579346,0.09767692645250234,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.06598299138269585,0.0,0.0,0.26278684250282824,0.0012666927923167554,0.0015725546928153007,0.14984516733095107,0.0,0.0,893152.0,0.0,0.0,-0.31688892099264354,-0.37450787892674847
combo_residual_16_lora_r4,qasper,oracle,5,8,2688.0,0.0,0.0,2549885.0,0.0,0.0,257467392.0,0.0,0.0,-1.1821280717849731,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.18696428571428572,0.029237492965334077,0.03629732248235062,,,,1.4190992100033326,0.023717289690520445,0.02944418364888057,-2.432421875,0.46826319530202554,0.5813323401786182,5.602734375,0.46826319530202554,0.5813323401786182,0.18954622700694018,0.041529820187077356,0.05155781577277096,6.825,1.1025538535599972,1.3687819548781315,-25.55,1.1025538535599972,1.3687819548781315,5.140026176720857,0.2835808492034312,0.3520556822556612,-3.3581846706569194,0.2835808492034312,0.3520556822556612,-3.3581846706569194,0.2835808492034312,0.3520556822556612,5.140026176720857,0.2835808492034312,0.3520556822556612,11010048.0,0.0,0.0,11010048.0,0.0,0.0,0.04698598596734565,0.0,0.0,192.0,0.0,0.0,0.10586495842495877,0.0,0.0,631008.0,0.0,0.0,1260081369.6,22514.341313926998,27950.765413377158,1.6107534218943607,1.4303499217838205,1.775729281411016,,,,72000.0,0.0,0.0,0.0002797980242821861,0.0,0.0,0.046807750699005383,0.0,0.0,0.23210228249663487,0.0017303485005716144,0.002148166999358253,0.14984516733095107,0.0,0.0,893152.0,0.0,0.0,,
combo_residual_16_lora_r4,qasper,routed,5,8,1344.0,0.0,0.0,2549885.0,0.0,0.0,257467392.0,0.0,0.0,-1.1821280717849731,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1711904761904762,0.030781205936234676,0.038213788014857204,,,,1.3476147349967504,0.06560327375295373,0.08144416438619503,-2.132421875,0.3735103264827598,0.4636999754701056,5.902734375,0.3735103264827598,0.4636999754701056,0.1264893430954544,0.031872677728124514,0.03956881197869664,4.175,0.3913118960624632,0.48579999999999995,-28.2,0.3913118960624632,0.48579999999999995,5.583320637047291,0.24137318466985455,0.29965634649118317,-2.914890210330486,0.24137318466985455,0.29965634649118317,-2.914890210330486,0.24137318466985455,0.29965634649118317,5.583320637047291,0.24137318466985455,0.29965634649118317,5505024.0,0.0,0.0,5505024.0,0.0,0.0,0.025063095440751127,0.0,0.0,96.0,0.0,0.0,0.10586495842495877,0.0,0.0,631008.0,0.0,0.0,1258243596.8,41573.21968767875,51611.69473122919,4.693634786617872,1.5519359005410727,1.9266740113684324,,,,72000.0,0.0,0.0,0.0002797980242821861,0.0,0.0,0.024974791611015013,0.0,0.0,0.22824199249589583,0.003369822434513493,0.004183516410207317,0.14984516733095107,0.0,0.0,893152.0,0.0,0.0,,
fixed,hotpotqa,oracle,5,8,2339.75,0.0,0.0,0.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.10170454545454546,0.0,0.0,13.488338217139244,0.0,0.0,1.1410992925055325,0.027837235903004923,0.034558952430930254,-3.435546875,0.0,0.0,3.0771484375,0.0,0.0,0.1661360717153002,0.0,0.0,10.25,0.0,0.0,-45.375,0.0,0.0,3.599530130624771,0.0,0.0,-2.7721894085407257,0.0,0.0,-8.980378150939941,0.0,0.0,11.211589336395264,0.0,0.0,9583616.0,0.0,0.0,9583616.0,0.0,0.0,0.11386086469055563,0.0,0.0,167.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262965376.0,0.0,0.0,0.6707854238780996,0.0,0.0,0.8655859358295694,0.0,0.0,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.1128860305850932,0.0,0.0,0.2291260024983785,0.016773686329882145,0.02082394351168924,0.0439802089059923,0.0,0.0,262144.0,0.0,0.0,0.703323018712419,0.8312061245727823
fixed,hotpotqa,routed,5,8,1328.25,0.0,0.0,0.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,13.488338217139244,0.0,0.0,1.0466317574988353,0.012070702172378357,0.014985353561562494,-6.326171875,0.0,0.0,0.1865234375,0.0,0.0,0.03158650392549589,0.0,0.0,34.125,0.0,0.0,-21.5,0.0,0.0,1.1985654532909393,0.0,0.0,-5.1731540858745575,0.0,0.0,-18.290764212608337,0.0,0.0,1.9012032747268677,0.0,0.0,5440512.0,0.0,0.0,5440512.0,0.0,0.0,0.06558234608073421,0.0,0.0,94.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261538752.0,0.0,0.0,0.10688747824938534,0.0,0.0,0.18678506505621809,0.0,0.0,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.06598299138269585,0.0,0.0,0.21694899249996524,0.0032748465838790247,0.004065607221392725,0.0439802089059923,0.0,0.0,262144.0,0.0,0.0,0.11926587625057974,0.1409516312625571
fixed,qasper,oracle,5,8,2688.0,0.0,0.0,0.0,0.0,0.0,257467392.0,0.0,0.0,-1.1821280717849731,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.175,0.0,0.0,,,,1.1406032625047373,0.025589240329052094,0.031768144738102126,-6.3291015625,0.0,0.0,1.7060546875,0.0,0.0,0.000990066684607882,0.0,0.0,25.0,0.0,0.0,-7.375,0.0,0.0,1.4442581534385681,0.0,0.0,-7.053952693939209,0.0,0.0,-7.053952693939209,0.0,0.0,1.4442581534385681,0.0,0.0,11010048.0,0.0,0.0,11010048.0,0.0,0.0,0.04698598596734565,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260097280.0,0.0,0.0,1.6995487421836728,0.0,0.0,,,,72000.0,0.0,0.0,0.0002797980242821861,0.0,0.0,0.046807750699005383,0.0,0.0,0.19084782249556156,0.0035054663523867587,0.004351913578721493,0.0439802089059923,0.0,0.0,262144.0,0.0,0.0,,
fixed,qasper,routed,5,8,1344.0,0.0,0.0,0.0,0.0,0.0,257467392.0,0.0,0.0,-1.1821280717849731,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.07291666666666667,0.0,0.0,,,,1.0894124425074552,0.02180982387939836,0.027076131718010585,-6.32421875,0.0,0.0,1.7109375,0.0,0.0,0.002460659230564488,0.0,0.0,25.25,0.0,0.0,-7.125,0.0,0.0,1.3768853545188904,0.0,0.0,-7.121325492858887,0.0,0.0,-7.121325492858887,0.0,0.0,1.3768853545188904,0.0,0.0,5505024.0,0.0,0.0,5505024.0,0.0,0.0,0.025063095440751127,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258285056.0,0.0,0.0,2.7036855603261967,0.0,0.0,,,,72000.0,0.0,0.0,0.0002797980242821861,0.0,0.0,0.024974791611015013,0.0,0.0,0.18306151999422582,0.0014815540098354894,0.0018392973615685639,0.0439802089059923,0.0,0.0,262144.0,0.0,0.0,,
lora_o_r4,hotpotqa,oracle,5,8,2339.75,0.0,0.0,698881.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.16825396825396827,0.013792893882094922,0.01712339419104225,13.488338217139244,0.0,0.0,1.214044142504281,0.006919712317472392,0.008590580244694355,-3.9990234375,0.4151728874321398,0.5154225842455312,2.513671875,0.4151728874321398,0.5154225842455312,0.274290857070082,0.051425872550704764,0.06384341783758218,33.25,14.248903466582965,17.68951410299333,-22.375,14.248903466582965,17.68951410299333,3.483135881018825,0.22765903739736335,0.282630713455195,-2.888583658146672,0.22765903739736335,0.282630713455195,-8.001303672604262,0.23669334834995834,0.2938464937699087,12.190663814730943,0.23669334834995834,0.2938464937699087,9583616.0,0.0,0.0,9583616.0,0.0,0.0,0.11386086469055563,0.0,0.0,167.125,0.0,0.0,0.028862012094557448,0.0,0.0,172032.0,0.0,0.0,1262965376.0,0.0,0.0,0.7822872459514254,0.023172244889817062,0.028767529637474185,0.9735992228799193,0.03535813634356497,0.04389588665344839,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.1128860305850932,0.0,0.0,0.23072178249567515,0.0006225665380227136,0.0007728945304621067,0.07284222100054975,0.0,0.0,434176.0,0.0,0.0,0.7647421089935778,0.9037928630259743
lora_o_r4,hotpotqa,routed,5,8,1328.25,0.0,0.0,698881.0,0.0,0.0,86345728.0,0.0,0.0,15.940882124006748,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04920634920634921,0.031943828249997,0.03965714285714286,13.488338217139244,0.0,0.0,1.1653076974995202,0.01955839750876206,0.024281064811379857,-8.9623046875,0.4593782593488219,0.5703020036887271,-2.449609375,0.4593782593488219,0.5703020036887271,0.13541342123095124,0.014087004292385939,0.017488521954233404,274.925,73.64794846090419,91.43134599873284,219.3,73.64794846090419,91.43134599873284,-0.37210146635770797,0.19818882855594264,0.2460444823714437,-6.743821005523205,0.19818882855594264,0.2460444823714437,-24.362923234701157,0.8716785699506556,1.0821583845087943,-4.1709557473659515,0.8716785699506556,1.0821583845087943,5440512.0,0.0,0.0,5440512.0,0.0,0.0,0.06558234608073421,0.0,0.0,94.875,0.0,0.0,0.028862012094557448,0.0,0.0,172032.0,0.0,0.0,1261538752.0,0.0,0.0,-0.294648213875226,0.047776861261902025,0.0593132982528267,-0.24405541438043551,0.052934334324932796,0.06571612024528768,24384.0,0.0,0.0,0.0002824712019443792,0.0,0.0,0.06598299138269585,0.0,0.0,0.22614350249496057,0.0008482887579069971,0.0010531207528774894,0.07284222100054975,0.0,0.0,434176.0,0.0,0.0,-0.2616515017750837,-0.3092268061654947
