model_id,metric,left,right,stratum,examples,mean_delta
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,fixed_window,two_facets,157,-0.009585360543234984
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,fixed_window,three_plus_facets,43,-0.24639206297012925
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,fixed_window,contiguous,132,-0.05543018342736698
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,fixed_window,non_contiguous,68,-0.07033788383222067
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,embedding_kmeans,two_facets,157,0.01838405348953754
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,embedding_kmeans,three_plus_facets,43,0.04164784551877461
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,embedding_kmeans,contiguous,132,0.030384493693961935
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,embedding_kmeans,non_contiguous,68,0.009800008640613641
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,llm,two_facets,157,0.13405502618431478
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,llm,three_plus_facets,43,-0.17307587414911285
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,llm,contiguous,132,0.10833649952036686
HuggingFaceTB/SmolLM2-135M,ari,graph_cc,llm,non_contiguous,68,-0.010235903149453843
Qwen/Qwen3-0.6B,ari,graph_cc,fixed_window,two_facets,157,-0.04232142428394488
Qwen/Qwen3-0.6B,ari,graph_cc,fixed_window,three_plus_facets,43,-0.13928493261153313
Qwen/Qwen3-0.6B,ari,graph_cc,fixed_window,contiguous,132,-0.12589080336033165
Qwen/Qwen3-0.6B,ari,graph_cc,fixed_window,non_contiguous,68,0.05858632836306632
Qwen/Qwen3-0.6B,ari,graph_cc,embedding_kmeans,two_facets,157,0.1159856281101897
Qwen/Qwen3-0.6B,ari,graph_cc,embedding_kmeans,three_plus_facets,43,0.1267154233758214
Qwen/Qwen3-0.6B,ari,graph_cc,embedding_kmeans,contiguous,132,0.10531371525432814
Qwen/Qwen3-0.6B,ari,graph_cc,embedding_kmeans,non_contiguous,68,0.14348671183659972
Qwen/Qwen3-0.6B,ari,graph_cc,llm,two_facets,157,0.10131896244360483
Qwen/Qwen3-0.6B,ari,graph_cc,llm,three_plus_facets,43,-0.06596874379051684
Qwen/Qwen3-0.6B,ari,graph_cc,llm,contiguous,132,0.0378758795874021
Qwen/Qwen3-0.6B,ari,graph_cc,llm,non_contiguous,68,0.11868830904583313
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,global_semantic,two_facets,157,-0.044585987261146494
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,global_semantic,three_plus_facets,43,-0.13953488372093023
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,global_semantic,contiguous,132,-0.029671717171717175
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,global_semantic,non_contiguous,68,-0.133578431372549
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,two_facets,157,-0.012738853503184714
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,three_plus_facets,43,-0.06589147286821706
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,contiguous,132,-0.008207070707070706
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,non_contiguous,68,-0.05514705882352942
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,llm_semantic,two_facets,157,0.1305732484076433
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,llm_semantic,three_plus_facets,43,0.03875968992248062
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,llm_semantic,contiguous,132,0.1167929292929293
HuggingFaceTB/SmolLM2-135M,evidence_recall,graph_cc_semantic,llm_semantic,non_contiguous,68,0.09926470588235292
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,global_semantic,two_facets,157,-0.07961783439490445
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,global_semantic,three_plus_facets,43,-0.09689922480620154
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,global_semantic,contiguous,132,-0.06944444444444445
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,global_semantic,non_contiguous,68,-0.1102941176470588
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,two_facets,157,-0.03503184713375796
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,three_plus_facets,43,-0.0310077519379845
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,contiguous,132,-0.030934343434343432
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_hybrid,lexical_semantic_hybrid,non_contiguous,68,-0.04044117647058824
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,llm_semantic,two_facets,157,0.09554140127388536
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,llm_semantic,three_plus_facets,43,0.08139534883720931
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,llm_semantic,contiguous,132,0.07702020202020203
Qwen/Qwen3-0.6B,evidence_recall,graph_cc_semantic,llm_semantic,non_contiguous,68,0.12254901960784315
