geometry,policy,selection_role,validation_objective,validation_propagation_activation,validation_rows
semantic,fixed_prefix_1,preservation,1.0866666666666667,0.8289473684210527,380
semantic,fixed_prefix_2,preservation,1.0844567901234567,0.5789473684210527,380
semantic,fixed_prefix_4,preservation,1.1078518518518519,0.3157894736842105,380
semantic,score_drop_0.01,preservation,1.0833333333333333,0.8289473684210527,380
semantic,score_drop_0.03,preservation,1.1006666666666665,0.8289473684210527,380
semantic,score_drop_0.05,preservation,1.101037037037037,0.8289473684210527,380
semantic,score_drop_0.1,preservation,1.0994814814814815,0.8289473684210527,380
semantic,score_drop_0.15,preservation,1.0796296296296297,0.8289473684210527,380
semantic,seed_agreement_0.4,preservation,1.1635555555555555,0.1736842105263158,380
semantic,seed_agreement_0.6,preservation,1.137679012345679,0.4342105263157895,380
semantic,seed_agreement_0.8,preservation,1.0960864197530864,0.6052631578947368,380
semantic,zscore_-0.5,preservation,1.1862962962962964,0.0,380
semantic,zscore_0,preservation,1.1821111111111111,0.05,380
semantic,zscore_0.5,preservation,1.111358024691358,0.3394736842105263,380
semantic,zscore_1,preservation,1.1158148148148148,0.6473684210526316,380
native_rank,fixed_prefix_1,preservation,1.1195308641975308,0.8289473684210527,380
native_rank,fixed_prefix_2,preservation,1.0989753086419753,0.5789473684210527,380
native_rank,fixed_prefix_4,preservation,1.1311851851851853,0.3157894736842105,380
native_rank,score_drop_0.01,preservation,1.1265679012345677,0.8289473684210527,380
native_rank,score_drop_0.03,preservation,1.1409382716049383,0.8289473684210527,380
native_rank,score_drop_0.05,preservation,1.1408395061728396,0.8289473684210527,380
native_rank,score_drop_0.1,preservation,1.1366049382716048,0.8263157894736842,380
native_rank,score_drop_0.15,preservation,1.1231975308641975,0.8263157894736842,380
native_rank,seed_agreement_0.4,preservation,1.1708888888888886,0.1736842105263158,380
native_rank,seed_agreement_0.6,preservation,1.1363456790123458,0.42894736842105263,380
native_rank,seed_agreement_0.8,preservation,1.107679012345679,0.5973684210526315,380
native_rank,zscore_-0.5,preservation,1.1862962962962964,0.0,380
native_rank,zscore_0,preservation,1.1824444444444444,0.04736842105263158,380
native_rank,zscore_0.5,preservation,1.1253703703703704,0.3368421052631579,380
native_rank,zscore_1,preservation,1.1594320987654323,0.6447368421052632,380
semantic,fixed_prefix_1,exploration,1.0866666666666667,0.8289473684210527,380
semantic,fixed_prefix_2,exploration,1.0844567901234567,0.5789473684210527,380
semantic,fixed_prefix_4,exploration,1.1078518518518519,0.3157894736842105,380
semantic,score_drop_0.01,exploration,1.0833333333333333,0.8289473684210527,380
semantic,score_drop_0.03,exploration,1.1006666666666665,0.8289473684210527,380
semantic,score_drop_0.05,exploration,1.101037037037037,0.8289473684210527,380
semantic,score_drop_0.1,exploration,1.0994814814814815,0.8289473684210527,380
semantic,score_drop_0.15,exploration,1.0796296296296297,0.8289473684210527,380
semantic,seed_agreement_0.4,exploration,1.1635555555555555,0.1736842105263158,380
semantic,seed_agreement_0.6,exploration,1.137679012345679,0.4342105263157895,380
semantic,seed_agreement_0.8,exploration,1.0960864197530864,0.6052631578947368,380
semantic,zscore_-0.5,exploration,1.1862962962962964,0.0,380
semantic,zscore_0,exploration,1.1821111111111111,0.05,380
semantic,zscore_0.5,exploration,1.111358024691358,0.3394736842105263,380
semantic,zscore_1,exploration,1.1158148148148148,0.6473684210526316,380
native_rank,fixed_prefix_1,exploration,1.1195308641975308,0.8289473684210527,380
native_rank,fixed_prefix_2,exploration,1.0989753086419753,0.5789473684210527,380
native_rank,fixed_prefix_4,exploration,1.1311851851851853,0.3157894736842105,380
native_rank,score_drop_0.01,exploration,1.1265679012345677,0.8289473684210527,380
native_rank,score_drop_0.03,exploration,1.1409382716049383,0.8289473684210527,380
native_rank,score_drop_0.05,exploration,1.1408395061728396,0.8289473684210527,380
native_rank,score_drop_0.1,exploration,1.1366049382716048,0.8263157894736842,380
native_rank,score_drop_0.15,exploration,1.1231975308641975,0.8263157894736842,380
native_rank,seed_agreement_0.4,exploration,1.1708888888888886,0.1736842105263158,380
native_rank,seed_agreement_0.6,exploration,1.1363456790123458,0.42894736842105263,380
native_rank,seed_agreement_0.8,exploration,1.107679012345679,0.5973684210526315,380
native_rank,zscore_-0.5,exploration,1.1862962962962964,0.0,380
native_rank,zscore_0,exploration,1.1824444444444444,0.04736842105263158,380
native_rank,zscore_0.5,exploration,1.1253703703703704,0.3368421052631579,380
native_rank,zscore_1,exploration,1.1594320987654323,0.6447368421052632,380
