chain_gain_per_extra_million_comparisons,dataset,delta_chain_complete_vs_one_shot,delta_oracle_recall_vs_one_shot,extra_search_comparisons_vs_one_shot,fraction,lock_policy,oracle_gain_per_extra_million_comparisons,policy_role,transition_geometry,transition_policy
0.0,hotpotqa,0.0,0.0,0.0,0.1,zscore_1,0.0,exploration,native_rank,fixed_k1
0.0,hotpotqa,0.0,0.0,0.0,0.1,seed_agreement_0.6,0.0,exploration,semantic,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.1,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.1,zscore_-0.5,0.0,preservation,semantic,fixed_k4
0.0,hotpotqa,0.0,0.028571428571428525,82403.62857142856,0.2,zscore_1,0.3467253695832391,exploration,native_rank,fixed_k1
-0.6934478539349178,hotpotqa,-0.057142857142857134,-0.02857142857142858,82403.97142857143,0.2,seed_agreement_0.6,-0.346723926967459,exploration,semantic,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.2,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.2,zscore_-0.5,0.0,preservation,semantic,fixed_k4
-0.40272770157125565,hotpotqa,-0.08571428571428574,-0.04285714285714287,212834.34285714288,0.3,zscore_1,-0.20136385078562782,exploration,native_rank,fixed_k1
0.0,hotpotqa,0.0,0.01428571428571429,101133.54285714286,0.3,seed_agreement_0.6,0.14125594616905401,exploration,semantic,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.3,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.3,zscore_-0.5,0.0,preservation,semantic,fixed_k4
-0.3232050912989743,hotpotqa,-0.08571428571428574,-0.0714285714285714,265200.9142857143,0.4,zscore_1,-0.2693375760824784,exploration,native_rank,fixed_k1
0.0,hotpotqa,0.0,0.0,93877.71428571429,0.4,seed_agreement_0.6,0.0,exploration,semantic,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.4,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,hotpotqa,0.0,0.0,0.0,0.4,zscore_-0.5,0.0,preservation,semantic,fixed_k4
0.0,qasper,0.0,0.0,104884.80000000002,0.1,zscore_1,0.0,exploration,native_rank,fixed_k1
0.0,qasper,0.0,0.0,386782.0666666667,0.1,seed_agreement_0.6,0.0,exploration,semantic,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.1,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.1,zscore_-0.5,0.0,preservation,semantic,fixed_k4
0.0,qasper,0.0,0.0,907541.2333333333,0.2,zscore_1,0.0,exploration,native_rank,fixed_k1
0.0,qasper,0.0,0.0,621363.5666666667,0.2,seed_agreement_0.6,0.0,exploration,semantic,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.2,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.2,zscore_-0.5,0.0,preservation,semantic,fixed_k4
-0.02611831303278746,qasper,-0.033333333333333326,-0.01666666666666672,1276243.7333333334,0.3,zscore_1,-0.013059156516393774,exploration,native_rank,fixed_k1
0.0,qasper,0.0,0.0,1509215.566666667,0.3,seed_agreement_0.6,0.0,exploration,semantic,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.3,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.3,zscore_-0.5,0.0,preservation,semantic,fixed_k4
0.0,qasper,0.0,0.0,1276243.7333333334,0.4,zscore_1,0.0,exploration,native_rank,fixed_k1
0.01378717306218008,qasper,0.033333333333333326,0.016666666666666607,2417706.1666666665,0.4,seed_agreement_0.6,0.006893586531090016,exploration,semantic,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.4,zscore_-0.5,0.0,preservation,native_rank,fixed_k4
0.0,qasper,0.0,0.0,0.0,0.4,zscore_-0.5,0.0,preservation,semantic,fixed_k4
