chain_complete,complete_oracle,dataset,fraction,method,native_qk_comparisons,oracle_recall,partition,rows,semantic_comparisons,wall_time
0.05714285714285714,0.0,hotpotqa,0.05,local_gist_closure,0.0,0.13333333333333333,test,35,50.714285714285715,0.004428714289263423
0.05714285714285714,0.0,hotpotqa,0.05,native_qk_top4_topk_p20,0.0,0.13333333333333333,test,35,95.57142857142857,0.007817977146312062
0.05714285714285714,0.0,hotpotqa,0.05,one_shot_parent,0.0,0.13333333333333333,test,35,5.857142857142857,0.004307274279251163
0.05714285714285714,0.0,hotpotqa,0.1,local_gist_closure,0.0,0.13333333333333333,test,35,50.714285714285715,0.004006925714202225
0.05714285714285714,0.0,hotpotqa,0.1,native_qk_top4_topk_p20,0.0,0.13333333333333333,test,35,95.57142857142857,0.007672594284771808
0.05714285714285714,0.0,hotpotqa,0.1,one_shot_parent,0.0,0.13333333333333333,test,35,5.857142857142857,0.004087237135640212
0.08571428571428572,0.02857142857142857,hotpotqa,0.2,local_gist_closure,0.0,0.1904761904761905,test,35,79.42857142857143,0.008710631435470921
0.05714285714285714,0.0,hotpotqa,0.2,native_qk_top4_topk_p20,149694.17142857143,0.20476190476190478,test,35,95.57142857142857,0.012720614282547364
0.14285714285714285,0.0,hotpotqa,0.2,one_shot_parent,0.0,0.20476190476190478,test,35,5.857142857142857,0.004569560000007706
0.2,0.11428571428571428,hotpotqa,0.3,local_gist_closure,0.0,0.3952380952380953,test,35,110.71428571428571,0.013859422857474003
0.22857142857142856,0.14285714285714285,hotpotqa,0.3,native_qk_top4_topk_p20,295072.9142857143,0.42857142857142855,test,35,110.71428571428571,0.018214837144062454
0.34285714285714286,0.11428571428571428,hotpotqa,0.3,one_shot_parent,0.0,0.4714285714285714,test,35,5.857142857142857,0.005066471423820725
0.2571428571428571,0.11428571428571428,hotpotqa,0.4,local_gist_closure,0.0,0.4809523809523809,test,35,124.28571428571429,0.015788802853785457
0.2857142857142857,0.17142857142857143,hotpotqa,0.4,native_qk_top4_topk_p20,378938.5142857143,0.45714285714285713,test,35,124.28571428571429,0.02073976285090404
0.37142857142857144,0.17142857142857143,hotpotqa,0.4,one_shot_parent,0.0,0.5428571428571428,test,35,5.857142857142857,0.005351197142486594
0.7666666666666667,0.7666666666666667,qasper,0.05,local_gist_closure,0.0,0.7666666666666667,test,30,202.83333333333334,0.010087846673559397
0.7333333333333333,0.7333333333333333,qasper,0.05,native_qk_top4_topk_p20,216439.46666666667,0.7333333333333333,test,30,272.6666666666667,0.017538586666341872
0.7333333333333333,0.7333333333333333,qasper,0.05,one_shot_parent,0.0,0.7333333333333333,test,30,16.333333333333332,0.005296900006942451
0.7666666666666667,0.7666666666666667,qasper,0.1,local_gist_closure,0.0,0.8166666666666667,test,30,319.0,0.02308204000000842
0.7333333333333333,0.7333333333333333,qasper,0.1,native_qk_top4_topk_p20,760132.2666666667,0.7333333333333333,test,30,331.0,0.028833376664745933
0.8,0.8,qasper,0.1,one_shot_parent,0.0,0.8333333333333334,test,30,16.333333333333332,0.0051407533309732875
0.8333333333333334,0.8333333333333334,qasper,0.2,local_gist_closure,0.0,0.9,test,30,447.1666666666667,0.03819055666681379
0.8,0.8,qasper,0.2,native_qk_top4_topk_p20,1617766.4,0.8333333333333334,test,30,447.1666666666667,0.047470366665705414
0.8,0.8,qasper,0.2,one_shot_parent,0.0,0.8833333333333333,test,30,16.333333333333332,0.006347193334174032
0.8333333333333334,0.8333333333333334,qasper,0.3,local_gist_closure,0.0,0.9,test,30,560.6666666666666,0.050100640001862
0.8,0.8,qasper,0.3,native_qk_top4_topk_p20,2431761.066666667,0.8833333333333333,test,30,560.6666666666666,0.06410976999322884
0.8666666666666667,0.8666666666666667,qasper,0.3,one_shot_parent,0.0,0.9333333333333333,test,30,16.333333333333332,0.006391690002055838
0.8666666666666667,0.8666666666666667,qasper,0.4,local_gist_closure,0.0,0.9333333333333333,test,30,658.3333333333334,0.0625233233324252
0.8666666666666667,0.8666666666666667,qasper,0.4,native_qk_top4_topk_p20,3164706.1333333333,0.9166666666666666,test,30,658.3333333333334,0.08009041665548769
0.8666666666666667,0.8666666666666667,qasper,0.4,one_shot_parent,0.0,0.9333333333333333,test,30,16.333333333333332,0.007576423334345842
