stage,config_id,method,edge_family,top_k,threshold,policy,split,seed,example_id,facets,units,edges,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,graph_ms,cluster_ms,iterations,converged
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e010,5,19,38,1,1,1.0,1.0000000000000002,1.0,1.0,0,1.962800044566393,0.9777999948710203,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e011,6,24,60,1,1,1.0,1.0,1.0,1.0,0,2.191399922594428,0.8870000019669533,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e012,1,5,8,0,0,0.0,0.0,0.7499999999999999,0.0,1,1.3891002163290977,0.5163000896573067,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e013,2,7,4,0,0,0.3636363636363636,0.6329129160661658,0.5,0.33333333333333337,3,1.2505000922828913,0.5948999896645546,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e014,3,12,26,1,0,0.8836662749706228,0.9199827402249093,0.9142857142857143,1.0,1,1.2968000955879688,0.6252999883145094,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e015,4,17,34,1,1,1.0,1.0,1.0,1.0,0,1.4911000616848469,0.821900088340044,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e016,5,20,52,0,1,0.9614604462474645,0.9707468043696699,0.967741935483871,0.8,1,1.4713997952640057,0.7279000710695982,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e017,6,24,64,0,1,1.0,1.0,1.0,1.0,0,1.3695000670850277,0.6979999598115683,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e018,1,5,18,1,0,0.0,0.0,1.0,0.0,0,1.2673998717218637,0.4141998942941427,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e019,2,7,16,1,0,1.0,0.9999999999999999,1.0,1.0,0,1.5035001561045647,0.7390999235212803,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e020,3,13,42,0,0,1.0,1.0,1.0,1.0,0,1.4285999350249767,0.5650999955832958,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e021,4,17,36,0,1,0.9077027485578555,0.9488973112282477,0.9259259259259259,0.8571428571428571,1,1.3435999862849712,0.6170999258756638,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e022,5,19,44,1,1,0.9093799682034976,0.9405583681794485,0.923076923076923,0.9600000000000001,2,1.4549000188708305,0.7015999872237444,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,11,validation-s11-e023,6,24,56,1,1,0.9526532479414456,0.9742175559114401,0.958904109589041,0.9444444444444444,1,1.797799952328205,1.0119001381099224,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e000,1,5,18,0,0,0.0,0.0,1.0,0.0,0,1.3587998691946268,0.5344001110643148,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e001,2,7,10,0,0,1.0,0.9999999999999999,1.0,1.0,0,1.2499999720603228,0.3533000126481056,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e002,3,12,32,1,0,1.0,1.0,1.0,1.0,0,1.5076999552547932,0.34200004301965237,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e003,4,17,32,1,1,0.8318021201413428,0.9072179371009164,0.8627450980392156,1.0,2,0.8596000261604786,0.4906998947262764,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e004,5,20,60,0,1,1.0,1.0,1.0,1.0,0,0.8980000857263803,0.6319000385701656,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e005,6,24,60,0,1,0.9687924016282227,0.9780268152531073,0.972972972972973,0.9090909090909091,1,0.9876000694930553,0.46500004827976227,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e006,1,5,18,1,0,0.0,0.0,1.0,0.0,0,0.793699873611331,0.3534001298248768,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e007,2,7,10,1,0,0.8,0.8335222413724916,0.8750000000000001,1.0,1,1.2976001016795635,0.6762000266462564,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e008,3,13,28,0,0,0.7547169811320755,0.8567357070230729,0.8108108108108109,0.5714285714285715,2,0.8860998786985874,0.42409985326230526,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e009,4,17,38,0,1,0.8830811554332875,0.9178368071299435,0.9056603773584906,0.6666666666666666,2,0.8755000308156013,0.4781999159604311,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e010,5,19,48,1,1,0.7814230933106093,0.9140994367584766,0.8235294117647058,0.9600000000000001,1,1.2396001257002354,0.6188000552356243,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e011,6,24,56,1,1,0.9526532479414456,0.9742175559114401,0.958904109589041,1.0,1,0.9798000101000071,0.53759990260005,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e012,1,5,16,0,0,0.0,0.0,1.0,0.0,0,1.1138999834656715,0.33769989386200905,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e013,2,7,18,0,0,1.0,0.9999999999999999,1.0,1.0,0,0.8290999103337526,0.29930006712675095,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e014,3,12,28,1,0,0.923699421965318,0.9312394307324187,0.9444444444444444,1.0,1,0.8228998631238937,0.3869000356644392,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e015,4,17,54,1,1,1.0,1.0,1.0,1.0,0,0.8262000046670437,0.3971999976783991,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e016,5,20,52,0,1,0.9624283171841013,0.970565211996543,0.96875,0.888888888888889,1,0.8499999530613422,0.425499863922596,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e017,6,24,58,0,1,0.9687924016282227,0.9780268152531073,0.972972972972973,0.8333333333333333,1,1.290199812501669,0.5322000943124294,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e018,1,5,18,1,0,0.0,0.0,1.0,0.0,0,1.389099983498454,0.3823998849838972,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e019,2,7,16,1,0,1.0,0.9999999999999999,1.0,1.0,0,0.8702999912202358,0.33740000799298286,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e020,3,13,36,0,0,0.9367396593673966,0.9359596314694716,0.9545454545454545,0.6666666666666666,1,0.9931998793035746,0.3894998226314783,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e021,4,17,48,0,1,1.0,1.0,1.0,1.0,0,0.8777999319136143,0.43329992331564426,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e022,5,19,40,1,1,0.8597977589505329,0.9319643399936451,0.88,0.967741935483871,2,0.8830002043396235,0.4072999581694603,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,23,validation-s23-e023,6,24,50,1,1,0.9361406756131421,0.9714041968211837,0.9444444444444444,1.0,1,1.1661001481115818,0.5874999333173037,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e000,1,4,6,0,0,0.0,0.0,1.0,0.0,0,0.8284999057650566,0.35859993658959866,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e001,2,8,18,0,0,1.0,1.0,1.0,1.0,0,0.8320000488311052,0.3464000765234232,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e002,3,12,32,1,0,1.0,1.0,1.0,1.0,0,0.8397998753935099,0.4151999019086361,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e003,4,16,34,1,1,1.0,1.0,1.0,1.0,0,0.8690999820828438,0.4110999871045351,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e004,5,21,58,0,1,1.0,1.0,1.0,1.0,0,1.3784000184386969,0.5951998755335808,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e005,6,24,46,0,1,0.788883222845487,0.8951376557086589,0.8125000000000001,0.6666666666666666,5,1.5539000742137432,0.9324001148343086,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e006,1,4,4,1,0,0.0,0.0,0.6666666666666666,0.0,1,1.3127001002430916,0.45469985343515873,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e007,2,8,12,1,0,0.5555555555555556,0.705829021446042,0.7000000000000001,0.8,2,1.30690005607903,0.6111999973654747,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e008,3,13,42,0,0,1.0,1.0,1.0,1.0,0,1.5067001804709435,0.702899880707264,2,1
