cell_id,sequence_id,repeat,strategy_id,strategy_config_id,official_resolved_count,issue_count,calls,cumulative_full_tokens,cumulative_materialized_tokens,candidate_trajectory_gross_saving_fraction,failure_aware_saving_vs_persistent_full,calls_delta_vs_persistent_full,evidence_admissible
independent-n3-b__S01_persistent_full__r01,independent-n3-b,1,S01_persistent_full,default,3,3,53,522479,522479,0.0,,,True
independent-n3-b__S03_completed_episode_spine-r4m2v2p1_tasks1__r01,independent-n3-b,1,S03_completed_episode_spine,r4m2v2p1_tasks1,3,3,47,474838,332269,0.3002476634136274,0.36405290930353185,-6,True
