seed,variant,loss,perplexity,tokens,seconds,loss_delta_vs_frozen
11,fixed,3.8811185359954834,48.47840960257214,1024,3.0466354999807663,0.0
11,lm_head_lora_r8,3.8953727185726166,49.17437815151112,1024,3.155644599988591,0.014254182577133179
11,lm_head,3.9737062454223633,53.181268869063594,1024,3.0470309999655,0.09258770942687988
11,final_norm_lm_head,3.973866432905197,53.18978852501054,1024,3.0453618000028655,0.09274789690971375
23,fixed,3.8811185359954834,48.47840960257214,1024,3.0449996999814175,0.0
23,lm_head_lora_r8,3.9048993587493896,49.64508331747786,1024,3.1909274000208825,0.02378082275390625
23,lm_head,3.987934559583664,53.94335743106531,1024,3.0954626000020653,0.10681602358818054
23,final_norm_lm_head,3.987950086593628,53.94419501661622,1024,3.0696431000251323,0.10683155059814453
37,fixed,3.8811185359954834,48.47840960257214,1024,3.128772299969569,0.0
37,lm_head_lora_r8,3.899886131286621,49.396824032478754,1024,3.1981989000341855,0.018767595291137695
37,lm_head,3.970314085483551,53.0011751253931,1024,3.092534199997317,0.08919554948806763
37,final_norm_lm_head,3.970260053873062,52.99831146390809,1024,3.135437099961564,0.08914151787757874
53,fixed,3.8811185359954834,48.47840960257214,1024,3.102650699962396,0.0
53,lm_head_lora_r8,3.884445607662201,48.63996935701829,1024,3.283261400007177,0.0033270716667175293
53,lm_head,3.9681656062602997,52.8874254400015,1024,3.12787169998046,0.08704707026481628
53,final_norm_lm_head,3.968267112970352,52.89279414103604,1024,3.1384661000338383,0.08714857697486877
71,fixed,3.8811185359954834,48.47840960257214,1024,3.12662380002439,0.0
71,lm_head_lora_r8,3.901348888874054,49.46913248360215,1024,3.200393699982669,0.020230352878570557
71,lm_head,3.974349319934845,53.215479386391635,1024,3.1308522000326775,0.09323078393936157
71,final_norm_lm_head,3.974417597055435,53.21911291013682,1024,3.129715799994301,0.09329906105995178
