seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes,trainable_memory_bytes_fp32
11,final_norm_lm_head,hotpotqa,direct_text,4,-3.3875545263290405,4.610801875591278,318.75,-570.25,-7.640625,4.27734375,0.00446048378944397,2.25,-0.1015625,0.125,0.0,0.25,0.26005695000640117,0.7770607749989722,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,hotpotqa,none,4,-7.998356401920319,0.0,889.0,0.0,-11.91796875,0.0,0.00446048378944397,2.25,-0.1015625,0.05555555555555556,0.0,0.0,0.15599879999354016,0.6716815249965293,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,hotpotqa,oracle,4,-6.9987324476242065,0.9996239542961121,239.5,-649.5,-10.412109375,1.505859375,0.00446048378944397,2.25,-0.1015625,0.05555555555555556,0.0,0.0,0.16219699998327997,0.7284270999953151,449.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,hotpotqa,routed,4,-7.876237213611603,0.12211918830871582,444.0,-445.0,-11.724609375,0.193359375,0.00446048378944397,2.25,-0.1015625,0.05555555555555556,0.0,0.0,0.16106144999503158,0.7395044750010129,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,qasper,direct_text,4,-9.069538235664368,-1.9446601867675781,20.75,9.75,-8.716796875,-2.017578125,0.05562400817871094,0.0,0.07421875,0.0,0.0,0.0,0.5012669250136241,1.0089709749881877,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,qasper,none,4,-7.1248780488967896,0.0,11.0,0.0,-6.69921875,0.0,0.05562400817871094,0.0,0.07421875,0.1875,0.0,0.75,0.14690335000341292,0.7249938750028377,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,qasper,oracle,4,-7.208930134773254,-0.08405208587646484,10.0,-1.0,-6.71484375,-0.015625,0.05562400817871094,0.0,0.07421875,0.1875,0.0,0.75,0.15582957500009798,0.8370431000075769,960.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,final_norm_lm_head,qasper,routed,4,-7.495496511459351,-0.37061846256256104,14.25,3.25,-6.96875,-0.26953125,0.05562400817871094,0.0,0.07421875,0.1875,0.0,0.75,0.1531680750194937,0.7741492750355974,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
11,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.0,0.0,0.0,0.125,0.0,0.25,0.2619840249972185,0.7525949249829864,0.0,0.0,0.0,0.0,0.0
11,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.15551129999221303,0.6900353750097565,0.0,0.0,0.0,0.0,0.0
