phase,dataset,condition,examples,exact_match,token_f1,answer_contained,normalized_answer_accuracy,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,materialized_unique_tokens,native_kv_token_states,native_kv_bytes,kv_reduction_vs_whole,evidence_kv_tokens,non_evidence_kv_tokens,evidence_density,memory_attention_mass,evidence_attention_mass,non_evidence_attention_mass,attention_entropy,ttft_seconds,tpot_seconds,total_generation_seconds,interval_resolution_seconds,logical_gather_seconds,logical_h2d_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,cross_shard_interval_count,conceptual_selected_parents,evidence_recall,complete_evidence_recovery,annotated_edge_recall,evidence_source_tokens,evidence_coverage,requested_materialization_tokens,deduplicated_materialization_tokens,active_kv_fraction,cpu_reference_cache_bytes,gpu_reference_cache_bytes,h2d_kv_bytes,encoding_granularity_tokens
heldout,2wikimultihopqa,M0_native_gist,16,0.1875,0.21875,0.1875,0.1875,-4.991681238578167,-0.0031258105736924335,4.625,18.5,75776.0,0.96875,0.0,4.625,0.0,0.0010333688982768763,0.0,0.0010333688982768763,1.0128610995598137,0.2847987999994075,0.0,0.28632991247286554,0.0,0.0,0.006944550041225739,1209150592.0,1236402176.0,0.0,4.625,,,,79.25,0.0,4.625,4.625,0.0041866922868602965,147388416.0,0.0,75776.0,256.0
heldout,2wikimultihopqa,M1_whole_parent,16,0.1875,0.21875,0.1875,0.1875,-4.611437175735773,0.3771182522687013,148.0,592.0,2424832.0,0.0,79.25,68.75,0.548095703125,0.2971743709567818,0.14057056344154262,0.15660380844292376,1.5069963713176548,0.2861904687160859,0.0,0.28736803129140753,0.0,0.008091537485597655,0.0040322875283891335,1212274144.0,1236402176.0,0.0,4.625,,,,79.25,1.0,148.0,148.0,0.1339741531795295,147388416.0,0.0,2424832.0,256.0
heldout,2wikimultihopqa,M2_evidence_only,16,0.1875,0.21875,0.1875,0.1875,-4.504196328431135,0.48435909957333934,79.25,317.0,1298432.0,0.451904296875,79.25,0.0,1.0,0.15888974528570543,0.15888974528570543,0.0,1.2949145468883216,0.27726086249458604,0.0,0.27906209375942126,0.0010396938159829006,0.0017748687823768705,0.006442193858674727,1210613344.0,1236402176.0,8.0,4.625,,,,79.25,1.0,84.5,79.25,0.0721110191579507,147388416.0,0.0,1298432.0,256.0
heldout,2wikimultihopqa,M3_radius_2,16,0.1875,0.21875,0.1875,0.1875,-4.518566582002677,0.46998884600179736,88.5,354.0,1449984.0,0.38575846354166665,79.25,9.25,0.887963952506255,0.2095091547635093,0.15660694187499757,0.05290221160612418,1.3493393096141517,0.2740007999818772,0.0,0.27520874375477433,0.0012251313019078225,0.0018407311727060005,0.008989481124444865,1210811552.0,1236402176.0,8.5,4.625,,,,79.25,1.0,94.25,88.5,0.08043244547502247,147388416.0,0.0,1449984.0,256.0
heldout,2wikimultihopqa,M_none,16,0.1875,0.21875,0.1875,0.1875,-4.988555428004474,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.22656023751187604,0.0,0.2279284750111401,0.0,0.0,0.0,1208659936.0,1236402176.0,0.0,0.0,,,,79.25,0.0,0.0,0.0,0.0,147388416.0,0.0,0.0,256.0
heldout,musique,M0_native_gist,16,0.0,0.0,0.0,0.0,-14.058843553066254,-10.021215848624706,15.25,427.0,1748992.0,0.968624803140709,0.0,15.25,0.0,0.004294273963414038,0.0,0.004294273963414038,1.6404625869223048,0.9245224187616259,0.0,0.9261371687316569,0.0,0.0,0.14269459365459625,1212874624.0,1248067584.0,0.0,15.25,,,,414.1875,0.0,15.25,15.25,0.005761222918122109,299880448.0,0.0,1748992.0,256.0
heldout,musique,M1_whole_parent,16,0.0,0.015625,0.0,0.0,-3.0801972821354866,0.9574304223060608,486.3125,13616.75,55774208.0,0.0,414.1875,72.125,0.8271766950146489,0.6167926037368099,0.5204025915196065,0.09639001355364078,2.069974626414478,0.5309434312366648,0.0,0.5322982437646715,0.0,0.12487751874141395,0.07232828749692999,1224215968.0,1253441536.0,0.0,15.25,,,,414.1875,1.0,486.3125,486.3125,0.183570480047549,299880448.0,0.0,55774208.0,256.0
heldout,musique,M2_evidence_only,16,0.0,0.0,0.0,0.0,-2.711799396201968,1.3258283082395792,414.1875,11597.25,47502336.0,0.1728233049853511,414.1875,0.0,1.0,0.6009952293076951,0.6009952293076951,0.0,1.9160100920125842,0.7066887437540572,0.0,0.7079024125123397,0.02279823739081621,0.031240906231687404,0.14279042519046925,1222631104.0,1253310464.0,80.5,15.25,,,,414.1875,1.0,414.1875,414.1875,0.15482902331107748,299880448.0,0.0,47502336.0,256.0
heldout,musique,M3_radius_2,16,0.0,0.0,0.0,0.0,-2.801947895437479,1.2356798090040684,425.1875,11905.25,48763904.0,0.14664659372108288,414.1875,11.0,0.9684167278064165,0.6026507527401139,0.5947093584025944,0.00794139621578844,1.9340048930607736,0.716727718769107,0.0,0.7181138749874663,0.025980299804359674,0.03796021254674997,0.167799006390851,1222859424.0,1253310464.0,80.5,15.25,,,,414.1875,1.0,425.1875,425.1875,0.15911898149036535,299880448.0,0.0,48763904.0,256.0
heldout,musique,M_none,16,0.0,0.015625,0.0,0.0,-4.037627704441547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.3610478312766645,0.0,0.3630522125167772,0.0,0.0,0.0,1212114784.0,1248067584.0,0.0,0.0,,,,414.1875,0.0,0.0,0.0,0.0,299880448.0,0.0,0.0,256.0
