policy,n,need_more_recall,false_escalation,operation_accuracy_given_escalation,runtime_recovery,final_use_given_visible,under_expansion,over_expansion
FULL,90,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.16666666666666666
COMPACT_ONLY,90,0.0,0.0,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0
PRA_COMPACT,90,0.0,0.0,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0
PRA_FALLBACK,90,0.0,0.0,0.0,0.5,1.0,0.5,0.0
PRA_NATIVE,90,0.0,0.0,0.0,0.8333333333333334,1.0,0.16666666666666666,0.0
MODEL_ONLY,90,0.6666666666666666,0.6666666666666666,0.25,0.6111111111111112,1.0,0.2777777777777778,0.1111111111111111
PRA_ADAPTIVE,90,0.6666666666666666,0.4,0.0,0.8333333333333334,1.0,0.05555555555555555,0.3333333333333333
PRA_ADAPTIVE_ORACLE,90,1.0,0.0,1.0,1.0,1.0,0.0,0.0
CCR_TOOL,90,0.6666666666666666,0.6666666666666666,0.25,0.6111111111111112,1.0,0.2777777777777778,0.1111111111111111
