model,description_level,controller_protocol,n,decision_accuracy,need_more_recall,false_escalation,operation_accuracy_given_need_more,prompt_tokens,generated_tokens,latency_seconds,fixed_description_token_estimate
llama3.2:3b,D0,flat,60,0.4166666666666667,0.6,0.5,0.5714285714285714,524.6666666666666,10.416666666666666,2.5397493283458363,124
llama3.2:3b,D1,flat,60,0.3333333333333333,0.2,0.0,1.0,671.6666666666666,9.166666666666666,2.1579847099996794,331
llama3.2:3b,D2,flat,60,0.4166666666666667,0.7,0.5,0.5,770.6666666666666,10.083333333333334,2.4117126350019435,460
llama3.2:3b,D2,hierarchical,60,0.16666666666666666,0.0,0.0,0.0,769.5,10.0,2.3330770599733417,460
qwen3:0.6b,D0,flat,60,0.21666666666666667,0.26,0.1,0.2857142857142857,521.1666666666666,12.65,1.3542802333210906,124
qwen3:0.6b,D2,flat,60,0.3333333333333333,0.2,0.0,1.0,769.1666666666666,12.333333333333334,1.167009068323144,460
