model,n,decision_accuracy,need_more_recall,false_escalation,operation_accuracy_given_need_more,prompt_tokens,generated_tokens,latency_seconds,fixed_description_token_estimate
llama3.2:3b,240,0.3333333333333333,0.375,0.25,0.5882352941176471,684.125,9.916666666666666,2.3606309333302002,124
qwen3:0.6b,120,0.275,0.23,0.05,0.5833333333333334,645.1666666666666,12.491666666666667,1.2606446508221174,124
