case_id,partition,case_class,omission_stratum,policy,k,backing_recall,routing_seconds,query_seconds,source_tokens
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_COMPACT,1,0,0.009230699855834246,0.668027900159359,205
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_COMPACT,2,0,0.009230699855834246,0.668027900159359,205
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_COMPACT,4,1,0.009230699855834246,0.668027900159359,205
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_COMPACT,8,1,0.009230699855834246,0.668027900159359,205
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_FALLBACK,1,0,0.0,0.0,0
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_FALLBACK,2,0,0.0,0.0,0
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_FALLBACK,4,1,0.0,0.0,0
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_FALLBACK,8,1,0.0,0.0,0
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_SEMANTIC,1,0,0.004531600046902895,0.7971898999530822,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_SEMANTIC,2,0,0.004531600046902895,0.7971898999530822,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_SEMANTIC,4,0,0.004531600046902895,0.7971898999530822,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_SEMANTIC,8,0,0.004531600046902895,0.7971898999530822,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_HYBRID,1,0,0.17192660016007721,0.7733845000620931,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_HYBRID,2,0,0.17192660016007721,0.7733845000620931,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_HYBRID,4,0,0.17192660016007721,0.7733845000620931,624
c0-billing,validation,C0_CONTINUE,compact_explicit,PRA_NATIVE_HYBRID,8,1,0.17192660016007721,0.7733845000620931,624
c1-billing,validation,C1_FULL,semantic_omission,PRA_COMPACT,1,0,0.001783299958333373,0.694258299889043,39
c1-billing,validation,C1_FULL,semantic_omission,PRA_COMPACT,2,0,0.001783299958333373,0.694258299889043,39
c1-billing,validation,C1_FULL,semantic_omission,PRA_COMPACT,4,0,0.001783299958333373,0.694258299889043,39
c1-billing,validation,C1_FULL,semantic_omission,PRA_COMPACT,8,0,0.001783299958333373,0.694258299889043,39
c1-billing,validation,C1_FULL,semantic_omission,PRA_FALLBACK,1,1,0.0,0.0,0
c1-billing,validation,C1_FULL,semantic_omission,PRA_FALLBACK,2,1,0.0,0.0,0
c1-billing,validation,C1_FULL,semantic_omission,PRA_FALLBACK,4,1,0.0,0.0,0
c1-billing,validation,C1_FULL,semantic_omission,PRA_FALLBACK,8,1,0.0,0.0,0
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_SEMANTIC,1,1,0.01074340008199215,0.7761530999559909,68
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_SEMANTIC,2,1,0.01074340008199215,0.7761530999559909,68
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_SEMANTIC,4,1,0.01074340008199215,0.7761530999559909,68
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_SEMANTIC,8,1,0.01074340008199215,0.7761530999559909,68
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_HYBRID,1,1,0.035874899942427874,0.7446290999650955,68
c1-billing,validation,C1_FULL,semantic_omission,PRA_NATIVE_HYBRID,2,1,0.035874899942427874,0.7446290999650955,68
