partition,omission_stratum,policy,k,n,recall,routing_seconds,query_seconds
test,absent_from_backing,PRA_COMPACT,1,3,0.0,0.0055168333152929945,0.8142835999994228
test,absent_from_backing,PRA_COMPACT,2,3,0.0,0.0055168333152929945,0.8142835999994228
test,absent_from_backing,PRA_COMPACT,4,3,0.0,0.0055168333152929945,0.8142835999994228
test,absent_from_backing,PRA_COMPACT,8,3,0.0,0.0055168333152929945,0.8142835999994228
test,absent_from_backing,PRA_FALLBACK,1,3,0.0,0.0,0.0
test,absent_from_backing,PRA_FALLBACK,2,3,0.0,0.0,0.0
test,absent_from_backing,PRA_FALLBACK,4,3,0.0,0.0,0.0
test,absent_from_backing,PRA_FALLBACK,8,3,0.0,0.0,0.0
test,absent_from_backing,PRA_NATIVE_HYBRID,1,3,0.0,0.014911066740751266,0.9293528332685431
test,absent_from_backing,PRA_NATIVE_HYBRID,2,3,0.0,0.014911066740751266,0.9293528332685431
test,absent_from_backing,PRA_NATIVE_HYBRID,4,3,0.0,0.014911066740751266,0.9293528332685431
test,absent_from_backing,PRA_NATIVE_HYBRID,8,3,0.0,0.014911066740751266,0.9293528332685431
test,absent_from_backing,PRA_NATIVE_SEMANTIC,1,3,0.0,0.0028894999995827675,1.1103388666330527
test,absent_from_backing,PRA_NATIVE_SEMANTIC,2,3,0.0,0.0028894999995827675,1.1103388666330527
test,absent_from_backing,PRA_NATIVE_SEMANTIC,4,3,0.0,0.0028894999995827675,1.1103388666330527
test,absent_from_backing,PRA_NATIVE_SEMANTIC,8,3,0.0,0.0028894999995827675,1.1103388666330527
test,compact_explicit,PRA_COMPACT,1,3,0.0,0.011566133315985402,1.0253229667432606
test,compact_explicit,PRA_COMPACT,2,3,0.0,0.011566133315985402,1.0253229667432606
test,compact_explicit,PRA_COMPACT,4,3,0.3333333333333333,0.011566133315985402,1.0253229667432606
test,compact_explicit,PRA_COMPACT,8,3,1.0,0.011566133315985402,1.0253229667432606
test,compact_explicit,PRA_FALLBACK,1,3,0.0,0.0,0.0
test,compact_explicit,PRA_FALLBACK,2,3,0.0,0.0,0.0
test,compact_explicit,PRA_FALLBACK,4,3,0.6666666666666666,0.0,0.0
test,compact_explicit,PRA_FALLBACK,8,3,0.6666666666666666,0.0,0.0
test,compact_explicit,PRA_NATIVE_HYBRID,1,3,0.0,0.1663572999338309,0.8973818666612109
test,compact_explicit,PRA_NATIVE_HYBRID,2,3,0.3333333333333333,0.1663572999338309,0.8973818666612109
test,compact_explicit,PRA_NATIVE_HYBRID,4,3,0.3333333333333333,0.1663572999338309,0.8973818666612109
test,compact_explicit,PRA_NATIVE_HYBRID,8,3,0.3333333333333333,0.1663572999338309,0.8973818666612109
test,compact_explicit,PRA_NATIVE_SEMANTIC,1,3,0.0,0.006860033298532168,1.0915509666471432
test,compact_explicit,PRA_NATIVE_SEMANTIC,2,3,0.0,0.006860033298532168,1.0915509666471432
test,compact_explicit,PRA_NATIVE_SEMANTIC,4,3,0.0,0.006860033298532168,1.0915509666471432
test,compact_explicit,PRA_NATIVE_SEMANTIC,8,3,0.0,0.006860033298532168,1.0915509666471432
test,opaque_hidden,PRA_COMPACT,1,4,0.0,0.009382324933540076,1.1529248249717057
test,opaque_hidden,PRA_COMPACT,2,4,0.0,0.009382324933540076,1.1529248249717057
test,opaque_hidden,PRA_COMPACT,4,4,0.0,0.009382324933540076,1.1529248249717057
test,opaque_hidden,PRA_COMPACT,8,4,0.0,0.009382324933540076,1.1529248249717057
test,opaque_hidden,PRA_FALLBACK,1,4,0.5,0.0,0.0
test,opaque_hidden,PRA_FALLBACK,2,4,1.0,0.0,0.0
test,opaque_hidden,PRA_FALLBACK,4,4,1.0,0.0,0.0
test,opaque_hidden,PRA_FALLBACK,8,4,1.0,0.0,0.0
test,opaque_hidden,PRA_NATIVE_HYBRID,1,4,0.75,0.15603290003491566,1.1458036249969155
test,opaque_hidden,PRA_NATIVE_HYBRID,2,4,1.0,0.15603290003491566,1.1458036249969155
test,opaque_hidden,PRA_NATIVE_HYBRID,4,4,1.0,0.15603290003491566,1.1458036249969155
test,opaque_hidden,PRA_NATIVE_HYBRID,8,4,1.0,0.15603290003491566,1.1458036249969155
test,opaque_hidden,PRA_NATIVE_SEMANTIC,1,4,0.5,0.016003599972464144,1.5198828999418765
test,opaque_hidden,PRA_NATIVE_SEMANTIC,2,4,0.5,0.016003599972464144,1.5198828999418765
test,opaque_hidden,PRA_NATIVE_SEMANTIC,4,4,0.5,0.016003599972464144,1.5198828999418765
test,opaque_hidden,PRA_NATIVE_SEMANTIC,8,4,0.5,0.016003599972464144,1.5198828999418765
