model,description_level,controller_protocol,thinking,controller_fingerprint,n,decision_accuracy,need_more_recall,false_escalation,operation_accuracy_given_need_more,prompt_tokens,generated_tokens,latency_seconds,fixed_description_token_estimate
llama3.2:3b,D0,flat,0,a18f0925cc26fbf3cdb1d5563ea26a601eebdbe90bc5ef90da07b0dbbdf65a9b,60,0.4166666666666667,0.6,0.5,0.5714285714285714,524.6666666666666,10.416666666666666,2.5397493283458363,124
llama3.2:3b,D1,flat,0,fc62fa37019388f6ef54be5d1f26ba9be7ae9df14a2a97dd05a88d79b9548bec,60,0.3333333333333333,0.2,0.0,1.0,671.6666666666666,9.166666666666666,2.1579847099996794,331
llama3.2:3b,D2,flat,0,283d35992d46088905c8fae2929f34998de46c7ba9813d682b0f1fec84190022,60,0.4166666666666667,0.7,0.5,0.5,770.6666666666666,10.083333333333334,2.4117126350019435,460
llama3.2:3b,D2,hierarchical,0,cec856b142587e989c6d22ba18140f5019b1cb093cf4db269ab093ea58cfd0d6,60,0.16666666666666666,0.0,0.0,0.0,769.5,10.0,2.3330770599733417,460
qwen3:0.6b,D0,flat,0,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,60,0.21666666666666667,0.26,0.1,0.2857142857142857,521.1666666666666,12.65,1.3542802333210906,124
qwen3:0.6b,D2,flat,0,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,60,0.3333333333333333,0.2,0.0,1.0,769.1666666666666,12.333333333333334,1.167009068323144,460
