model_id,dataset,example_id,method,units,target_facets,predicted_facets,facet_switches,normalized_switch_rate,minimum_contiguous_cover_ratio,non_contiguous_facets,has_non_contiguous_facet,ari,nmi,pairwise_f1,facet_count_abs_error,over_segmented,under_segmented,singleton_rate,decomposition_ms,graph_edges,graph_bytes
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,global,15,2,1,2.0,0.2857142857142857,1.75,1.0,1.0,0.0,0.0,0.7272727272727273,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,fixed_window,15,2,3,2.0,0.2857142857142857,1.75,1.0,1.0,0.19230769230769235,0.26935583490799114,0.5,1.0,1.0,0.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,syntax,15,2,1,2.0,0.2857142857142857,1.75,1.0,1.0,0.0,0.0,0.7272727272727273,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,embedding_kmeans,15,2,3,2.0,0.2857142857142857,1.75,1.0,1.0,0.11650485436893199,0.3659487730666653,0.4800000000000001,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,graph_cc,15,2,4,2.0,0.2857142857142857,1.75,1.0,1.0,0.11650485436893199,0.3659487730666653,0.4800000000000001,1.0,1.0,0.0,0.3333333432674408,2.406399929895997,22,976
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,graph_lp,15,2,5,2.0,0.2857142857142857,1.75,1.0,1.0,0.14953271028037382,0.41317278804747265,0.38095238095238093,2.0,1.0,0.0,0.25,2.406399929895997,22,976
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,llm,15,2,1,2.0,0.2857142857142857,1.75,1.0,1.0,0.0,0.0,0.7272727272727273,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,global,10,2,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,fixed_window,10,2,2,1.0,0.25,1.0,0.0,0.0,0.16666666666666663,0.4325380677663125,0.5,0.0,0.0,0.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,syntax,10,2,3,1.0,0.25,1.0,0.0,0.0,0.5454545454545454,0.7789794173345359,0.6666666666666666,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,embedding_kmeans,10,2,2,1.0,0.25,1.0,0.0,0.0,0.16666666666666663,0.4325380677663125,0.5,0.0,0.0,0.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,graph_cc,10,2,2,1.0,0.25,1.0,0.0,0.0,-0.1538461538461538,0.2019643764564272,0.4,0.0,0.0,0.0,0.5,2.3912000469863415,16,688
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,graph_lp,10,2,2,1.0,0.25,1.0,0.0,0.0,-0.1538461538461538,0.2019643764564272,0.4,0.0,0.0,0.0,0.5,2.3912000469863415,16,688
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,llm,10,2,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,global,14,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,fixed_window,14,2,3,1.0,0.2,1.0,0.0,0.0,0.5871559633027523,0.7725068857142601,0.7272727272727273,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,syntax,14,2,2,1.0,0.2,1.0,0.0,0.0,-0.17391304347826095,0.13921962366837887,0.47058823529411764,0.0,0.0,0.0,0.5,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,embedding_kmeans,14,2,3,1.0,0.2,1.0,0.0,0.0,0.8648648648648649,0.8463848597938766,0.923076923076923,1.0,1.0,0.0,0.6666666865348816,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,graph_cc,14,2,5,1.0,0.2,1.0,0.0,0.0,0.2990654205607477,0.6474642398330626,0.4444444444444445,2.0,1.0,0.0,0.5,2.6408000849187374,18,840
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,graph_lp,14,2,5,1.0,0.2,1.0,0.0,0.0,0.2990654205607477,0.6474642398330626,0.4444444444444445,2.0,1.0,0.0,0.5,2.6408000849187374,18,840
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,llm,14,2,2,1.0,0.2,1.0,0.0,0.0,-0.17391304347826095,0.13921962366837887,0.47058823529411764,0.0,0.0,0.0,0.5,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,global,11,2,1,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6875000000000001,1.0,0.0,1.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,fixed_window,11,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.05405405405405403,0.3156244234780853,0.5,0.0,0.0,0.0,0.0,0.0,0,0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,syntax,11,2,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.05405405405405403,0.3156244234780853,0.5,0.0,0.0,0.0,0.0,0.0,0,0
