model_id,dataset,method,examples,mean_ari,mean_nmi,mean_pairwise_f1,mean_facet_count_abs_error,mean_over_segmented,mean_under_segmented,mean_singleton_rate,mean_decomposition_ms
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,global,100,0.0,0.0,0.649874516346149,1.0,0.0,1.0,0.0,0.0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,fixed_window,100,0.18482078287713588,0.4067873364151856,0.5048844929059761,0.77,0.61,0.03,0.15033333644270896,0.0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,syntax,100,0.16826247966152988,0.24877144534389026,0.6522206993862426,0.95,0.27,0.61,0.09533333510160447,0.0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,embedding_kmeans,100,0.2514279144692977,0.41017426300298526,0.6218423372988733,0.3,0.27,0.03,0.33166667103767394,0.0
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,graph_cc,100,0.24556526060484743,0.48672189579096553,0.5256057230756884,0.99,0.7,0.01,0.3143333385884762,2.4135680054314435
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,graph_lp,100,0.24988281714585725,0.504796691920181,0.5072926802140106,1.17,0.8,0.0,0.3356666725873947,2.4135680054314435
HuggingFaceTB/SmolLM2-135M,2wikimultihopqa,llm,100,0.06891707636831305,0.10735669163320381,0.6510709061930288,0.81,0.03,0.78,0.02033333346247673,0.0
HuggingFaceTB/SmolLM2-135M,musique,global,100,0.0,8.814264705426659e-18,0.5823118076003955,1.55,0.0,1.0,0.0,0.0
HuggingFaceTB/SmolLM2-135M,musique,fixed_window,100,0.32455041582541305,0.5645416292310466,0.5196477686576962,1.5,0.83,0.0,0.0905714301764965,0.0
HuggingFaceTB/SmolLM2-135M,musique,syntax,100,0.057587112487373436,0.10511925969037669,0.5804020588779978,1.26,0.06,0.82,0.008333333432674409,0.0
HuggingFaceTB/SmolLM2-135M,musique,embedding_kmeans,100,0.09017414355156975,0.3044463901847802,0.46464337377555753,0.54,0.46,0.07,0.26333333790302277,0.0
HuggingFaceTB/SmolLM2-135M,musique,graph_cc,100,0.1428083349676671,0.40442238102867806,0.41204034035681736,1.75,0.79,0.07,0.1924563530832529,3.860374989453703
HuggingFaceTB/SmolLM2-135M,musique,graph_lp,100,0.1300758713345968,0.43148606025998076,0.36589031344956896,2.16,0.89,0.0,0.25719156317412856,3.860374989453703
HuggingFaceTB/SmolLM2-135M,musique,llm,100,0.1834127539789458,0.27548623004727557,0.600288464912681,1.0,0.16,0.57,0.01583333358168602,0.0
