condition,examples,gold_answer_log_probability,gold_answer_mean_nll,ingestion_ms,native_reuse,ordinary_prefix_cache_hit,physical_context_tokens,regime,seed,selected_native_kv_tokens,selector_profile,supporting_document_coverage,token_f1,total_latency_ms,ttft_ms,visible_prompt_tokens
NO_PRA_STANDARD_RAG,30,-10.96875,5.180243055555556,943.6916735042663,0.0,0.0,2021.8,COLD,101,0.0,standard_bm25,0.325,0.09108780108780108,1115.118748372576,1022.2737887408584,2105.5666666666666
NO_PRA_STANDARD_RAG,30,-10.96875,5.180243055555556,0.019859668100252748,0.0,1.0,2021.8,PREFIX_WARM,101,0.0,standard_bm25,0.325,0.09108780108780108,161.74488886220692,69.81539309296447,2105.5666666666666
NO_PRA_STANDARD_RAG,30,-10.96875,5.180243055555556,930.915486071414,0.0,0.0,2021.8,WARM,101,0.0,standard_bm25,0.325,0.09108780108780108,1099.268179111338,1004.9258472048678,2105.5666666666666
NO_PRA_STANDARD_RAG,30,-11.45,5.631597222222222,940.8929152976876,0.0,0.0,2020.0,COLD,101,0.0,strong_conventional_reranker,0.5638888888888889,0.10016983016983017,1115.0434637946698,1020.8074138266966,2104.3
NO_PRA_STANDARD_RAG,30,-11.45,5.631597222222222,0.02142777278398474,0.0,1.0,2020.0,PREFIX_WARM,101,0.0,strong_conventional_reranker,0.5638888888888889,0.10016983016983017,162.1966431111408,70.43807497248054,2104.3
NO_PRA_STANDARD_RAG,30,-11.45,5.631597222222222,934.6999333356507,0.0,0.0,2020.0,WARM,101,0.0,strong_conventional_reranker,0.5638888888888889,0.10016983016983017,1102.5633528304752,1008.4938182049276,2104.3
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.15,5.7155555555555555,938.1434916285798,0.0,0.0,2021.4,COLD,101,2026.3333333333333,pra_generic,0.5444444444444444,0.10540792540792542,1142.6561055258692,1019.0021554667813,79.4
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.15,5.7155555555555555,0.027824926655739546,1.0,0.0,2021.4,WARM,101,2026.3333333333333,pra_generic,0.5444444444444444,0.10540792540792542,202.43732768964642,77.59411242829326,79.4
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-11.45,5.631597222222222,934.3717305668785,0.0,0.0,2020.0,COLD,101,2024.9,pra_strong_reranker,0.5638888888888889,0.10016983016983017,1139.2837666595976,1014.9605749660017,79.4
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-11.45,5.631597222222222,0.029137491947039962,1.0,0.0,2020.0,WARM,101,2024.9,pra_strong_reranker,0.5638888888888889,0.10016983016983017,200.52582088974304,76.86357372052346,79.4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.15,5.7155555555555555,932.8378721955232,0.0,0.0,2021.4,COLD,101,0.0,pra_generic,0.5444444444444444,0.10540792540792542,1103.7872887895599,1009.5262581579542,2105.733333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.15,5.7155555555555555,0.02551247210552295,0.0,1.0,2021.4,PREFIX_WARM,101,0.0,pra_generic,0.5444444444444444,0.10540792540792542,163.12922780634835,71.14872920404498,2105.733333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.15,5.7155555555555555,933.3850915931786,0.0,0.0,2021.4,WARM,101,0.0,pra_generic,0.5444444444444444,0.10540792540792542,1102.8294526952475,1009.5113775945114,2105.733333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-11.45,5.631597222222222,928.4795374706542,0.0,0.0,2020.0,COLD,101,0.0,pra_strong_reranker,0.5638888888888889,0.10016983016983017,1096.525775064947,1002.139659806077,2104.3
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-11.45,5.631597222222222,0.029333296697586775,0.0,1.0,2020.0,PREFIX_WARM,101,0.0,pra_strong_reranker,0.5638888888888889,0.10016983016983017,164.3970402306877,71.80904026608914,2104.3
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-11.45,5.631597222222222,928.739405501013,0.0,0.0,2020.0,WARM,101,0.0,pra_strong_reranker,0.5638888888888889,0.10016983016983017,1098.1174624350388,1003.7345569367366,2104.3
NO_PRA_STANDARD_RAG,30,-5.3,2.8721875000000003,943.4732778308293,0.0,0.0,2021.7,COLD,11,0.0,standard_bm25,0.4666666666666667,0.12352453102453102,1118.5051721966981,1022.6766722645456,2106.1
NO_PRA_STANDARD_RAG,30,-5.3,2.8721875000000003,0.02049719332717359,0.0,1.0,2021.7,PREFIX_WARM,11,0.0,standard_bm25,0.4666666666666667,0.12352453102453102,163.89458749714927,69.17189859474699,2106.1
NO_PRA_STANDARD_RAG,30,-5.3,2.8721875000000003,944.6188374635918,0.0,0.0,2021.7,WARM,11,0.0,standard_bm25,0.4666666666666667,0.12352453102453102,1114.467552655454,1018.6491998960264,2106.1
NO_PRA_STANDARD_RAG,30,-6.666666666666667,4.566006944444444,953.5971804871224,0.0,0.0,2021.5333333333333,COLD,11,0.0,strong_conventional_reranker,0.5361111111111111,0.14594553594553597,1130.9997735525637,1034.2222054256126,2106.7
NO_PRA_STANDARD_RAG,30,-6.666666666666667,4.566006944444444,0.02015839369657139,0.0,1.0,2021.5333333333333,PREFIX_WARM,11,0.0,strong_conventional_reranker,0.5361111111111111,0.14594553594553597,164.32351385398457,69.6468457521405,2106.7
NO_PRA_STANDARD_RAG,30,-6.666666666666667,4.566006944444444,949.3587194030018,0.0,0.0,2021.5333333333333,WARM,11,0.0,strong_conventional_reranker,0.5361111111111111,0.14594553594553597,1119.165684597101,1023.0986207684813,2106.7
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-7.1375,4.226597222222222,952.182690158952,0.0,0.0,2024.1,COLD,11,2028.9666666666667,pra_generic,0.5805555555555556,0.12133144633144634,1162.6653554306056,1034.2098832285653,79.73333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-7.1375,4.226597222222222,0.02783326005252699,1.0,0.0,2024.1,WARM,11,2028.9666666666667,pra_generic,0.5805555555555556,0.12133144633144634,204.30216656338112,76.36109719363351,79.73333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-6.666666666666667,4.566006944444444,945.4585415990247,0.0,0.0,2021.5333333333333,COLD,11,2026.9666666666667,pra_strong_reranker,0.5361111111111111,0.14594553594553597,1157.22437777052,1027.899923598549,79.73333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-6.666666666666667,4.566006944444444,0.02695987350307405,1.0,0.0,2021.5333333333333,WARM,11,2026.9666666666667,pra_strong_reranker,0.5361111111111111,0.14594553594553597,205.6467708394242,77.92247787001543,79.73333333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-7.1375,4.226597222222222,945.1517846280088,0.0,0.0,2024.1,COLD,11,0.0,pra_generic,0.5805555555555556,0.12133144633144634,1116.5441708581056,1021.4875222028544,2108.7
