condition,examples_per_seed,gold_answer_log_probability_mean,gold_answer_log_probability_seed_sd,gold_answer_mean_nll_mean,gold_answer_mean_nll_seed_sd,ingestion_ms_mean,ingestion_ms_seed_sd,native_reuse_mean,native_reuse_seed_sd,ordinary_prefix_cache_hit_mean,ordinary_prefix_cache_hit_seed_sd,physical_context_tokens_mean,physical_context_tokens_seed_sd,regime,seeds,selected_native_kv_tokens_mean,selected_native_kv_tokens_seed_sd,selector_profile,supporting_document_coverage_mean,supporting_document_coverage_seed_sd,token_f1_mean,token_f1_seed_sd,total_latency_ms_mean,total_latency_ms_seed_sd,ttft_ms_mean,ttft_ms_seed_sd,visible_prompt_tokens_mean,visible_prompt_tokens_seed_sd
NO_PRA_STANDARD_RAG,30,-9.717916666666667,2.7333796204160072,5.069305555555555,1.279265853484262,941.2478510721121,4.862893525473668,0.0,0.0,0.0,0.0,2021.6733333333334,0.45485040275774785,COLD,5,0.0,0.0,standard_bm25,0.375,0.07016294966841717,0.09885878935878936,0.016658789059908016,1113.7134432645205,5.928340408021009,1019.8074902264246,5.944854910292539,2106.5533333333333,1.2460158729147666
NO_PRA_STANDARD_RAG,30,-9.717916666666667,2.7333796204160072,5.069305555555555,1.279265853484262,0.020178015499065317,0.0002856114819855047,0.0,0.0,1.0,0.0,2021.6733333333334,0.45485040275774785,PREFIX_WARM,5,0.0,0.0,standard_bm25,0.375,0.07016294966841717,0.09885878935878936,0.016658789059908016,162.0331536155815,1.533885186924004,69.37436193421794,0.8012562872433407,2106.5533333333333,1.2460158729147666
NO_PRA_STANDARD_RAG,30,-9.717916666666667,2.7333796204160072,5.069305555555555,1.279265853484262,931.4186869072728,11.510137524693942,0.0,0.0,0.0,0.0,2021.6733333333334,0.45485040275774785,WARM,5,0.0,0.0,standard_bm25,0.375,0.07016294966841717,0.09885878935878936,0.016658789059908016,1099.4868433095203,13.51677186596286,1004.86160832108,12.568834135657063,2106.5533333333333,1.2460158729147666
NO_PRA_STANDARD_RAG,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,943.6341780152483,9.466354986873766,0.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,COLD,5,0.0,0.0,strong_conventional_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,1117.9834060417488,11.84911742098096,1022.9348766093608,10.820569193488048,2108.8866666666668,5.815525198409241
NO_PRA_STANDARD_RAG,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,0.020710004415983953,0.0015532812459499075,0.0,0.0,1.0,0.0,2023.6066666666666,5.537317842501843,PREFIX_WARM,5,0.0,0.0,strong_conventional_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,162.71057472913526,1.4084993147638636,69.77583248245841,0.9077035014429153,2108.8866666666668,5.815525198409241
NO_PRA_STANDARD_RAG,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,937.8735863867527,14.228306836454035,0.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,WARM,5,0.0,0.0,strong_conventional_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,1105.3710683252816,17.065912339049085,1010.9722958792312,16.17255721230101,2108.8866666666668,5.815525198409241
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.422083333333333,2.2045120239837406,5.765111111111111,0.9632170935437898,935.904821890872,14.285713887950239,0.0,0.0,0.0,0.0,2024.9066666666665,2.6401178424877556,COLD,5,2029.8333333333333,2.5717482164646563,pra_generic,0.5438888888888889,0.03775121615243218,0.11761166611166611,0.011417423486867242,1141.6377155168448,16.74068432876934,1016.4628677326255,15.538004243294981,80.28666666666666,1.0907693513194145
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.422083333333333,2.2045120239837406,5.765111111111111,0.9632170935437898,0.027933276336019237,0.0007817679818413971,1.0,0.0,0.0,0.0,2024.9066666666665,2.6401178424877556,WARM,5,2029.8333333333333,2.5717482164646563,pra_generic,0.5438888888888889,0.03775121615243218,0.11761166611166611,0.011417423486867242,202.12206104925522,1.3754547862208382,76.93768664185579,0.5214022118591393,80.28666666666666,1.0907693513194145
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,935.3938558224278,13.149468408661223,0.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,COLD,5,2028.6,5.437166337144507,pra_strong_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,1143.1139441940468,17.533973138598704,1015.8991221885663,15.10793831821139,80.28666666666666,1.0907693513194145
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,0.02830031211487949,0.0013624911280382347,1.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,WARM,5,2028.6,5.437166337144507,pra_strong_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,203.1482883822173,3.3091834665667155,77.09586953123411,1.2903065959578242,80.28666666666666,1.0907693513194145
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.422083333333333,2.2045120239837406,5.765111111111111,0.9632170935437898,933.3867666474544,10.140744906263313,0.0,0.0,0.0,0.0,2024.9066666666665,2.6401178424877556,COLD,5,0.0,0.0,pra_generic,0.5438888888888889,0.03775121615243218,0.11761166611166611,0.011417423486867242,1103.018451941122,11.615691025409909,1008.9660724415444,11.14719973139785,2110.12,3.120683685775782
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.422083333333333,2.2045120239837406,5.765111111111111,0.9632170935437898,0.02466771480006476,0.001442425553711079,0.0,0.0,1.0,0.0,2024.9066666666665,2.6401178424877556,PREFIX_WARM,5,0.0,0.0,pra_generic,0.5438888888888889,0.03775121615243218,0.11761166611166611,0.011417423486867242,162.77171884818625,1.2901630900411154,70.33291330716263,0.847895068084922,2110.12,3.120683685775782
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.422083333333333,2.2045120239837406,5.765111111111111,0.9632170935437898,929.8428241272146,10.957390874457067,0.0,0.0,0.0,0.0,2024.9066666666665,2.6401178424877556,WARM,5,0.0,0.0,pra_generic,0.5438888888888889,0.03775121615243218,0.11761166611166611,0.011417423486867242,1099.7694377263542,14.373132123650036,1004.9053102646334,12.857842344237747,2110.12,3.120683685775782
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,933.7023950131455,14.540917002739196,0.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,COLD,5,0.0,0.0,pra_strong_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,1102.525769470958,18.109294873200202,1007.3502058388354,16.367063561072047,2108.8866666666668,5.815525198409241
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,0.02841606658572952,0.006966367590043528,0.0,0.0,1.0,0.0,2023.6066666666666,5.537317842501843,PREFIX_WARM,5,0.0,0.0,pra_strong_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,164.84728996874765,2.9857380608205917,71.78725136211142,1.665869335874679,2108.8866666666668,5.815525198409241
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.090833333333332,2.1691460173175168,5.809277777777778,0.8324609602628161,932.2206730469285,13.423985743291889,0.0,0.0,0.0,0.0,2023.6066666666666,5.537317842501843,WARM,5,0.0,0.0,pra_strong_reranker,0.5416666666666667,0.042446407749822564,0.11649424649424649,0.019949181714539188,1100.3905255343611,17.12813482517791,1006.1442100008329,15.169625683557673,2108.8866666666668,5.815525198409241
