cell_id,sequence_id,repeat,strategy_id,strategy_config_id,official_resolved_count,issue_count,calls,cumulative_full_tokens,cumulative_materialized_tokens,candidate_trajectory_gross_saving_fraction,failure_aware_saving_vs_persistent_full,calls_delta_vs_persistent_full,evidence_admissible
independent-n3-b__S01_persistent_full__r01,independent-n3-b,1,S01_persistent_full,default,3,3,53,522479,522479,0.0,,,True
independent-n3-b__S03_completed_episode_spine-r6m2v2_tasks1__r01,independent-n3-b,1,S03_completed_episode_spine,r6m2v2_tasks1,2,3,46,456267,326252,0.28495376610624923,0.0,-7,True
