dataset,condition,evidence_recall,construction_ms,graph_calls,graph_density,pairwise_similarity_evaluations,facet_overlap,graph_facets
qasper,graph_cc,0.033482142857142856,31.883299961918965,1.0,0.3365479904082845,90.125,0.0,1.25
qasper,syntactic_graph,0.06383928571428571,18.77834375773091,1.0,0.3365479904082845,90.125,0.8645833333333334,2.25
qasper,graph_cc_hybrid,0.03571428571428571,31.883299961918965,1.0,0.3365479904082845,90.125,0.0,1.25
qasper,syntactic_graph_hybrid,0.03571428571428571,18.77834375773091,1.0,0.3365479904082845,90.125,0.8645833333333334,2.25
hotpotqa,graph_cc,0.23363095238095236,70.20180628751405,1.0,0.15864070200510108,524.25,0.0,2.4375
hotpotqa,syntactic_graph,0.21220238095238092,35.489781192154624,1.0,0.15864070200510108,524.25,0.4416666666666666,3.4375
hotpotqa,graph_cc_hybrid,0.303125,70.20180628751405,1.0,0.15864070200510108,524.25,0.0,2.4375
hotpotqa,syntactic_graph_hybrid,0.303125,35.489781192154624,1.0,0.15864070200510108,524.25,0.4416666666666666,3.4375
2wikimultihopqa,graph_cc,0.17453703703703705,40.07145417078088,1.0,0.19811657748984265,287.75,0.0,1.9166666666666667
2wikimultihopqa,syntactic_graph,0.17453703703703705,31.089387426618487,1.0,0.19811657748984265,287.75,0.563888888888889,2.9166666666666665
2wikimultihopqa,graph_cc_hybrid,0.20335648148148147,40.07145417078088,1.0,0.19811657748984265,287.75,0.0,1.9166666666666667
2wikimultihopqa,syntactic_graph_hybrid,0.20335648148148147,31.089387426618487,1.0,0.19811657748984265,287.75,0.563888888888889,2.9166666666666665
musique,graph_cc,0.08981042106042104,39.07268892766701,1.0,0.1228893609581869,796.0,0.0,2.2222222222222223
musique,syntactic_graph,0.09169534169534169,36.14110563002113,1.3333333333333333,0.12353849973148587,570.0,0.3839947089947089,3.7777777777777777
musique,graph_cc_hybrid,0.1429318366818367,39.07268892766701,1.0,0.1228893609581869,796.0,0.0,2.2222222222222223
musique,syntactic_graph_hybrid,0.1429318366818367,36.14110563002113,1.3333333333333333,0.12353849973148587,570.0,0.3839947089947089,3.7777777777777777
