baseline,router_seed,dataset,examples,recall,precision,mrr,routing_ms
B0_static_hybrid,0,2wikimultihopqa,10,0.20055555555555554,0.25,0.4666666666666667,17.48617000412196
B0_static_hybrid,0,all,29,0.17883304435028574,0.33620689655172414,0.5459770114942529,37.681213764730714
B0_static_hybrid,0,hotpotqa,6,0.30833333333333335,0.4583333333333333,0.5277777777777778,27.44006656575948
B0_static_hybrid,0,musique,7,0.15437181865753294,0.5714285714285714,1.0,64.43291430228523
B0_static_hybrid,0,qasper,6,0.041666666666666664,0.08333333333333333,0.16666666666666666,50.370449937569596
B1_existing_request_reply,1,2wikimultihopqa,10,0.2663888888888889,0.325,0.6666666666666667,16.233429964631796
B1_existing_request_reply,1,all,29,0.19437870558560214,0.3275862068965517,0.5948275862068966,24.335224133241795
B1_existing_request_reply,1,hotpotqa,6,0.2857142857142857,0.4166666666666667,0.75,26.352033329506714
B1_existing_request_reply,1,musique,7,0.12625826554397984,0.42857142857142855,0.7261904761904762,39.498771474297556
B1_existing_request_reply,1,qasper,6,0.0625,0.125,0.16666666666666666,18.13059998676181
B1_existing_request_reply,7,2wikimultihopqa,10,0.2663888888888889,0.325,0.6166666666666667,14.57875994965434
B1_existing_request_reply,7,all,29,0.19129988785161198,0.31896551724137934,0.5545977011494252,27.51889995074478
B1_existing_request_reply,7,hotpotqa,6,0.3333333333333333,0.5,0.7083333333333334,26.666183257475495
B1_existing_request_reply,7,musique,7,0.12625826554397984,0.42857142857142855,0.8095238095238095,53.52691424611424
B1_existing_request_reply,7,qasper,6,0.0,0.0,0.0,19.59583330123375
B1_existing_request_reply,21,2wikimultihopqa,10,0.2463888888888889,0.3,0.5916666666666667,15.405529947020113
B1_existing_request_reply,21,all,29,0.17455111937870557,0.29310344827586204,0.5459770114942529,30.017910308429393
B1_existing_request_reply,21,hotpotqa,6,0.2857142857142857,0.4166666666666667,0.7083333333333334,27.557749999687076
B1_existing_request_reply,21,musique,7,0.12625826554397984,0.42857142857142855,0.8095238095238095,53.52691424611424
B1_existing_request_reply,21,qasper,6,0.0,0.0,0.0,29.40486662555486
B1_existing_request_reply,42,2wikimultihopqa,10,0.2588888888888889,0.325,0.5583333333333333,16.522079962305725
B1_existing_request_reply,42,all,29,0.18511383252762562,0.31896551724137934,0.5545977011494252,28.924117234118025
B1_existing_request_reply,42,hotpotqa,6,0.30952380952380953,0.4583333333333333,0.7083333333333334,27.733966630573075
B1_existing_request_reply,42,musique,7,0.13175277103848532,0.4642857142857143,0.8928571428571429,51.391957194677424
B1_existing_request_reply,42,qasper,6,0.0,0.0,0.0,24.571850003364187
B1_existing_request_reply,87,2wikimultihopqa,10,0.1963888888888889,0.275,0.5083333333333333,11.482549994252622
B1_existing_request_reply,87,all,29,0.17024077455111936,0.3103448275862069,0.5574712643678161,27.470258618544403
B1_existing_request_reply,87,hotpotqa,6,0.2857142857142857,0.4166666666666667,0.75,26.352033329506714
B1_existing_request_reply,87,musique,7,0.12625826554397984,0.42857142857142855,0.7976190476190476,44.190357173127786
B1_existing_request_reply,87,qasper,6,0.0625,0.125,0.16666666666666666,35.72788330105444
B2_graph_facet_choice,1,2wikimultihopqa,10,0.15888888888888889,0.225,0.4333333333333333,5.0291299354285
B2_graph_facet_choice,1,all,29,0.11253669701945564,0.20689655172413793,0.3333333333333333,5.089803406133734
B2_graph_facet_choice,1,hotpotqa,6,0.13809523809523808,0.20833333333333334,0.34722222222222227,4.924133303575218
B2_graph_facet_choice,1,musique,7,0.09230055658627087,0.32142857142857145,0.42857142857142855,4.4150570673601965
B2_graph_facet_choice,1,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,6.1438000217701
B2_graph_facet_choice,7,2wikimultihopqa,10,0.18388888888888888,0.25,0.38333333333333336,5.915280012413859
B2_graph_facet_choice,7,all,29,0.11872189113568424,0.22413793103448276,0.3247126436781609,5.338962061394906
B2_graph_facet_choice,7,hotpotqa,6,0.13809523809523808,0.20833333333333334,0.375,5.414549998628597
B2_graph_facet_choice,7,musique,7,0.11078207506778935,0.39285714285714285,0.4761904761904762,4.772414253758533
B2_graph_facet_choice,7,qasper,6,0.0,0.0,0.0,4.963816648038725
B2_graph_facet_choice,21,2wikimultihopqa,10,0.15888888888888889,0.225,0.36666666666666664,5.082129966467619
B2_graph_facet_choice,21,all,29,0.12371517371517372,0.23275862068965517,0.339080459770115,5.044582717377564
B2_graph_facet_choice,21,hotpotqa,6,0.18571428571428572,0.2916666666666667,0.4305555555555556,4.188899920942883
B2_graph_facet_choice,21,musique,7,0.09779506208077637,0.35714285714285715,0.4761904761904762,4.782199926142182
B2_graph_facet_choice,21,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,6.1438000217701
B2_graph_facet_choice,42,2wikimultihopqa,10,0.17138888888888887,0.25,0.38333333333333336,5.127129936590791
B2_graph_facet_choice,42,all,29,0.12130809803223595,0.23275862068965517,0.3275862068965517,5.182941339845801
B2_graph_facet_choice,42,hotpotqa,6,0.13809523809523808,0.20833333333333334,0.34722222222222227,4.924133303575218
B2_graph_facet_choice,42,musique,7,0.11078207506778935,0.39285714285714285,0.4761904761904762,4.660914219649775
B2_graph_facet_choice,42,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,6.1438000217701
B2_graph_facet_choice,87,2wikimultihopqa,10,0.15888888888888889,0.225,0.30833333333333335,5.0847099628299475
B2_graph_facet_choice,87,all,29,0.11010120148051182,0.21551724137931033,0.29022988505747127,5.169717201577692
B2_graph_facet_choice,87,hotpotqa,6,0.10476190476190476,0.16666666666666666,0.2916666666666667,4.875883266019325
B2_graph_facet_choice,87,musique,7,0.11078207506778935,0.39285714285714285,0.4761904761904762,4.660914219649775
