baseline,policy,scope,seeds,recall,precision,mrr
B2,B2_graph_facet_choice,root_discovery_at_four_chunks,5,0.11727661227661228,0.22241379310344828,0.32298850574712645
B3,B3_facet_root_matched_successor,root_discovery_at_four_chunks,5,0.17949617432376053,0.30344827586206896,0.5477011494252874
B4,B4_learned_per_facet,root_discovery_at_four_chunks,5,0.1977933943451185,0.3275862068965517,0.621264367816092
B7,B7_oracle_one_shot,root_discovery_at_four_chunks,1,0.272511205269826,0.45689655172413796,0.7040229885057472
