baseline,scope,complete_recovery,dataset,materialized_kv_tokens,mrr,n,policy,precision,recall,root_comparisons,successor_comparisons,token_span_operations
B3,inherited_full_root_successor,0.0,all,0.0,0.22516245712778282,68,S6_adaptive_both,0.07352941176470588,0.03223089265485825,78.17647058823529,156.35294117647058,131444.75
B7,inherited_full_root_successor,0.0,all,0.0,0.6153056094232565,68,S7_oracle_both,0.35294117647058826,0.14307315409382979,78.17647058823529,156.35294117647058,125350.75
