engine,dataset,regime,condition,examples,exact_match,token_f1,gold_answer_logprob,evidence_recall,candidate_tokens,selected_source_tokens,visible_prompt_tokens,selected_native_kv_tokens,active_detail_mib,retained_detail_mib,text_preparation_ms,kv_encode_ms,index_construction_ms,time_to_usable_context_ms,cold_end_to_end_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_mean_ms,tokens_per_second,requests_per_second,cold_end_to_end_completion_ms,completion_p50_ms,completion_p95_ms,completion_p99_ms,ordinary_prefix_cache_hit_tokens,pra_hot_hit_rate,pra_warm_hit_rate,bytes_read,bytes_promoted,bytes_avoided,duplicate_physical_kv_avoided_bytes
mlx-lm,2wikimultihopqa,cold_one_shot,e0_selected_text,20,0.0,0.06722222222222222,-13.47086009979248,0.775,1011.05,341.5,374.95,0.0,0.0,0.0,7.1784875355660915,41.119122912641615,0.0,48.297610448207706,103.72973771300167,58.0071461154148,64.09242488443851,64.31358497589827,8.846671010732003,92.97954021257678,,307.2182563249953,255.97560440655798,276.0948349256069,287.86156692542136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlx-lm,2wikimultihopqa,cold_one_shot,e2_native_kv,20,0.0,0.06722222222222222,-13.47086009979248,0.775,1011.05,341.5,33.45,341.5,37.3515625,37.3515625,7.1784875355660915,37.79935830971226,0.0,44.97784584527835,98.61449166201055,53.53289551567286,60.15160788083449,60.32488796161488,10.665087228256237,80.45487494422098,,343.92818121705204,301.59135395660996,317.05420875223354,319.66354184085503,0.0,0.0,0.0,39165952.0,0.0,0.0,0.0
mlx-lm,2wikimultihopqa,concurrent_shared_resource,e0_selected_text,160,0.0,0.06759906045751635,-13.515545773506165,0.775,1011.05,341.5,374.825,0.0,0.0,0.0,7.1784875355660915,41.119122912641615,0.0,48.297610448207706,,192.5955000333488,269.08078406704584,399.3972520530218,25.163386989594944,31.009491082928115,7.726991851756595,,768.6764794634655,915.4302649665622,964.2832971201278,341.5,0.0,0.0,0.0,0.0,0.0,0.0
mlx-lm,2wikimultihopqa,concurrent_shared_resource,e2_native_kv,160,0.0,0.06759906045751635,-13.515545773506165,0.775,1011.05,341.5,33.325,341.5,37.3515625,37.3515625,7.1784875355660915,37.79935830971226,0.0,44.97784584527835,,203.98835453670472,274.68532300554216,510.6549834017636,29.24022907378537,27.393480544357576,6.81252352045353,,874.865083489567,1044.9793209903871,1087.3751312470995,0.0,1.0,0.0,39165952.0,0.0,39165952.0,34270208.0
mlx-lm,2wikimultihopqa,multi_query_same_resource,e0_selected_text,60,0.0,0.06848856209150327,-13.511724185943603,0.775,1011.05,341.5,374.95,0.0,0.0,0.0,7.1784875355660915,41.119122912641615,0.0,48.297610448207706,,49.797436920925975,56.764785782434046,57.58000618312507,9.01949692423037,93.36421442395321,,,262.95016636140645,273.53205188410357,279.86858434742317,341.5,0.0,0.0,0.0,0.0,0.0,0.0
mlx-lm,2wikimultihopqa,multi_query_same_resource,e2_native_kv,60,0.0,0.06848856209150327,-13.511724185943603,0.775,1011.05,341.5,33.45,341.5,37.3515625,37.3515625,7.1784875355660915,37.79935830971226,0.0,44.97784584527835,,53.44489554408938,58.28479969641194,64.40602023852988,10.792469747020336,80.08737074921626,,,302.58687504101545,319.67219358775765,367.1199049777348,0.0,1.0,0.0,39165952.0,0.0,39165952.0,39165952.0
mlx-lm,2wikimultihopqa,warm_repeated,e0_selected_text,40,0.0,0.06722222222222222,-13.47086009979248,0.775,1011.05,341.5,374.95,0.0,0.0,0.0,7.1784875355660915,41.119122912641615,0.0,48.297610448207706,,51.102270488627255,55.116879707202315,56.17046111961827,9.144454798408095,92.28757633077629,,,263.35635397117585,272.1820392413065,274.744158659596,341.5,0.0,0.0,0.0,0.0,0.0,0.0
mlx-lm,2wikimultihopqa,warm_repeated,e2_native_kv,40,0.0,0.06722222222222222,-13.47086009979248,0.775,1011.05,341.5,33.45,341.5,37.3515625,37.3515625,7.1784875355660915,37.79935830971226,0.0,44.97784584527835,,53.06293710600585,58.6764144594781,59.116714319679886,10.734332925083278,80.24425024237104,,,304.11864595953375,315.40812732419,317.95580309117213,0.0,1.0,0.0,39165952.0,0.0,39165952.0,39165952.0
mlx-lm,hotpotqa,cold_one_shot,e0_selected_text,20,0.0,0.08701242170282418,-11.691213226318359,0.725,1435.0,376.3,415.35,0.0,0.0,0.0,9.06577508430928,40.414289641194046,0.0,49.480064725503325,113.43249176861718,58.70464548934251,73.65517739672221,148.58183553908006,7.843351626829447,100.78276422898288,,293.8442292623222,247.1140834968537,287.4750080052764,351.5456681046634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlx-lm,hotpotqa,cold_one_shot,e2_native_kv,20,0.0,0.08701242170282418,-11.691213226318359,0.725,1435.0,376.3,39.05,376.3,41.1578125,41.1578125,9.06577508430928,35.29403329594061,0.0,44.35980838024989,98.2484542299062,56.0216874582693,60.17910190857947,61.088853077962995,10.246173734776676,85.98439524360458,,333.92817926360294,304.16672956198454,321.5188791276887,322.24284312222153,0.0,0.0,0.0,43157094.4,0.0,0.0,0.0
mlx-lm,hotpotqa,concurrent_shared_resource,e0_selected_text,160,0.0,0.06578247039982721,-11.7062437415123,0.725,1435.0,376.3,415.225,0.0,0.0,0.0,9.06577508430928,40.414289641194046,0.0,49.480064725503325,,206.35608304291964,269.7771748993545,593.5380215663463,25.152373551353104,30.48713432834718,7.551661670352926,,785.1140626007691,924.4451709091662,985.3159195161425,376.3,0.0,0.0,0.0,0.0,0.0,0.0
