dataset,condition,rows,generation_changed_rate,old_terminal_punctuation_rate,new_eos_rate,new_hit_max_rate,new_answer_containment
hotpotqa,native_direct_evidence,8,0.875,0.125,0.875,0.125,0.875
hotpotqa,native_full_context,8,0.75,0.25,0.75,0.25,0.875
hotpotqa,native_no_context,8,1.0,0.0,0.875,0.125,0.125
hotpotqa,pra_oracle_frozen,8,1.0,0.0,0.875,0.125,0.125
hotpotqa,pra_routed_combo,40,1.0,0.1,0.025,0.975,0.15
hotpotqa,pra_routed_frozen,8,0.875,0.125,0.75,0.25,0.25
hotpotqa,pra_routed_residual_16,40,0.9,0.1,0.9,0.1,0.125
qasper,native_direct_evidence,8,0.875,0.125,0.875,0.125,0.25
qasper,native_no_context,8,0.875,0.125,1.0,0.0,0.375
qasper,pra_oracle_frozen,8,0.75,0.25,0.625,0.375,0.625
qasper,pra_routed_combo,40,0.825,0.225,0.675,0.325,0.6
qasper,pra_routed_frozen,8,0.875,0.125,0.875,0.125,0.5
qasper,pra_routed_residual_16,40,0.8,0.2,0.95,0.05,0.825
