precision_mode,runs,pairs,output_match_rate,first_step_logit_hash_match_rate,mean_first_step_js,mean_first_step_logit_max_abs_delta,mean_gold_nll_abs_delta,max_layer_key_rmse,max_layer_value_rmse,shape_path_pairs,shape_path_output_match_rate,shape_path_mean_first_step_js,shape_path_mean_gold_nll_abs_delta,shape_path_max_layer_key_rmse,shape_path_max_layer_value_rmse
FP32,1,3,1.0,0.0,3.906475641222581e-06,0.021357178688049316,0.000858306884765588,0.0018180077507471044,0.006451125256717205,3,1.0,0.0,0.0,0.0,0.0
FP16,1,3,1.0,0.0,8.743403067576605e-06,0.048177083333333336,0.0036458333333333113,0.004871053310732047,0.01937610035141309,3,1.0,0.0,0.0,0.0,0.0
INT8,1,3,1.0,0.0,0.0006213168646286485,0.4111328125,0.05000000000000001,0.11613402515649796,0.20029054085413614,3,1.0,0.0,0.0,0.0,0.0
INT4,1,3,1.0,0.0,0.0010823523920374656,0.4791666666666667,0.008333333333333378,0.10045680900414784,0.21304261684417725,3,1.0,0.0,0.0,0.0,0.0
