model_id,dataset,method,examples,mean_ari,mean_nmi,mean_pairwise_f1,mean_facet_count_abs_error,mean_over_segmented,mean_under_segmented,mean_singleton_rate,mean_decomposition_ms
Qwen/Qwen3-0.6B,2wikimultihopqa,global,100,0.0,0.0,0.649874516346149,1.0,0.0,1.0,0.0,0.0
Qwen/Qwen3-0.6B,2wikimultihopqa,fixed_window,100,0.18482078287713588,0.4067873364151856,0.5048844929059761,0.77,0.61,0.03,0.15033333644270896,0.0
Qwen/Qwen3-0.6B,2wikimultihopqa,syntax,100,0.16826247966152988,0.24877144534389026,0.6522206993862426,0.95,0.27,0.61,0.09533333510160447,0.0
Qwen/Qwen3-0.6B,2wikimultihopqa,embedding_kmeans,100,0.05180391121775678,0.1919591767399492,0.5658254705901458,0.45,0.11,0.34,0.10833333492279053,0.0
Qwen/Qwen3-0.6B,2wikimultihopqa,graph_cc,100,0.164224318542586,0.44356218851812146,0.4462121489950329,1.28,0.75,0.01,0.287095241099596,2.4279590090736747
Qwen/Qwen3-0.6B,2wikimultihopqa,graph_lp,100,0.15385769194131332,0.4477694927152126,0.4237472324517686,1.44,0.78,0.01,0.307035718113184,2.4279590090736747
Qwen/Qwen3-0.6B,2wikimultihopqa,llm,100,0.06891707636831305,0.10735669163320381,0.6510709061930288,0.81,0.03,0.78,0.02033333346247673,0.0
Qwen/Qwen3-0.6B,musique,global,100,0.0,8.814264705426659e-18,0.5823118076003955,1.55,0.0,1.0,0.0,0.0
Qwen/Qwen3-0.6B,musique,fixed_window,100,0.32455041582541305,0.5645416292310466,0.5196477686576962,1.5,0.83,0.0,0.0905714301764965,0.0
Qwen/Qwen3-0.6B,musique,syntax,100,0.057587112487373436,0.10511925969037669,0.5804020588779978,1.26,0.06,0.82,0.008333333432674409,0.0
Qwen/Qwen3-0.6B,musique,embedding_kmeans,100,0.09464506215143835,0.25683226788147756,0.5055462990096602,0.54,0.12,0.4,0.06750000089406967,0.0
Qwen/Qwen3-0.6B,musique,graph_cc,100,0.21880972301121016,0.5011724456572803,0.4278193209528102,2.34,0.92,0.02,0.24027800299227237,2.9557919944636524
Qwen/Qwen3-0.6B,musique,graph_lp,100,0.21415638544037816,0.5126483128147339,0.40243420924414247,2.68,0.97,0.02,0.25547150515019895,2.9557919944636524
Qwen/Qwen3-0.6B,musique,llm,100,0.1834127539789458,0.27548623004727557,0.600288464912681,1.0,0.16,0.57,0.01583333358168602,0.0
