model_id,dataset,example_id,method,units,target_facets,predicted_facets,facet_switches,normalized_switch_rate,minimum_contiguous_cover_ratio,non_contiguous_facets,has_non_contiguous_facet,ari,nmi,pairwise_f1,facet_count_abs_error,over_segmented,under_segmented,singleton_rate,decomposition_ms,graph_edges,graph_bytes
Qwen/Qwen3-0.6B,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,llm,14,2,2,1.0,0.2,1.0,0.0,0.0,-0.17391304347826095,0.13921962366837887,0.47058823529411764,0.0,0.0,0.0,0.5,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,global,11,2,1,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6875000000000001,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,fixed_window,11,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.05405405405405403,0.3156244234780853,0.5,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,syntax,11,2,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.05405405405405403,0.3156244234780853,0.5,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,embedding_kmeans,11,2,2,1.0,0.16666666666666666,1.0,0.0,0.0,-0.16666666666666657,0.10449573997811286,0.5384615384615385,0.0,0.0,0.0,0.5,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,graph_cc,11,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.16,0.40620948817101343,0.4705882352941177,1.0,1.0,0.0,0.3333333432674408,2.498800167813897,16,712
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,graph_lp,11,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.16,0.40620948817101343,0.4705882352941177,1.0,1.0,0.0,0.3333333432674408,2.498800167813897,16,712
Qwen/Qwen3-0.6B,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,llm,11,2,1,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6875000000000001,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,global,13,2,1,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6875000000000001,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,fixed_window,13,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.16,0.40620948817101343,0.4705882352941177,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,syntax,13,2,2,1.0,0.16666666666666666,1.0,0.0,0.0,-0.14545454545454545,0.19647826253528541,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,embedding_kmeans,13,2,3,1.0,0.16666666666666666,1.0,0.0,0.0,0.04545454545454546,0.07153503251039078,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,graph_cc,13,2,5,1.0,0.16666666666666666,1.0,0.0,0.0,0.1674008810572687,0.42684020236248404,0.39999999999999997,2.0,1.0,0.0,0.4000000059604645,2.6412999723106623,16,760
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,graph_lp,13,2,5,1.0,0.16666666666666666,1.0,0.0,0.0,0.1674008810572687,0.42684020236248404,0.39999999999999997,2.0,1.0,0.0,0.4000000059604645,2.6412999723106623,16,760
Qwen/Qwen3-0.6B,2wikimultihopqa,0cafe4700bb011ebab90acde48001122,llm,13,2,1,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6875000000000001,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,global,13,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,fixed_window,13,2,3,1.0,0.2,1.0,0.0,0.0,0.5871559633027523,0.77250688571426,0.7272727272727273,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,syntax,13,2,3,1.0,0.2,1.0,0.0,0.0,0.5871559633027523,0.77250688571426,0.7272727272727273,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,embedding_kmeans,13,2,3,1.0,0.2,1.0,0.0,0.0,-0.07142857142857141,0.04803508424256178,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,graph_cc,13,2,3,1.0,0.2,1.0,0.0,0.0,-0.17391304347826095,0.13921962366837887,0.47058823529411764,0.0,0.0,0.0,0.5,2.7602999471127987,20,872
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,graph_lp,13,2,3,1.0,0.2,1.0,0.0,0.0,-0.17391304347826095,0.13921962366837887,0.47058823529411764,0.0,0.0,0.0,0.5,2.7602999471127987,20,872
Qwen/Qwen3-0.6B,2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,llm,13,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,global,9,2,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,fixed_window,9,2,2,1.0,0.25,1.0,0.0,0.0,0.16666666666666663,0.4325380677663125,0.5,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,syntax,9,2,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,embedding_kmeans,9,2,2,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,graph_cc,9,2,3,1.0,0.25,1.0,0.0,0.0,0.16666666666666663,0.4325380677663125,0.5,0.0,0.0,0.0,0.0,2.360300160944462,12,552
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,graph_lp,9,2,3,1.0,0.25,1.0,0.0,0.0,0.16666666666666663,0.4325380677663125,0.5,0.0,0.0,0.0,0.0,2.360300160944462,12,552
Qwen/Qwen3-0.6B,2wikimultihopqa,186e79700bb011ebab90acde48001122,llm,9,2,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,global,12,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,fixed_window,12,2,3,1.0,0.2,1.0,0.0,0.0,-0.11111111111111108,0.2960819109658653,0.3333333333333333,1.0,1.0,0.0,0.6666666865348816,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,syntax,12,2,3,1.0,0.2,1.0,0.0,0.0,0.7058823529411765,0.8132898335036761,0.8,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,embedding_kmeans,12,2,2,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,graph_cc,12,2,3,1.0,0.2,1.0,0.0,0.0,0.7058823529411765,0.8132898335036761,0.8,1.0,1.0,0.0,0.3333333432674408,2.1798000670969486,18,792
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,graph_lp,12,2,3,1.0,0.2,1.0,0.0,0.0,0.7058823529411765,0.8132898335036761,0.8,1.0,1.0,0.0,0.3333333432674408,2.1798000670969486,18,792
Qwen/Qwen3-0.6B,2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,llm,12,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,global,11,2,1,2.0,0.4,1.3333333333333333,1.0,1.0,0.0,0.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,fixed_window,11,2,3,2.0,0.4,1.3333333333333333,1.0,1.0,-0.21621621621621614,0.0,0.30769230769230765,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,syntax,11,2,3,2.0,0.4,1.3333333333333333,1.0,1.0,0.03669724770642201,0.38625344285713,0.36363636363636365,1.0,1.0,0.0,0.3333333432674408,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,embedding_kmeans,11,2,2,2.0,0.4,1.3333333333333333,1.0,1.0,-0.07142857142857141,0.048035084242561796,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,graph_cc,11,2,3,2.0,0.4,1.3333333333333333,1.0,1.0,-0.11111111111111108,0.20104130995363298,0.2,1.0,1.0,0.0,0.0,3.2301999162882566,16,712
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,graph_lp,11,2,4,2.0,0.4,1.3333333333333333,1.0,1.0,0.018691588785046728,0.4124403997217709,0.22222222222222224,2.0,1.0,0.0,0.5,3.2301999162882566,16,712
Qwen/Qwen3-0.6B,2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,llm,11,2,1,2.0,0.4,1.3333333333333333,1.0,1.0,0.0,0.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0,0
