seed,target_shared_tokens,actual_shared_tokens,fanout,host_split_session_ms,native_session_ms,one_time_native_encode_ms,amortized_speedup,host_split_physical_tokens,native_physical_tokens,physical_token_reduction,duplicate_kv_bytes_avoided,native_argmax_parity
11,512,512,1,86.747208959423,128.9605009369552,115.68233300931752,0.6726649503465485,528,528,0.0,0,1
11,512,512,2,184.2267499305308,107.92599990963936,78.68979196064174,1.7069728340230708,1056,544,0.48484848484848486,58720256,1
11,512,512,4,418.0217928951606,145.97362384665757,85.90208296664059,2.8636803134673445,2112,576,0.7272727272727273,176160768,1
11,512,512,8,959.1837918851525,237.520040711388,106.24958400148898,4.038327835463208,4224,640,0.8484848484848485,411041792,1
11,512,512,16,1894.7203760035336,372.48008232563734,107.80849994625896,5.086769644630532,8454,774,0.9084457061745919,880803840,1
11,2048,2048,1,510.9236250864342,512.097334023565,486.2236250191927,0.9977080354472674,2064,2064,0.0,0,1
11,2048,2048,2,971.794749959372,532.2785000316799,480.38895800709724,1.8257260999674667,4128,2080,0.49612403100775193,234881024,1
11,2048,2048,4,1946.2297919671983,604.5368729392067,504.52320801559836,3.219373174881451,8256,2112,0.7441860465116279,704643072,1
11,2048,2048,8,3807.0405849721283,667.9649989819154,468.7978329602629,5.699461185503226,16512,2176,0.8682170542635659,1644167168,1
11,2048,2048,16,7270.046125981025,832.7972079860047,442.2888340195641,8.729671589032513,33030,2310,0.9300635785649409,3523215360,1
11,8192,8192,1,2866.088582901284,2804.904208984226,2743.3379580033943,1.0218133559502967,8208,8208,0.0,0,1
11,8192,8192,2,5593.008500058204,3001.3063750229776,2877.1745830308646,1.8635246793208122,16416,8224,0.49902534113060426,939524096,1
11,8192,8192,4,10875.974166905507,2940.3782919980586,2695.2075000153854,3.698835009258288,32832,8256,0.7485380116959064,2818572288,1
11,8192,8192,8,22320.945875020698,3299.617748707533,2789.4375409232453,6.764706573591398,65664,8320,0.8732943469785575,6576668672,1
11,8192,8192,16,45486.90408398397,4006.611207849346,2972.107666078955,11.352961823415919,131334,8454,0.9356297683768102,14092861440,1
23,512,512,1,102.11708396673203,109.01845793705434,94.56870798021555,0.9366953624100328,528,528,0.0,0,1
23,512,512,2,202.77458301279694,120.31937413848937,91.6876660194248,1.6853028405832664,1056,544,0.48484848484848486,58720256,1
23,512,512,4,402.7215000241995,148.34012393839657,91.57729102298617,2.714852120465018,2112,576,0.7272727272727273,176160768,1
23,512,512,8,807.1889580460265,206.07449696399271,89.98495806008577,3.9169764815054537,4224,640,0.8484848484848485,411041792,1
23,512,512,16,1646.200665854849,324.78487817570567,90.01762501429766,5.068587783709158,8454,774,0.9084457061745919,880803840,1
23,2048,2048,1,431.31908297073096,432.999792159535,409.9632090656087,0.996118452666174,2064,2064,0.0,0,1
23,2048,2048,2,875.1869580009952,460.95233294181526,413.0234579788521,1.8986495901116691,4128,2080,0.49612403100775193,234881024,1
23,2048,2048,4,1745.6132908118889,540.9509999444708,445.18483302090317,3.2269342158366983,8256,2112,0.7441860465116279,704643072,1
23,2048,2048,8,3538.317001890391,602.1678344113752,413.05112501140684,5.875964805309021,16512,2176,0.8682170542635659,1644167168,1
23,2048,2048,16,7019.8342892108485,810.1898322347552,422.0963749103248,8.664431482493388,33030,2310,0.9300635785649409,3523215360,1
23,8192,8192,1,2788.200374925509,2758.5530830547214,2696.6430409811437,1.0107474066940765,8208,8208,0.0,0,1
23,8192,8192,2,5708.1406658980995,2775.9087921585888,2649.9367920914665,2.0563141995235954,16416,8224,0.49902534113060426,939524096,1
23,8192,8192,4,10890.327833942138,3008.987085078843,2761.5285830106586,3.619267057657306,32832,8256,0.7485380116959064,2818572288,1
23,8192,8192,8,22380.15316776,3206.213542842306,2701.2507499894127,6.980244100622197,65664,8320,0.8732943469785575,6576668672,1
23,8192,8192,16,44691.20937399566,3841.5467081358656,2801.479542045854,11.633649873199731,131334,8454,0.9356297683768102,14092861440,1
37,512,512,1,99.14587496314198,104.34645891655236,90.31174995470792,0.9501604174457958,528,528,0.0,0,1
37,512,512,2,198.62287596333772,118.18212503567338,90.01887496560812,1.680650740569974,1056,544,0.48484848484848486,58720256,1
37,512,512,4,418.08675008360296,150.79549909569323,91.22220799326897,2.7725413065431717,2112,576,0.7272727272727273,176160768,1
37,512,512,8,814.5764587679878,209.70083493739367,96.19025001302361,3.884469315590375,4224,640,0.8484848484848485,411041792,1
