seed,target_shared_tokens,actual_shared_tokens,query_tokens,fanout,child_index,one_time_native_encode_ms,native_kv_bytes,condition,model_ms,route_attach_ms,request_ms,physical_input_tokens,native_tokens_reused,argmax_matches_host_split,max_abs_logit_delta_vs_host_split,payload_hit,native_hit,tool_calls_so_far
11,512,512,16,1,0,115.68233300931752,58720256,isolated_text,110.03633309155703,0.0,110.03633309155703,528,0,0,0.25,0,0,1
11,512,512,16,1,0,115.68233300931752,58720256,host_split_text,86.747208959423,0.0,86.747208959423,528,0,1,0.0,1,0,1
11,512,512,16,1,0,115.68233300931752,58720256,harness_memo_text,86.07241709250957,0.16404094640165567,86.23645803891122,528,0,1,0.0,1,0,1
11,512,512,16,1,0,115.68233300931752,58720256,pra_record_reprefill,85.98783402703702,0.16054196748882532,86.14837599452585,528,0,1,0.0,1,0,1
11,512,512,16,1,0,115.68233300931752,58720256,pra_native_kv,13.12795898411423,0.1502089435234666,13.278167927637696,16,512,1,0.0,1,1,1
11,512,512,16,2,0,78.68979196064174,58720256,isolated_text,110.1113751064986,0.0,110.1113751064986,528,0,0,0.25,0,0,1
11,512,512,16,2,0,78.68979196064174,58720256,host_split_text,86.2516249762848,0.0,86.2516249762848,528,0,1,0.0,1,0,1
11,512,512,16,2,0,78.68979196064174,58720256,harness_memo_text,88.78758293576539,0.15637499745935202,88.94395793322474,528,0,1,0.0,1,0,1
11,512,512,16,2,0,78.68979196064174,58720256,pra_record_reprefill,95.63104098197073,0.1669999910518527,95.79804097302258,528,0,1,0.0,1,0,1
11,512,512,16,2,0,78.68979196064174,58720256,pra_native_kv,15.595540986396372,0.17191690858453512,15.767457894980907,16,512,1,0.0,1,1,1
11,512,512,16,2,1,78.68979196064174,58720256,isolated_text,118.49391704890877,0.0,118.49391704890877,528,0,1,0.197265625,0,0,1
11,512,512,16,2,1,78.68979196064174,58720256,host_split_text,97.97512495424598,0.0,97.97512495424598,528,0,1,0.0,1,0,1
11,512,512,16,2,1,78.68979196064174,58720256,harness_memo_text,90.76845902018249,0.14533300418406725,90.91379202436656,528,0,1,0.0,1,0,1
11,512,512,16,2,1,78.68979196064174,58720256,pra_record_reprefill,93.4335000347346,0.14408305287361145,93.57758308760822,528,0,1,0.0,1,0,1
