dataset,condition,examples,evidence_recall,precision,mrr,path_completion,requested_chunks,requested_token_budget,mean_graph_ms,mean_cluster_ms,mean_routing_ms,mean_graph_facets,mean_graph_edges
qasper,global_semantic,16,0.03794642857142857,0.0625,0.13020833333333331,0.0,4.0,128.0,0.0,0.0,1.4951062330510467,0.0,0.0
qasper,paper25_multiscale,16,0.06741071428571428,0.09375,0.171875,0.0,4.0,128.0,0.0,0.0,1.3309437345014885,0.0,0.0
qasper,paper25_clause,16,0.06383928571428571,0.09375,0.13020833333333331,0.0,4.0,128.0,0.0,0.0,1.2904124741908163,0.0,0.0
qasper,embedding_kmeans,16,0.03794642857142857,0.0625,0.13020833333333331,0.0,4.0,128.0,0.0,0.0,1.2947187788086012,0.0,0.0
qasper,graph_cc,16,0.033482142857142856,0.046875,0.14583333333333334,0.0,4.0,128.0,4.311974989832379,4.3018687720177695,10.104356246301904,1.25,26.5
qasper,graph_label_propagation,16,0.033482142857142856,0.046875,0.109375,0.0,4.0,128.0,4.574462567688897,15.704537494457327,21.647593763191253,2.25,26.5
qasper,paper26_bm25,16,0.04163804945054945,0.09375,0.13541666666666666,0.0,4.0,128.0,0.0,0.0,36.66709997924045,0.0,0.0
qasper,paper26_hybrid,16,0.04352678571428571,0.078125,0.125,0.0,4.0,128.0,0.0,0.0,33.59322500182316,0.0,0.0
qasper,graph_cc_hybrid,16,0.03571428571428571,0.0625,0.11458333333333333,0.0,4.0,128.0,4.311974989832379,4.3018687720177695,37.717556217103265,1.25,26.5
qasper,graph_label_propagation_hybrid,16,0.04352678571428571,0.078125,0.13020833333333331,0.0,4.0,128.0,4.574462567688897,15.704537494457327,48.009543781518005,2.25,26.5
hotpotqa,global_semantic,16,0.15074404761904764,0.171875,0.2760416666666667,0.0,4.0,128.0,0.0,0.0,1.3959124480606988,0.0,0.0
hotpotqa,paper25_multiscale,16,0.21235119047619044,0.25,0.4427083333333333,0.0,4.0,128.0,0.0,0.0,1.2428063055267558,0.0,0.0
hotpotqa,paper25_clause,16,0.23303571428571426,0.265625,0.3489583333333333,0.0,4.0,128.0,0.0,0.0,1.161612497526221,0.0,0.0
hotpotqa,embedding_kmeans,16,0.16741071428571427,0.203125,0.29166666666666663,0.0,4.0,128.0,0.0,0.0,1.1085562873631716,0.0,0.0
hotpotqa,graph_cc,16,0.23363095238095236,0.28125,0.35416666666666663,0.0,4.0,128.0,16.849037492647767,8.086712477961555,26.496393693378195,2.4375,58.375
hotpotqa,graph_label_propagation,16,0.1513392857142857,0.1875,0.34375,0.0,4.0,128.0,4.303875000914559,28.07977500197012,33.67984377837274,5.9375,58.375
hotpotqa,paper26_bm25,16,0.3977678571428572,0.453125,0.875,0.0,4.0,128.0,0.0,0.0,19.88490625808481,0.0,0.0
hotpotqa,paper26_hybrid,16,0.2875,0.34375,0.6354166666666666,0.0,4.0,128.0,0.0,0.0,22.50773126434069,0.0,0.0
hotpotqa,graph_cc_hybrid,16,0.303125,0.359375,0.6041666666666666,0.0,4.0,128.0,16.849037492647767,8.086712477961555,49.37147494638339,2.4375,58.375
hotpotqa,graph_label_propagation_hybrid,16,0.2875,0.34375,0.6458333333333333,0.0,4.0,128.0,4.303875000914559,28.07977500197012,55.60736250481568,5.9375,58.375
2wikimultihopqa,global_semantic,24,0.13182870370370373,0.1875,0.3020833333333333,0.0,4.0,128.0,0.0,0.0,1.8451541642813634,0.0,0.0
2wikimultihopqa,paper25_multiscale,24,0.1693287037037037,0.20833333333333334,0.5972222222222222,0.0,4.0,128.0,0.0,0.0,1.7553041010008503,0.0,0.0
2wikimultihopqa,paper25_clause,24,0.15578703703703703,0.1875,0.40277777777777773,0.0,4.0,128.0,0.0,0.0,1.6427624602025996,0.0,0.0
2wikimultihopqa,embedding_kmeans,24,0.14872685185185186,0.1875,0.3993055555555556,0.0,4.0,128.0,0.0,0.0,1.6410999717966963,0.0,0.0
2wikimultihopqa,graph_cc,24,0.17453703703703705,0.20833333333333334,0.4583333333333333,0.0,4.0,128.0,4.671054203451301,7.175429190586631,13.82762091816403,1.9166666666666667,46.583333333333336
2wikimultihopqa,graph_label_propagation,24,0.1519675925925926,0.21875,0.37847222222222215,0.0,4.0,128.0,4.695025001031657,27.14450837811455,33.83037088012012,4.25,46.583333333333336
2wikimultihopqa,paper26_bm25,24,0.26168981481481485,0.3125,0.6111111111111112,0.0,4.0,128.0,0.0,0.0,14.503195823635906,0.0,0.0
2wikimultihopqa,paper26_hybrid,24,0.20335648148148147,0.25,0.46527777777777773,0.0,4.0,128.0,0.0,0.0,15.158616666061183,0.0,0.0
2wikimultihopqa,graph_cc_hybrid,24,0.20335648148148147,0.25,0.4444444444444446,0.0,4.0,128.0,4.671054203451301,7.175429190586631,28.041325092393283,1.9166666666666667,46.583333333333336
2wikimultihopqa,graph_label_propagation_hybrid,24,0.19953703703703704,0.23958333333333334,0.4791666666666667,0.0,4.0,128.0,4.695025001031657,27.14450837811455,46.02696253762891,4.25,46.583333333333336
musique,global_semantic,18,0.10842444592444593,0.3333333333333333,0.5462962962962963,0.0,4.0,128.0,0.0,0.0,2.299255575053394,0.0,0.0
musique,paper25_multiscale,18,0.10881595256595256,0.3055555555555556,0.5,0.0,4.0,128.0,0.0,0.0,2.379288819308082,0.0,0.0
musique,paper25_clause,18,0.10242997742997742,0.3055555555555556,0.4444444444444444,0.0,4.0,128.0,0.0,0.0,2.1594777418714433,0.0,0.0
musique,embedding_kmeans,18,0.08756174381174381,0.2361111111111111,0.32870370370370366,0.0,4.0,128.0,0.0,0.0,2.177677802845008,0.0,0.0
musique,graph_cc,18,0.08981042106042104,0.25,0.4305555555555556,0.0,4.0,128.0,5.388255528588262,10.65979997575697,18.485844406920176,2.2222222222222223,75.0
musique,graph_label_propagation,18,0.1108053983053983,0.3333333333333333,0.5046296296296295,0.0,4.0,128.0,5.708283343766299,44.79538332412226,53.04109450015757,7.0,75.0
musique,paper26_bm25,18,0.13214759777259777,0.4305555555555556,0.7962962962962963,0.0,4.0,128.0,0.0,0.0,43.49693333885322,0.0,0.0
musique,paper26_hybrid,18,0.15068646631146634,0.5,0.8055555555555556,0.0,4.0,128.0,0.0,0.0,43.62063336237851,0.0,0.0
musique,graph_cc_hybrid,18,0.1429318366818367,0.4722222222222222,0.7916666666666666,0.0,4.0,128.0,5.388255528588262,10.65979997575697,60.037199912282325,2.2222222222222223,75.0
musique,graph_label_propagation_hybrid,18,0.15185659248159253,0.4861111111111111,0.8055555555555556,0.0,4.0,128.0,5.708283343766299,44.79538332412226,92.46617225774874,7.0,75.0
