active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,candidate_gists,center_policy,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,median_selected_normalized_position,mrr,native_token_max_score_correlation,native_token_mean_score_correlation,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
524288,0.0,0.0,16,61,61,exact,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,mean,0.06557377049180328,0.0,128,1.0,0.5894645608628659,0.6738572162300975,0.0625,0.39087253112645814,0.7961371083641366,0.0014801000070292503,0.0,1.0,0.0,0.0,32,124928,centered_rope_key,0.43454612207214377,20260811,8,0.13114754098360656,1947,0.0,8,3.628800041042268e-05,0.0017753799969796092,0.0
524288,0.0,1.0,16,61,61,exact,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,mean,0.06557377049180328,0.0,128,1.0,0.6285792244478685,0.6738572162300975,0.0625,0.39087253112645814,0.7961371083641366,0.0014801000070292503,0.0,1.0,0.0,0.0,32,124928,centered_rope_key,0.43454612207214377,20260811,16,0.26229508196721313,1947,0.5,16,3.623600001446903e-05,0.0014609000005293637,0.0
393216,0.0,0.0,127,167,167,exact,3,393216,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.017964071856287425,0.0,96,1.0,0.9501686024728363,0.9861371300112401,0.007874015748031496,0.641301958375015,0.9653356250235468,0.0024046000035014004,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7863424948643223,20260811,3,0.017964071856287425,5338,0.0,3,3.49680008366704e-05,0.0022069200000260024,0.0
524288,0.0,0.0,127,167,167,exact,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.023952095808383235,0.0,128,1.0,0.9306153990258523,0.9561633570625703,0.007874015748031496,0.641301958375015,0.9653356250235468,0.0024046000035014004,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7863424948643223,20260811,8,0.04790419161676647,5338,0.0,8,3.4568000119179486e-05,0.001761620002798736,0.0
524288,0.0,0.0,127,167,167,exact,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.023952095808383235,0.0,128,1.0,0.9156636380666916,0.9082053203446984,0.007874015748031496,0.641301958375015,0.9653356250235468,0.0024046000035014004,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7863424948643223,20260811,16,0.09580838323353294,5338,0.0,16,4.298800020478666e-05,0.0016649400000460445,0.0
393216,0.0,0.0,108,182,182,exact,3,393216,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.016483516483516484,0.0,96,1.0,0.8114148186350353,0.8004125838060856,0.009259259259259259,0.6650810525743553,0.9609345019898752,0.0024027999897953123,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8174926571880852,20260811,3,0.016483516483516484,5817,0.0,3,3.541999962180853e-05,0.0020914200053084643,0.0
524288,0.0,0.0,108,182,182,exact,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.02197802197802198,0.0,128,1.0,0.8313563692625064,0.8334192882929345,0.009259259259259259,0.6650810525743553,0.9609345019898752,0.0024027999897953123,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8174926571880852,20260811,8,0.04395604395604396,5817,0.0,8,5.5048000067472455e-05,0.00197821999900043,0.0
524288,0.0,0.0,108,182,182,exact,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.02197802197802198,0.0,128,1.0,0.8784596871239471,0.9021832559738697,0.009259259259259259,0.6650810525743553,0.9609345019898752,0.0024027999897953123,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8174926571880852,20260811,16,0.08791208791208792,5817,0.0,16,4.537199973128736e-05,0.0018131399992853403,0.0
393216,0.0,0.0,120,180,180,exact,3,393216,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.016666666666666666,0.0,96,1.0,0.944995073320582,0.9375760737263085,0.008333333333333333,0.682316253796389,0.969290565338333,0.002209500002209097,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8165826999782166,20260811,3,0.016666666666666666,5751,0.0,3,4.526400007307529e-05,0.0016799200035165994,0.0
524288,0.0,0.0,120,180,180,exact,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.022222222222222223,0.0,128,1.0,0.9125369500956355,0.9181011997913406,0.008333333333333333,0.682316253796389,0.969290565338333,0.002209500002209097,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8165826999782166,20260811,8,0.044444444444444446,5751,0.0,8,4.466800019145012e-05,0.0021732399996835738,0.0
524288,0.0,0.0,120,180,180,exact,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.022222222222222223,0.0,128,1.0,0.8854112328290732,0.9041905755520778,0.008333333333333333,0.682316253796389,0.969290565338333,0.002209500002209097,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8165826999782166,20260811,16,0.08888888888888889,5751,0.0,16,4.778000060468912e-05,0.0018510600028093904,0.0
393216,0.0,0.0,66,122,122,exact,3,393216,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.02459016393442623,0.0,96,1.0,0.9258119658119659,0.9312820512820513,0.015151515151515152,0.46177848246137565,0.891656496229478,0.0023099000100046396,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4851860355968782,20260811,3,0.02459016393442623,3900,0.0,3,4.268400021828711e-05,0.0017975000024307518,0.0
507904,0.0,0.0,66,122,122,exact,4,507904,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.03278688524590164,0.0,124,1.0,0.8153205128205129,0.9394871794871795,0.015151515151515152,0.46177848246137565,0.891656496229478,0.0023099000100046396,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4851860355968782,20260811,8,0.06557377049180328,3900,0.0,8,3.706000046804547e-05,0.0014925000024959445,0.0
507904,0.0,0.0,66,122,122,exact,4,507904,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.03278688524590164,0.0,124,1.0,0.7584294871794872,0.9025641025641025,0.015151515151515152,0.46177848246137565,0.891656496229478,0.0023099000100046396,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4851860355968782,20260811,16,0.13114754098360656,3900,0.0,16,4.2872000485658645e-05,0.0023987799999304117,0.0
